hypothesis,n,cover,ci_lo,ci_hi,p_raw,season_t,seasons,roi_at_110
fade hot / back cold — all seasons,3446,0.5136,0.5009,0.5254,0.1131,1.7,20,-0.0194
fade hot / back cold — discovery (<= 2016),1884,0.5122,0.4962,0.5285,0.2999,1.01,11,-0.0221
fade hot / back cold — hold-out (> 2016),1562,0.5154,0.4967,0.534,0.2343,1.45,9,-0.0161
