hypothesis,n,cover,ci_lo,ci_hi,p_raw,season_t,seasons,roi_at_110,next_epa_per_att,prior_epa_per_att,baseline_epa_per_att
QB after a bottom-20% game,1682,0.5101,0.4937,0.5269,0.421,1.18,20,-0.0262,-0.0096,-0.4199,0.055
QB after a top-20% game,1682,0.4958,0.4793,0.5118,0.7513,-0.22,20,-0.0534,0.1252,0.5187,0.055
QB after 2+ interceptions,1707,0.5021,0.4864,0.5182,0.8845,0.1,20,-0.0415,0.0246,-0.1855,0.055
QB after 3+ interceptions,491,0.5031,0.4693,0.538,0.9281,-0.02,20,-0.0396,0.0251,-0.3091,0.055
QB after negative total EPA,3529,0.5035,0.4942,0.5132,0.6862,0.57,20,-0.0387,0.0066,-0.2525,0.055
