weighting,games,corr_with_margin,corr_with_ats_margin,corr_with_spread
count,3124,0.2008,0.0219,0.4477
flat,3124,0.2,0.0211,0.4475
linear,3124,0.2036,0.0139,0.4726
log,3124,0.2139,0.0096,0.5076
