tier,games,SU,ATS,avg_spread,avg_margin_vs_spread
1-10,729.0,0.684,0.532,5.28,0.57
11-25,538.0,0.604,0.511,2.92,0.65
26-50,636.0,0.538,0.479,1.81,-0.16
51-100,1040.0,0.553,0.493,1.62,0.04
