model,n,accuracy,auc,log_loss,brier,mcfadden_r2,efron_r2,cal_slope,cal_intercept,ece,top3_hit,weeks_swept
production (qb+talent Elo),3018,0.665,0.7171,0.614,0.2127,0.1078,0.1405,0.978,0.0,0.0126,0.7807,0.5042
previous (base Elo),3018,0.6647,0.7168,0.614,0.2128,0.1079,0.1404,0.981,0.0,0.0152,0.7822,0.5042
market (closing line),3018,0.6614,0.7179,0.6121,0.2122,0.1106,0.1429,1.056,-0.047,0.0181,0.7956,0.5424
qb+talent Elo alone,3018,0.6518,0.6972,0.6319,0.2202,0.0818,0.1102,0.806,-0.038,0.0339,0.7615,0.4661
always base rate,3018,0.5497,0.5,0.6882,0.2475,0.0,0.0,0.038,0.192,0.0,0.5378,0.1737
