season,team,games,wins,losses,win_pct,pts_for,pts_against,pt_diff,td,xpa,xpm,fga,fgm,safeties,td_pg,pts_pg
2019,Hawaii,15,10,5,0.667,508.0,478.0,30.0,68.0,64.0,64.0,17.0,10.0,1.0,4.53,33.87
2019,LSU,15,15,0,1.0,726.0,328.0,398.0,94.0,93.0,89.0,27.0,21.0,1.0,6.27,48.4
2019,Louisiana,14,11,3,0.786,531.0,276.0,255.0,69.0,69.0,67.0,23.0,16.0,1.0,4.93,37.93
2019,Memphis,14,12,2,0.857,566.0,370.0,196.0,71.0,66.0,65.0,25.0,23.0,1.0,5.07,40.43
2019,Ohio State,14,13,1,0.929,656.0,192.0,464.0,88.0,88.0,87.0,15.0,13.0,1.0,6.29,46.86
2019,Oklahoma,14,12,2,0.857,590.0,382.0,208.0,75.0,75.0,75.0,21.0,19.0,0.0,5.36,42.14
2019,Oregon,14,12,2,0.857,495.0,231.0,264.0,67.0,66.0,64.0,14.0,9.0,0.0,4.79,35.36
2019,SMU,13,10,3,0.769,544.0,434.0,110.0,72.0,65.0,58.0,16.0,12.0,0.0,5.54,41.85
2019,UCF,13,10,3,0.769,564.0,299.0,265.0,74.0,72.0,71.0,17.0,15.0,1.0,5.69,43.38
2020,Alabama,13,13,0,1.0,630.0,252.0,378.0,84.0,84.0,84.0,14.0,14.0,0.0,6.46,48.46
2020,BYU,12,11,1,0.917,522.0,184.0,338.0,69.0,66.0,63.0,13.0,13.0,0.0,5.75,43.5
2020,Clemson,12,10,2,0.833,522.0,242.0,280.0,67.0,65.0,64.0,23.0,18.0,1.0,5.58,43.5
2021,Alabama,15,13,2,0.867,598.0,302.0,296.0,73.0,72.0,71.0,29.0,23.0,0.0,4.87,39.87
2021,Coastal Carolina,13,11,2,0.846,532.0,281.0,251.0,70.0,67.0,65.0,11.0,9.0,2.0,5.38,40.92
2021,Georgia,15,14,1,0.933,579.0,153.0,426.0,72.0,72.0,71.0,27.0,22.0,2.0,4.8,38.6
2021,Ohio State,13,11,2,0.846,594.0,296.0,298.0,75.0,76.0,76.0,21.0,20.0,1.0,5.77,45.69
2021,Pitt,14,11,3,0.786,580.0,331.0,249.0,76.0,73.0,69.0,21.0,17.0,1.0,5.43,41.43
2021,Tennessee,13,7,6,0.538,511.0,378.0,133.0,67.0,67.0,67.0,16.0,12.0,3.0,5.15,39.31
2021,Utah,14,10,4,0.714,506.0,316.0,190.0,67.0,63.0,62.0,18.0,12.0,1.0,4.79,36.14
2021,Wake Forest,14,11,3,0.786,574.0,404.0,170.0,72.0,65.0,65.0,25.0,23.0,0.0,5.14,41.0
2021,Western Kentucky,14,9,5,0.643,619.0,411.0,208.0,79.0,73.0,72.0,29.0,23.0,0.0,5.64,44.21
2022,Alabama,13,11,2,0.846,534.0,236.0,298.0,67.0,64.0,64.0,26.0,22.0,0.0,5.15,41.08
2022,Georgia,15,15,0,1.0,616.0,214.0,402.0,75.0,74.0,73.0,32.0,27.0,1.0,5.0,41.07
