team,elo,w,l,pts_vs_avg,games,small_sample
Memphis,1411.7,4,7,-3.2,11,False
Vanderbilt,1410.6,3,8,-3.2,11,False
Temple,1404.7,4,7,-3.4,11,False
Indiana,1402.8,3,8,-3.5,11,False
Missouri,1396.8,3,8,-3.7,11,False
Rice,1379.3,3,8,-4.3,11,False
North Texas,1373.4,3,8,-4.5,11,False
New Mexico State,1371.4,3,8,-4.6,11,False
Oklahoma State,1370.2,3,8,-4.6,11,False
Eastern Michigan,1368.3,3,8,-4.7,11,False
Louisiana Tech,1364.5,3,9,-4.8,12,False
San Diego State,1357.6,3,8,-5.1,11,False
Houston,1356.5,3,8,-5.1,11,False
Hawaii,1350.7,3,9,-5.3,12,False
Bowling Green,1345.9,2,9,-5.5,11,False
Arkansas State,1338.2,1,10,-5.8,11,False
Kentucky,1334.9,2,9,-5.9,11,False
Wake Forest,1332.0,2,9,-6.0,11,False
Rutgers,1326.6,3,8,-6.2,11,False
Southern Methodist,1315.3,3,9,-6.6,12,False
Connecticut,1311.0,3,8,-6.8,11,False
Central Michigan,1304.6,2,9,-7.0,11,False
Buffalo,1294.4,2,9,-7.3,11,False
Army,1262.4,1,10,-8.5,11,False
Louisiana,1261.3,1,10,-8.5,11,False
Baylor,1258.1,2,9,-8.6,11,False
Nevada,1256.0,2,10,-8.7,12,False
Kent State,1240.8,1,10,-9.3,11,False
Wyoming,1225.3,1,10,-9.8,11,False
Navy,1219.6,1,10,-10.0,11,False
Duke,1219.5,0,11,-10.0,11,False
Louisiana-Monroe,1202.1,1,10,-10.6,11,False
