k,hfa,regression,margin_cap,games,log_loss,accuracy
32.0,55.0,0.35,21.0,17622,0.5138,0.7409
26.0,65.0,0.25,21.0,17622,0.5138,0.743
26.0,85.0,0.25,999.0,17622,0.5139,0.7406
38.0,55.0,0.45,35.0,17622,0.5139,0.7419
38.0,85.0,0.35,28.0,17622,0.5141,0.7383
32.0,85.0,0.35,999.0,17622,0.5141,0.7399
32.0,65.0,0.35,21.0,17622,0.5142,0.7401
38.0,65.0,0.45,35.0,17622,0.5142,0.7419
26.0,85.0,0.25,35.0,17622,0.5144,0.7402
38.0,75.0,0.45,999.0,17622,0.5145,0.7401
26.0,55.0,0.35,999.0,17622,0.5146,0.7421
38.0,55.0,0.45,28.0,17622,0.5147,0.7416
32.0,85.0,0.35,35.0,17622,0.5147,0.7394
26.0,75.0,0.25,21.0,17622,0.5148,0.741
26.0,65.0,0.35,999.0,17622,0.5149,0.7416
38.0,65.0,0.45,28.0,17622,0.515,0.7411
38.0,85.0,0.35,21.0,17622,0.5151,0.7385
26.0,85.0,0.25,28.0,17622,0.5151,0.7388
32.0,75.0,0.35,21.0,17622,0.5152,0.7398
32.0,55.0,0.45,999.0,17622,0.5152,0.7432
38.0,75.0,0.45,35.0,17622,0.5152,0.7399
26.0,55.0,0.35,35.0,17622,0.5152,0.7414
32.0,85.0,0.35,28.0,17622,0.5154,0.7383
32.0,65.0,0.45,999.0,17622,0.5155,0.7413
26.0,65.0,0.35,35.0,17622,0.5156,0.741
38.0,75.0,0.45,28.0,17622,0.5159,0.739
26.0,75.0,0.35,999.0,17622,0.5159,0.7403
32.0,55.0,0.45,35.0,17622,0.5159,0.7429
38.0,55.0,0.45,21.0,17622,0.516,0.7415
26.0,55.0,0.35,28.0,17622,0.516,0.7409
38.0,85.0,0.45,999.0,17622,0.5161,0.7388
32.0,65.0,0.45,35.0,17622,0.5162,0.7405
20.0,55.0,0.25,999.0,17622,0.5162,0.7444
38.0,65.0,0.45,21.0,17622,0.5163,0.7403
26.0,65.0,0.35,28.0,17622,0.5164,0.7408
26.0,85.0,0.25,21.0,17622,0.5164,0.7379
32.0,75.0,0.45,999.0,17622,0.5164,0.7401
20.0,65.0,0.25,999.0,17622,0.5166,0.7427
26.0,75.0,0.35,35.0,17622,0.5166,0.74
38.0,85.0,0.45,35.0,17622,0.5167,0.7383
32.0,85.0,0.35,21.0,17622,0.5167,0.7369
32.0,55.0,0.45,28.0,17622,0.5167,0.742
20.0,55.0,0.25,35.0,17622,0.5168,0.7438
32.0,65.0,0.45,28.0,17622,0.517,0.7406
32.0,75.0,0.45,35.0,17622,0.5171,0.7393
20.0,65.0,0.25,35.0,17622,0.5172,0.742
38.0,75.0,0.45,21.0,17622,0.5172,0.7384
38.0,85.0,0.45,28.0,17622,0.5174,0.7373
26.0,75.0,0.35,28.0,17622,0.5174,0.7396
26.0,85.0,0.35,999.0,17622,0.5175,0.7393
20.0,55.0,0.25,28.0,17622,0.5176,0.7436
38.0,55.0,0.55,999.0,17622,0.5176,0.7415
26.0,55.0,0.35,21.0,17622,0.5176,0.7407
20.0,75.0,0.25,999.0,17622,0.5176,0.7394
38.0,65.0,0.55,999.0,17622,0.5179,0.7407
32.0,75.0,0.45,28.0,17622,0.518,0.7389
20.0,65.0,0.25,28.0,17622,0.518,0.7416
26.0,65.0,0.35,21.0,17622,0.518,0.74
32.0,85.0,0.45,999.0,17622,0.518,0.7384
26.0,85.0,0.35,35.0,17622,0.5181,0.7388
32.0,55.0,0.45,21.0,17622,0.5182,0.7421
