season,team,games,wins,losses,win_pct,pts_for,pts_against,pt_diff,td_allowed,xpa_allowed,xpm_allowed,fga_allowed,fgm_allowed,safeties_allowed,td_allowed_pg,pts_allowed_pg
2006,Louisiana Tech,13,3,10,0.231,242.0,542.0,-300.0,73.0,72.0,68.0,15.0,12.0,0.0,5.62,41.69
2006,Temple,12,1,11,0.083,131.0,496.0,-365.0,65.0,64.0,61.0,22.0,15.0,0.0,5.42,41.33
2006,Utah State,12,1,11,0.083,130.0,462.0,-332.0,62.0,62.0,61.0,14.0,9.0,1.0,5.17,38.5
2007,Bowling Green,13,8,5,0.615,392.0,417.0,-25.0,55.0,51.0,50.0,16.0,11.0,1.0,4.23,32.08
2007,Central Michigan,14,8,6,0.571,487.0,517.0,-30.0,68.0,66.0,62.0,24.0,15.0,1.0,4.86,36.93
2007,Florida Atlantic,12,8,5,0.615,405.0,432.0,-27.0,55.0,48.0,47.0,21.0,17.0,0.0,4.58,36.0
2007,Florida International,12,1,11,0.083,181.0,469.0,-288.0,60.0,59.0,57.0,22.0,16.0,2.0,5.0,39.08
2007,Idaho,12,1,11,0.083,258.0,443.0,-185.0,58.0,56.0,54.0,21.0,13.0,0.0,4.83,36.92
2007,Louisiana,12,3,9,0.25,285.0,430.0,-145.0,58.0,55.0,51.0,15.0,9.0,0.0,4.83,35.83
2007,Memphis,13,7,6,0.538,380.0,419.0,-39.0,56.0,54.0,51.0,17.0,10.0,0.0,4.31,32.23
2007,Minnesota,12,1,11,0.083,315.0,440.0,-125.0,55.0,53.0,51.0,30.0,19.0,0.0,4.58,36.67
2007,Navy,13,8,5,0.615,511.0,473.0,38.0,61.0,57.0,55.0,24.0,16.0,0.0,4.69,36.38
2007,Nebraska,12,5,7,0.417,401.0,455.0,-54.0,60.0,57.0,53.0,18.0,14.0,0.0,5.0,37.92
2007,New Mexico State,13,4,9,0.308,312.0,471.0,-159.0,60.0,57.0,53.0,24.0,18.0,0.0,4.62,36.23
2007,North Texas,12,2,10,0.167,298.0,541.0,-243.0,71.0,69.0,66.0,19.0,13.0,4.0,5.92,45.08
2007,Rice,12,3,9,0.25,377.0,515.0,-138.0,68.0,63.0,61.0,18.0,12.0,1.0,5.67,42.92
