forecast,n,a,se_a,b,se_b,t(a=0),t(b=1),p(b=1),joint_chi2,p_joint,efficient
ours (extratrees),3028,0.048,0.241,0.96,0.039,0.2,-1.02,0.3099,1.06,0.5873,yes
closing spread,3028,-0.024,0.229,1.038,0.039,-0.11,0.97,0.3319,0.99,0.6086,yes
