Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
2026-01-12 20:23:46,2026-01-12 20:15,Pittsburgh Steelers,Houston Texans,No,1142.2,Yes,-118.78,-17.22,130.44,-160.11,-114.5,-84.12,-130,100,135,-175,-115,-115,-116,-104,135.0,-155.0,-115,-105,-113,102,135.0,-155.0,-113,-102,-132,100,130,-166,-110,-120,-115,-105,134.0,-155.0,-110,-110,-113,-125,120,-167,,,-130,100,130,-165,-115,-110,-105,-118,120,-143,-118,-111,-115,-105,135,-160,-120,100
2026-01-12 20:23:46,2026-01-17 16:30,Denver Broncos,Buffalo Bills,No,1376.3,No,-109.78,-109.67,-1.17,-119.83,-111.5,-82.75,-115,-105,102,-122,-115,-105,-110,-110,,,-110,-110,-105,-105,,,-107,-107,-110,-110,104,-122,-110,-110,-110,-110,,,-110,-110,-113,-112,-104,-122,,,-110,-110,-105,-115,-110,-110,-110,-110,-104,-118,-110,-110,-105,-115,100,-120,-120,100
2026-01-12 20:23:46,2026-01-17 16:30,Seattle Seahawks,San Francisco 49ers,Yes,703.7,No,-109.89,-87.44,-373.33,291.33,-110.5,-108.75,-120,100,-340,270,-112,-108,-110,-110,-385.0,306.0,-110,-110,-101,-109,-385.0,306.0,-107,-107,-115,-105,-350,280,-115,-105,-110,-110,-375.0,300.0,-110,-110,-108,-118,-400,285,,,-110,-110,-375,300,-110,-110,-110,-110,-380,290,-110,-110,-105,-115,-370,285,-110,-110
2026-01-12 20:23:46,2026-01-18 15:00,Chicago Bears,Los Angeles Rams,No,1754.3,No,-107.44,-112.11,164.11,-196.44,-110.62,-109.62,-108,-112,160,-192,-105,-115,-105,-115,168.0,-193.0,-110,-110,-101,-109,168.0,-193.0,-107,-107,-104,-118,172,-205,-110,-110,-110,-110,163.0,-190.0,-110,-110,-114,-110,150,-195,,,-110,-110,165,-200,-118,-110,-110,-110,161,-200,-110,-110,-105,-115,170,-200,-115,-105
