Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds
2025-10-12 21:19:37,2025-10-12 20:22,Kansas City Chiefs,Detroit Lions,No,641.6,Yes,-44.67,-120.0,95.33,-136.0,-79.17,-118.83,105,-135,140,-180,-115,-115,105,-140,140,-175,-118,-110,-130,-102,152,-196,-114,-114,-118.0,-105.0,-133.0,105.0,-118.0,-111.0,-120,-118,148,-205,-120,-118,-110.0,-120.0,125.0,-165.0,110.0,-145.0,,,,,,,,,,,,,,,,,,
2025-10-12 21:19:37,2025-10-13 19:15,Atlanta Falcons,Buffalo Bills,No,692.5,Yes,-110.44,-109.0,170.56,-205.11,-110.78,-109.56,-112,-108,170,-205,-118,-102,-110,-110,170,-210,-110,-110,-105,-115,172,-205,-118,-104,-110.0,-110.0,165.0,-206.0,-110.0,-110.0,-110,-115,170,-220,-112,-114,-115.0,-105.0,170.0,-200.0,-110.0,-110.0,-110.0,-110.0,170.0,-200.0,-110.0,-110.0,-106.0,-104.0,174.0,-200.0,-103.0,-112.0,-116.0,-104.0,174.0,-200.0,-106.0,-114.0
2025-10-12 21:19:37,2025-10-13 20:16,Washington Commanders,Chicago Bears,No,602.3,Yes,-109.33,-110.22,-248.11,201.67,-111.0,-108.89,-110,-110,-230,190,-115,-105,-110,-110,-250,200,-110,-110,-108,-112,-270,220,-115,-105,-110.0,-110.0,-244.0,193.0,-110.0,-110.0,-112,-114,-265,200,-112,-113,-115.0,-105.0,-240.0,200.0,-110.0,-110.0,-110.0,-110.0,-250.0,210.0,-110.0,-110.0,-102.0,-108.0,-242.0,201.0,-107.0,-107.0,-107.0,-113.0,-242.0,201.0,-110.0,-110.0
2025-10-12 21:19:37,2025-10-16 20:16,Cincinnati Bengals,Pittsburgh Steelers,Yes,257.0,Yes,-47.29,-115.43,218.57,-269.71,-109.86,-110.14,-108,-112,215,-265,-110,-110,-105,-115,225,-275,-110,-110,-104,-118,230,-280,-115,-105,,,,,,,-114,-112,210,-278,-113,-113,-105.0,-115.0,220.0,-270.0,-110.0,-110.0,,,,,,,105.0,-116.0,215.0,-260.0,-104.0,-110.0,100.0,-120.0,215.0,-260.0,-107.0,-113.0
2025-10-12 21:19:37,2025-10-19 08:31,Jacksonville Jaguars,Los Angeles Rams,No,2154.8,No,-75.5,-77.17,135.0,-161.67,-107.5,-113.0,100,-120,140,-166,-110,-110,-105,-115,145,-175,-110,-110,-115,-105,130,-154,-104,-118,,,,,,,-108,-118,135,-175,-114,-112,,,,,,,,,,,,,-110.0,100.0,130.0,-150.0,-102.0,-113.0,-115.0,-105.0,130.0,-150.0,-105.0,-115.0
2025-10-12 21:19:37,2025-10-19 13:01,New York Jets,Carolina Panthers,No,533.9,No,-74.5,-78.5,-116.5,-54.5,-108.33,-111.67,-105,-115,-120,100,-105,-115,100,-120,-110,-110,-110,-110,-104,-118,-116,-102,-105,-115,,,,,,,-113,-113,-120,-106,-113,-113,,,,,,,,,,,,,-110.0,100.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0
2025-10-12 21:19:37,2025-10-19 13:01,Chicago Bears,New Orleans Saints,No,832.7,No,-110.5,-108.83,-258.25,207.5,-110.83,-109.17,-110,-110,-258,210,-110,-110,-110,-110,-250,200,-110,-110,-115,-105,-260,215,-115,-105,,,,,,,-113,-113,-265,205,-113,-113,,,,,,,,,,,,,-105.0,-105.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
2025-10-12 21:19:37,2025-10-19 13:01,Cleveland Browns,Miami Dolphins,No,1074.9,No,-110.5,-108.83,-139.0,117.5,-110.67,-109.33,-115,-105,-130,110,-115,-105,-110,-110,-135,115,-110,-110,-110,-110,-138,118,-110,-110,,,,,,,-113,-113,-141,112,-112,-114,,,,,,,,,,,,,-105.0,-105.0,-145.0,125.0,-107.0,-107.0,-110.0,-110.0,-145.0,125.0,-110.0,-110.0
2025-10-12 21:19:37,2025-10-19 13:01,Minnesota Vikings,Philadelphia Eagles,No,986.3,No,-107.83,-111.83,126.0,-149.5,-109.17,-110.83,-110,-110,120,-142,-110,-110,-110,-110,130,-155,-110,-110,-104,-118,122,-144,-105,-115,,,,,,,-108,-118,120,-152,-113,-113,,,,,,,,,,,,,-105.0,-105.0,132.0,-152.0,-107.0,-107.0,-110.0,-110.0,132.0,-152.0,-110.0,-110.0
2025-10-12 21:19:37,2025-10-19 13:01,Tennessee Titans,New England Patriots,No,926.1,No,-3.5,-116.17,253.33,-317.5,-112.17,-107.83,100,-120,260,-325,-110,-110,-105,-115,260,-325,-105,-115,-104,-118,260,-320,-115,-105,,,,,,,-117,-108,250,-335,-115,-110,,,,,,,,,,,,,105.0,-116.0,245.0,-300.0,-113.0,-102.0,100.0,-120.0,245.0,-300.0,-115.0,-105.0
