League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NFL,2026-09-17 19:55:28,2026-09-20 16:05,71b3b83747589efdc5baef2c5cf811bf,Los Angeles Chargers,Las Vegas Raiders,Yes,231.8,No,AFC,West,AFC,West,-86.0,-107.62,-6.56,6.56,-301.88,244.62,-107.0,-112.12,43.44,-118,-102,-305,245,-105,-115,-115,-105,-310,250,-110,-110,-110,-110,-295.0,241.0,-105,-115,-112.0,-105.0,-300.0,240.0,-105.0,-112.0,-105,-105,-295.0,241.0,-102,-113,-110.0,-110.0,-300.0,250.0,-115.0,-105.0,-118,-104,-315,245,-109,-112,100.0,-120.0,-295.0,245.0,-105.0,-115.0
NFL,2026-09-17 19:55:28,2026-09-20 16:25,4dd8020192a544385db42374e5555303,Arizona Cardinals,Seattle Seahawks,Yes,1103.7,No,NFC,West,NFC,West,-84.25,-109.5,3.94,-3.94,173.0,-205.38,-109.0,-110.5,41.12,100,-120,185,-225,-105,-115,-120,-102,166,-198,-102,-120,-112,-108,174.0,-200.0,-113,-107,-110.0,-108.0,175.0,-210.0,-112.0,-108.0,-107,-103,174.0,-200.0,-110,-104,-105.0,-115.0,170.0,-200.0,-110.0,-110.0,-110,-110,170,-210,-110,-110,-110.0,-110.0,170.0,-200.0,-110.0,-110.0
NFL,2026-09-17 19:55:28,2026-09-20 16:25,85ef85098ddd22fe4ecf45e7e3c0a9c0,Dallas Cowboys,Washington Commanders,Yes,1209.4,No,NFC,East,NFC,East,-108.62,-110.5,-4.0,4.0,-207.88,174.5,-108.0,-111.12,50.5,-115,-105,-218,180,-108,-112,-102,-120,-205,172,-110,-110,-110,-110,-205.0,177.0,-107,-113,-108.0,-112.0,-210.0,170.0,-108.0,-110.0,-105,-105,-205.0,177.0,-104,-110,-110.0,-110.0,-210.0,175.0,-110.0,-110.0,-109,-112,-200,165,-112,-109,-110.0,-110.0,-210.0,180.0,-105.0,-115.0
NFL,2026-09-17 19:55:28,2026-09-20 16:25,68bc55903f50af4af4766adcc89fcc61,San Francisco 49ers,Miami Dolphins,No,2558.8,No,NFC,West,AFC,East,-108.88,-109.75,-13.25,13.25,-1007.5,654.62,-108.25,-111.0,45.12,-105,-115,-900,600,-115,-105,-105,-115,-1000,660,-108,-112,-115,-105,-1050.0,686.0,-105,-115,-108.0,-110.0,-1000.0,700.0,-108.0,-110.0,-105,-105,-1050.0,686.0,-102,-113,-110.0,-110.0,-1100.0,650.0,-110.0,-110.0,-108,-113,-910,575,-108,-113,-115.0,-105.0,-1050.0,680.0,-110.0,-110.0
NFL,2026-09-17 19:55:28,2026-09-20 20:20,50bc247030707d823b9c3581d7eb5760,Kansas City Chiefs,Indianapolis Colts,No,447.8,Yes,AFC,West,AFC,South,-112.0,-49.71,-6.57,6.57,-300.62,243.62,-107.12,-112.12,46.56,-120,100,-290,235,-110,-110,-115,-105,-330,265,-110,-110,-115,-105,-290.0,237.0,-105,-115,,,-295.0,240.0,-108.0,-110.0,-110,100,-290.0,237.0,-102,-113,-110.0,-110.0,-275.0,225.0,-110.0,-110.0,-104,-118,-335,260,-107,-114,-110.0,-110.0,-300.0,250.0,-105.0,-115.0
NFL,2026-09-17 19:55:28,2026-09-21 20:15,32367f882fac1a0c20a6335619922025,Los Angeles Rams,New York Giants,No,2454.7,Yes,NFC,West,NFC,East,-111.88,-108.25,-7.12,7.12,-344.38,273.62,-110.12,-109.25,48.0,-118,-102,-375,295,-105,-115,-104,-118,-340,275,-118,-104,-115,-105,-330.0,267.0,-110,-110,-108.0,-120.0,-350.0,275.0,-108.0,-110.0,-108,-102,-330.0,267.0,-107,-107,-115.0,-105.0,-340.0,270.0,-110.0,-110.0,-112,-109,-360,270,-113,-108,-115.0,-105.0,-330.0,270.0,-110.0,-110.0
NFL,2026-09-17 19:55:28,2026-09-24 20:15,e5fbd3b3953b896b1bf897ddadb3cc4b,Green Bay Packers,Atlanta Falcons,No,766.7,Yes,NFC,North,NFC,South,-111.5,-107.33,-6.33,6.33,-296.67,240.0,-110.17,-109.0,46.17,-115,-105,-310,250,-110,-110,-120,-102,-275,225,-115,-105,-110,-110,,,-110,-110,,,,,,,-105,-105,,,-107,-107,,,,,,,-109,-112,-305,245,-109,-112,-110.0,-110.0,,,-110.0,-110.0
NFL,2026-09-17 19:55:28,2026-09-27 13:00,b225458a282e140c44c45651255f2f6c,Buffalo Bills,Los Angeles Chargers,No,2210.2,No,AFC,East,AFC,West,-108.0,-110.4,-4.3,4.3,-221.67,181.67,-110.0,-109.0,49.7,-110,-110,-225,185,-110,-110,-105,-115,-215,180,-115,-105,-110,-110,,,-110,-110,,,,,,,-105,-105,,,-107,-107,,,,,,,-110,-112,-225,180,-108,-113,,,,,,
NFL,2026-09-17 19:55:28,2026-09-27 13:00,613b8cd3a5fab58f7be4e3fd6f76223e,Cleveland Browns,Carolina Panthers,No,435.7,No,AFC,North,NFC,South,-111.5,-73.83,2.92,-2.92,124.33,-148.67,-110.83,-108.5,39.42,-105,-115,120,-142,-110,-110,-112,-108,130,-154,-105,-115,-115,-105,,,-115,-105,,,,,,,-110,100,,,-113,-102,,,,,,,-117,-105,123,-150,-112,-109,-110.0,-110.0,,,-110.0,-110.0
NFL,2026-09-17 19:55:28,2026-09-27 13:00,71123be049587b6facce3a20c53e5d09,Pittsburgh Steelers,Cincinnati Bengals,Yes,257.0,No,AFC,North,AFC,North,-109.5,-109.0,2.5,-2.5,112.67,-134.0,-108.67,-110.33,46.08,-110,-110,114,-135,-110,-110,-114,-106,110,-130,-105,-115,-110,-110,,,-110,-110,,,,,,,-105,-105,,,-107,-107,,,,,,,-108,-113,114,-137,-110,-110,-110.0,-110.0,,,-110.0,-110.0
