League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds
NFL,2026-05-11 18:53:45,2026-09-10 20:35,acc580d74344ea3b31bbcdd057fe6a9c,Los Angeles Rams,San Francisco 49ers,Yes,313.4,Yes,NFC,West,NFC,West,-115.0,28.33,-2.5,2.5,-142.67,119.67,-111.67,-108.33,48.83,-120,100,-148,124,-110,-110,-120.0,100.0,-150.0,125.0,-115.0,-105.0,-105.0,-115.0,-130.0,110.0,-110.0,-110.0
NFL,2026-05-11 18:53:45,2026-09-13 20:20,3e646c7479c57f5d9752d8c7dfe7059b,New York Giants,Dallas Cowboys,Yes,1387.3,Yes,NFC,East,NFC,East,-105.0,-115.0,1.5,-1.5,110.0,-130.0,-115.0,-105.0,47.5,-105,-115,110,-130,-115,-105,,,,,,,,,,,,
