League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NFL,2026-09-15 19:59:00,2026-09-17 20:15,56e8897681915f7ec92baeee952bb1ae,Buffalo Bills,Detroit Lions,No,219.4,Yes,AFC,East,NFC,North,-111.22,-107.56,-4.72,4.72,-232.56,191.44,-112.67,-84.44,53.67,-112,-108,-225,185,-120,100,-112.0,-108.0,-225.0,188.0,-115.0,-105.0,-113.0,-107.0,-240.0,200.0,-115.0,-105.0,-108.0,-110.0,-235.0,190.0,-108.0,-110.0,-108.0,-102.0,-240.0,200.0,-113.0,-102.0,-110.0,-110.0,-225.0,185.0,-105.0,-115.0,-113.0,-108.0,-235.0,190.0,-113.0,-108.0,-110.0,-110.0,-228.0,182.0,-110.0,-110.0,-115.0,-105.0,-240.0,203.0,-115.0,-105.0
NFL,2026-09-15 19:59:00,2026-09-20 13:00,aee7eae1849ebb103b9bf233e9741392,Atlanta Falcons,Carolina Panthers,Yes,226.4,No,NFC,South,NFC,South,-83.67,-112.67,2.44,-2.44,122.89,-145.67,-108.22,-112.33,43.33,-108,-112,120,-142,-105,-115,-110.0,-110.0,120.0,-142.0,-105.0,-115.0,-103.0,-117.0,128.0,-148.0,-110.0,-110.0,-105.0,-112.0,120.0,-145.0,-110.0,-120.0,-102.0,-108.0,128.0,-148.0,-107.0,-107.0,-105.0,-115.0,125.0,-145.0,-105.0,-115.0,-110.0,-110.0,120.0,-143.0,-112.0,-109.0,-110.0,-110.0,116.0,-148.0,-110.0,-110.0,100.0,-120.0,129.0,-150.0,-110.0,-110.0
NFL,2026-09-15 19:59:00,2026-09-20 13:00,2143ade9684fd876b68a4e8cbf451f05,Baltimore Ravens,New Orleans Saints,No,998.8,No,AFC,North,NFC,South,-61.11,-113.22,-8.61,8.61,-423.78,324.78,-111.22,-108.11,47.0,-110,-110,-395,310,-105,-115,-105.0,-115.0,-450.0,350.0,-115.0,-105.0,-104.0,-116.0,-420.0,330.0,-115.0,-105.0,-105.0,-112.0,-425.0,333.0,-110.0,-108.0,101.0,-112.0,-420.0,330.0,-113.0,-102.0,-110.0,-110.0,-420.0,315.0,-110.0,-110.0,-107.0,-114.0,-435.0,325.0,-108.0,-113.0,-110.0,-110.0,-429.0,300.0,-110.0,-110.0,100.0,-120.0,-420.0,330.0,-115.0,-105.0
NFL,2026-09-15 19:59:00,2026-09-20 13:00,0283a29e1b38ef78b29b904fd56a16dd,Chicago Bears,Minnesota Vikings,Yes,355.8,No,NFC,North,NFC,North,-86.11,-110.33,-5.56,5.56,-244.33,200.22,-108.11,-111.22,48.5,-112,-108,-238,195,-115,-105,-108.0,-112.0,-250.0,205.0,-105.0,-115.0,-110.0,-110.0,-245.0,203.0,-105.0,-115.0,-110.0,-108.0,-235.0,200.0,-108.0,-110.0,-105.0,-105.0,-245.0,203.0,-102.0,-113.0,-110.0,-110.0,-245.0,205.0,-105.0,-115.0,-110.0,-110.0,-250.0,200.0,-113.0,-108.0,-110.0,-110.0,-246.0,186.0,-110.0,-110.0,100.0,-120.0,-245.0,205.0,-110.0,-110.0
NFL,2026-09-15 19:59:00,2026-09-20 13:00,36ad2fa722f4915ef23d2c81351261de,Houston Texans,Cincinnati Bengals,No,897.7,No,AFC,South,AFC,North,-90.33,-40.11,-2.61,2.61,-149.22,125.67,-110.33,-108.89,46.5,-115,-105,-142,120,-108,-112,-102.0,-120.0,-154.0,130.0,-115.0,-105.0,-120.0,100.0,-145.0,125.0,-110.0,-110.0,-118.0,-102.0,-150.0,125.0,-110.0,-108.0,-116.0,105.0,-145.0,125.0,-107.0,-107.0,-115.0,-105.0,-150.0,130.0,-110.0,-110.0,-107.0,-114.0,-157.0,130.0,-113.0,-108.0,100.0,-120.0,-155.0,121.0,-110.0,-110.0,-120.0,100.0,-145.0,125.0,-110.0,-110.0
NFL,2026-09-15 19:59:00,2026-09-20 13:00,0636ebff776d43f8c829a36713c80b22,Tampa Bay Buccaneers,Cleveland Browns,No,933.8,No,NFC,South,AFC,North,-61.44,-114.33,-8.61,8.61,-435.11,330.56,-108.56,-110.67,41.44,-108,-112,-410,320,-110,-110,-104.0,-118.0,-450.0,350.0,-105.0,-115.0,-102.0,-118.0,-420.0,330.0,-110.0,-110.0,-110.0,-118.0,-450.0,340.0,-108.0,-110.0,103.0,-114.0,-420.0,330.0,-107.0,-107.0,-110.0,-110.0,-430.0,320.0,-110.0,-110.0,-112.0,-109.0,-455.0,335.0,-107.0,-114.0,-110.0,-110.0,-461.0,320.0,-110.0,-110.0,100.0,-120.0,-420.0,330.0,-110.0,-110.0
NFL,2026-09-15 19:59:00,2026-09-20 13:00,4aeee070bb6ec60bdfae4dede61b9014,New York Jets,Green Bay Packers,No,755.6,No,AFC,East,NFC,North,-111.67,-62.67,3.61,-3.61,163.89,-196.0,-109.78,-109.33,44.56,-120,100,180,-218,-112,-108,-105.0,-115.0,168.0,-200.0,-115.0,-105.0,-115.0,-105.0,161.0,-185.0,-107.0,-113.0,-108.0,-110.0,165.0,-200.0,-110.0,-108.0,-112.0,101.0,161.0,-185.0,-104.0,-110.0,-115.0,-105.0,160.0,-185.0,-110.0,-110.0,-110.0,-110.0,163.0,-200.0,-110.0,-110.0,-110.0,-110.0,158.0,-206.0,-110.0,-110.0,-110.0,-110.0,159.0,-185.0,-110.0,-110.0
NFL,2026-09-15 19:59:00,2026-09-20 13:00,9d14f87600f6edc74dbcb5c74edf6246,New England Patriots,Pittsburgh Steelers,No,469.3,No,AFC,East,AFC,North,-109.67,-109.33,-5.06,5.06,-231.89,190.11,-108.78,-110.56,41.61,-105,-115,-218,180,-112,-108,-120.0,-102.0,-240.0,198.0,-102.0,-120.0,-110.0,-110.0,-225.0,189.0,-110.0,-110.0,-108.0,-110.0,-235.0,190.0,-108.0,-110.0,-105.0,-105.0,-225.0,189.0,-107.0,-107.0,-110.0,-110.0,-235.0,195.0,-110.0,-110.0,-109.0,-112.0,-240.0,195.0,-110.0,-110.0,-110.0,-110.0,-244.0,185.0,-110.0,-110.0,-110.0,-110.0,-225.0,190.0,-110.0,-110.0
NFL,2026-09-15 19:59:00,2026-09-20 13:00,fafc649c455e32a0f2ba1bd06e2039bc,Tennessee Titans,Philadelphia Eagles,No,682.7,No,AFC,South,NFC,East,-107.44,-111.22,7.0,-7.0,269.22,-338.89,-109.33,-109.89,39.5,-108,-112,250,-310,-110,-110,-110.0,-110.0,275.0,-340.0,-105.0,-115.0,-107.0,-113.0,274.0,-340.0,-110.0,-110.0,-110.0,-108.0,270.0,-325.0,-110.0,-108.0,-102.0,-108.0,274.0,-340.0,-107.0,-107.0,-105.0,-115.0,270.0,-340.0,-110.0,-110.0,-110.0,-110.0,265.0,-345.0,-112.0,-109.0,-110.0,-110.0,270.0,-370.0,-110.0,-110.0,-105.0,-115.0,275.0,-340.0,-110.0,-110.0
NFL,2026-09-15 19:59:00,2026-09-20 16:05,1fd6628c781f556a7a19638e97d7107f,Denver Broncos,Jacksonville Jaguars,No,1470.2,No,AFC,West,AFC,South,-90.89,-18.56,-2.61,2.61,-150.44,127.22,-108.89,-110.33,45.44,100,-120,-155,130,-108,-112,-120.0,-102.0,-148.0,126.0,-105.0,-115.0,-120.0,100.0,-150.0,130.0,-110.0,-110.0,-105.0,-125.0,-150.0,125.0,-108.0,-110.0,-118.0,107.0,-150.0,130.0,-107.0,-107.0,-120.0,100.0,-150.0,130.0,-110.0,-110.0,-105.0,-117.0,-155.0,130.0,-112.0,-109.0,-110.0,-110.0,-146.0,115.0,-110.0,-110.0,-120.0,100.0,-150.0,129.0,-110.0,-110.0
