Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
2025-11-04 20:20:29,2025-11-09 16:25,Washington Commanders,Detroit Lions,No,401.9,No,-86.89,-110.44,360.33,-487.11,-109.89,-110.11,-112,-108,400,-535,-110,-110,-110.0,-110.0,400.0,-550.0,-110.0,-110.0,-108,-112,370,-480,-108,-112,100.0,-110.0,344.0,-440.0,-107.0,-107.0,-105.0,-115.0,344.0,-440.0,-110.0,-110.0,-115,-105,355.0,-450.0,-110,-110,-112.0,-114.0,370.0,-560.0,-114.0,-112.0,-110.0,-110.0,320.0,-469.0,-110.0,-110.0,-110.0,-110.0,340.0,-460.0,-110.0,-110.0
2025-11-04 20:20:29,2025-11-09 16:25,San Francisco 49ers,Los Angeles Rams,Yes,313.4,No,-109.11,-110.33,164.22,-198.0,-109.44,-110.56,-110,-110,164,-198,-110,-110,-110.0,-110.0,155.0,-190.0,-110.0,-110.0,-110,-110,160,-190,-105,-115,-102.0,-108.0,170.0,-195.0,-107.0,-107.0,-105.0,-115.0,170.0,-195.0,-110.0,-110.0,-110,-110,167.0,-195.0,-110,-110,-110.0,-115.0,165.0,-215.0,-113.0,-113.0,-110.0,-110.0,157.0,-204.0,-110.0,-110.0,-115.0,-105.0,170.0,-200.0,-110.0,-110.0
2025-11-04 20:20:29,2025-11-09 20:20,Los Angeles Chargers,Pittsburgh Steelers,No,2143.4,Yes,-85.22,-89.78,-154.89,129.33,-108.56,-111.22,-110,-110,-166,140,-105,-115,-105.0,-115.0,-155.0,130.0,-110.0,-110.0,-106,-114,-148,126,-105,-115,-101.0,-109.0,-148.0,128.0,-107.0,-107.0,-125.0,105.0,-148.0,128.0,-110.0,-110.0,-105,-115,-150.0,129.0,-110,-110,-110.0,-115.0,-159.0,123.0,-110.0,-114.0,-105.0,-115.0,-160.0,125.0,-110.0,-110.0,100.0,-120.0,-160.0,135.0,-110.0,-110.0
2025-11-04 20:20:29,2025-11-10 20:15,Green Bay Packers,Philadelphia Eagles,No,732.9,Yes,-112.44,-84.78,-136.67,113.89,-110.33,-109.67,-110,-110,-135,114,-115,-105,-110.0,-110.0,-140.0,118.0,-110.0,-110.0,-110,-110,-136,116,-108,-112,-109.0,-101.0,-135.0,115.0,-107.0,-107.0,-113.0,-107.0,-135.0,115.0,-110.0,-110.0,-120,100,-135.0,115.0,-110,-110,-115.0,-110.0,-141.0,110.0,-113.0,-113.0,-110.0,-110.0,-143.0,112.0,-110.0,-110.0,-115.0,-105.0,-130.0,110.0,-110.0,-110.0
2025-11-04 20:20:29,2025-11-13 20:15,New England Patriots,New York Jets,Yes,170.4,Yes,-108.0,-110.0,-592.5,440.0,-110.4,-108.4,-110,-110,-535,400,-110,-110,,,,,,,-105,-115,-650,480,-115,-105,-105.0,-105.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110,-110,,,-110,-110,,,,,,,,,,,,,,,,,,
2025-11-04 20:20:29,2025-11-16 09:30,Miami Dolphins,Washington Commanders,No,913.7,No,-110.6,-107.8,0.5,-118.5,-110.4,-108.4,-110,-110,105,-125,-110,-110,,,,,,,-118,-104,-104,-112,-115,-105,-105.0,-105.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110,-110,,,-110,-110,,,,,,,,,,,,,,,,,,
2025-11-04 20:20:29,2025-11-16 13:00,Atlanta Falcons,Carolina Panthers,Yes,226.4,No,-64.6,-113.6,-174.5,145.5,-109.4,-109.4,-105,-115,-175,145,-110,-110,,,,,,,-105,-115,-174,146,-110,-110,101.0,-112.0,,,-107.0,-107.0,-104.0,-116.0,,,-110.0,-110.0,-110,-110,,,-110,-110,,,,,,,,,,,,,,,,,,
2025-11-04 20:20:29,2025-11-16 13:00,Buffalo Bills,Tampa Bay Buccaneers,No,1041.2,No,-107.33,-113.33,-262.5,215.0,-113.33,-106.67,-110,-110,-265,215,-115,-105,,,,,,,-102,-120,-260,215,-115,-105,,,,,,,,,,,,,-110,-110,,,-110,-110,,,,,,,,,,,,,,,,,,
2025-11-04 20:20:29,2025-11-16 13:00,Minnesota Vikings,Chicago Bears,Yes,355.8,No,-69.4,-68.6,-148.5,125.0,-108.4,-110.4,-120,100,-155,130,-110,-110,,,,,,,-112,-108,-142,120,-105,-115,100.0,-110.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,-110,-110,,,-110,-110,,,,,,,,,,,,,,,,,,
2025-11-04 20:20:29,2025-11-16 13:00,Pittsburgh Steelers,Cincinnati Bengals,Yes,257.0,No,-110.6,-107.8,-277.5,225.0,-109.4,-109.4,-110,-110,-285,230,-110,-110,,,,,,,-120,-102,-270,220,-110,-110,-104.0,-106.0,,,-107.0,-107.0,-109.0,-111.0,,,-110.0,-110.0,-110,-110,,,-110,-110,,,,,,,,,,,,,,,,,,
2025-11-04 20:20:29,2025-11-16 13:00,New York Giants,Green Bay Packers,No,755.6,No,-112.6,-65.6,250.0,-310.0,-109.4,-109.4,-110,-110,250,-310,-110,-110,,,,,,,-115,-105,250,-310,-110,-110,-112.0,101.0,,,-107.0,-107.0,-116.0,-104.0,,,-110.0,-110.0,-110,-110,,,-110,-110,,,,,,,,,,,,,,,,,,
2025-11-04 20:20:29,2025-11-16 13:00,Tennessee Titans,Houston Texans,Yes,671.5,No,-110.0,-108.0,330.0,-422.5,-109.4,-109.4,-110,-110,330,-425,-110,-110,,,,,,,-115,-105,330,-420,-110,-110,-105.0,-105.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110,-110,,,-110,-110,,,,,,,,,,,,,,,,,,
2025-11-04 20:20:29,2025-11-16 13:00,Jacksonville Jaguars,Los Angeles Chargers,No,2154.8,No,-111.0,-107.4,106.5,-125.5,-111.4,-107.8,-110,-110,105,-125,-110,-110,,,,,,,-120,-102,108,-126,-120,-102,-105.0,-105.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110,-110,,,-110,-110,,,,,,,,,,,,,,,,,,
2025-11-04 20:20:29,2025-11-16 16:05,Arizona Cardinals,San Francisco 49ers,Yes,608.8,No,-68.0,-110.0,1.5,-120.5,-108.4,-110.4,-110,-110,105,-125,-110,-110,,,,,,,-115,-105,-102,-116,-105,-115,100.0,-110.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,-110,-110,,,-110,-110,,,,,,,,,,,,,,,,,,
2025-11-04 20:20:29,2025-11-16 16:05,Los Angeles Rams,Seattle Seahawks,Yes,964.0,No,-112.0,-66.0,-149.5,126.0,-108.4,-110.4,-120,100,-155,130,-110,-110,,,,,,,-115,-105,-144,122,-105,-115,-105.0,-105.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110,-110,,,-110,-110,,,,,,,,,,,,,,,,,,
2025-11-04 20:20:29,2025-11-16 16:25,Cleveland Browns,Baltimore Ravens,Yes,308.7,No,-110.0,-108.0,312.5,-395.0,-110.4,-108.4,-110,-110,285,-360,-110,-110,,,,,,,-115,-105,340,-430,-115,-105,-105.0,-105.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110,-110,,,-110,-110,,,,,,,,,,,,,,,,,,
2025-11-04 20:20:29,2025-11-16 16:25,Denver Broncos,Kansas City Chiefs,Yes,565.7,No,20.6,-119.2,134.0,-160.5,-109.4,-109.4,100,-120,130,-155,-115,-105,,,,,,,-102,-120,138,-166,-105,-115,110.0,-121.0,,,-107.0,-107.0,105.0,-125.0,,,-110.0,-110.0,-110,-110,,,-110,-110,,,,,,,,,,,,,,,,,,
2025-11-04 20:20:29,2025-11-16 20:20,Philadelphia Eagles,Detroit Lions,No,444.0,Yes,-110.0,-68.0,-120.5,1.5,-110.4,-108.4,-110,-110,-125,105,-110,-110,,,,,,,-105,-115,-116,-102,-115,-105,-110.0,100.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,-110,-110,,,-110,-110,,,,,,,,,,,,,,,,,,
2025-11-04 20:20:29,2025-11-17 20:15,Las Vegas Raiders,Dallas Cowboys,No,1056.9,Yes,-111.0,-67.0,155.0,-185.5,-108.2,-111.0,-110,-110,154,-185,-110,-110,,,,,,,-110,-110,156,-186,-104,-118,-110.0,100.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,-110,-110,,,-110,-110,,,,,,,,,,,,,,,,,,
