Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
2025-11-03 13:24:28,2025-11-03 20:15,Dallas Cowboys,Arizona Cardinals,No,880.3,Yes,-58.62,-61.38,-178.38,149.5,-111.62,-108.25,-108,-112,-180,150,-115,-105,-120.0,100.0,-175.0,150.0,-110.0,-110.0,-120,-102,-180,152,-115,-105,100,-120,-187,150,-110,-110,106,-117,-175,153,-105,-109,-101,-119,-175,153,-108,-112,-106,-121,-180,138,-115,-110,-120.0,100.0,-175.0,150.0,-115.0,-105.0
2025-11-03 13:24:28,2025-11-06 20:15,Denver Broncos,Las Vegas Raiders,Yes,609.3,Yes,-82.5,-112.0,-502.62,370.75,-109.38,-110.62,-110,-110,-470,360,-105,-115,-105.0,-115.0,-480.0,378.0,-110.0,-110.0,-106,-114,-520,400,-114,-106,-110,-110,-566,363,-110,-110,100,-110,-480,370,-107,-107,-105,-115,-480,370,-110,-110,-114,-112,-500,350,-109,-117,-110.0,-110.0,-525.0,375.0,-110.0,-110.0
2025-11-03 13:24:28,2025-11-09 09:30,Indianapolis Colts,Atlanta Falcons,No,425.4,No,-110.62,-108.62,-268.88,216.12,-110.12,-109.88,-115,-105,-278,225,-110,-110,-110.0,-110.0,-260.0,218.0,-110.0,-110.0,-110,-110,-270,220,-110,-110,-110,-110,-268,201,-110,-110,-105,-105,-260,215,-107,-107,-110,-110,-260,215,-110,-110,-115,-109,-295,220,-114,-112,-110.0,-110.0,-260.0,215.0,-110.0,-110.0
2025-11-03 13:24:28,2025-11-09 13:00,Minnesota Vikings,Baltimore Ravens,No,938.4,No,-110.12,-109.38,174.0,-211.12,-112.88,-107.25,-115,-105,160,-192,-110,-110,-110.0,-110.0,180.0,-210.0,-115.0,-105.0,-115,-105,184,-220,-115,-105,-110,-110,163,-212,-110,-110,-102,-108,180,-210,-114,-101,-107,-113,180,-210,-116,-104,-112,-114,165,-215,-113,-113,-110.0,-110.0,180.0,-220.0,-110.0,-110.0
2025-11-03 13:24:28,2025-11-09 13:00,Miami Dolphins,Buffalo Bills,Yes,1162.0,No,-109.12,-110.38,370.25,-500.75,-110.88,-109.25,-112,-108,330,-425,-110,-110,-110.0,-110.0,390.0,-500.0,-110.0,-110.0,-110,-110,400,-520,-120,-102,-110,-110,351,-536,-110,-110,-104,-106,383,-500,-107,-107,-110,-110,383,-500,-110,-110,-112,-114,350,-500,-115,-110,-105.0,-115.0,375.0,-525.0,-105.0,-115.0
2025-11-03 13:24:28,2025-11-09 13:00,Carolina Panthers,New Orleans Saints,Yes,649.1,No,-83.38,-111.12,-244.75,199.0,-111.12,-108.88,-108,-112,-238,195,-115,-105,-110.0,-110.0,-245.0,205.0,-110.0,-110.0,-105,-115,-240,198,-115,-105,-110,-110,-255,193,-110,-110,100,-110,-245,203,-107,-107,-105,-115,-245,203,-110,-110,-114,-112,-240,185,-112,-114,-115.0,-105.0,-250.0,210.0,-110.0,-110.0
2025-11-03 13:24:28,2025-11-09 13:00,Chicago Bears,New York Giants,No,707.3,No,-107.25,-112.25,-188.5,155.75,-108.75,-111.25,-110,-110,-185,154,-110,-110,-110.0,-110.0,-185.0,159.0,-110.0,-110.0,-108,-112,-194,162,-105,-115,-110,-110,-193,149,-110,-110,-103,-107,-185,161,-105,-109,-103,-117,-185,161,-108,-112,-109,-117,-186,135,-112,-114,-105.0,-115.0,-195.0,165.0,-110.0,-110.0
2025-11-03 13:24:28,2025-11-09 13:00,New York Jets,Cleveland Browns,No,400.4,No,-111.88,-82.62,-130.5,108.12,-111.75,-108.25,-115,-105,-130,110,-115,-105,-120.0,100.0,-130.0,110.0,-110.0,-110.0,-112,-108,-124,106,-115,-105,-110,-110,-136,107,-110,-110,-105,-105,-130,110,-107,-107,-110,-110,-130,110,-110,-110,-113,-113,-134,102,-117,-109,-110.0,-110.0,-130.0,110.0,-110.0,-110.0
2025-11-03 13:24:28,2025-11-09 13:00,Houston Texans,Jacksonville Jaguars,Yes,826.4,No,-112.25,-57.25,-122.14,43.43,-109.5,-110.5,-108,-112,-125,105,-112,-108,-120.0,100.0,,,-110.0,-110.0,-105,-115,-118,100,-105,-115,-110,-110,-121,-105,-110,-110,-113,102,-122,102,-107,-107,-117,-103,-122,102,-110,-110,-115,-110,-122,-105,-112,-114,-110.0,-110.0,-125.0,105.0,-110.0,-110.0
2025-11-03 13:24:28,2025-11-09 13:00,Tampa Bay Buccaneers,New England Patriots,No,1160.8,No,-115.12,-29.5,-146.38,122.75,-109.12,-111.12,-115,-105,-142,120,-110,-110,-120.0,100.0,-145.0,125.0,-110.0,-110.0,-110,-110,-142,120,-104,-118,-110,-110,-149,117,-110,-110,-115,104,-150,130,-107,-107,-117,-103,-150,130,-110,-110,-114,-112,-143,110,-112,-114,-120.0,100.0,-150.0,130.0,-110.0,-110.0
2025-11-03 13:24:28,2025-11-09 16:05,Seattle Seahawks,Arizona Cardinals,Yes,1103.7,No,-109.57,-110.0,-330.0,260.29,-110.86,-109.14,-115,-105,-345,275,-110,-110,-110.0,-110.0,-310.0,255.0,-110.0,-110.0,-110,-110,-340,275,-115,-105,-110,-110,-350,255,-110,-110,-105,-105,-315,256,-107,-107,-110,-110,-315,256,-110,-110,-107,-120,-335,250,-114,-112,,,,,,
2025-11-03 13:24:28,2025-11-09 16:25,Washington Commanders,Detroit Lions,No,401.9,No,-108.57,-110.86,337.71,-450.86,-109.29,-110.57,-105,-115,350,-455,-110,-110,,,,,,,-108,-112,370,-480,-108,-112,-110,-110,310,-441,-110,-110,-105,-105,337,-430,-107,-107,-110,-110,337,-430,-110,-110,-112,-114,330,-480,-110,-115,-110.0,-110.0,330.0,-440.0,-110.0,-110.0
2025-11-03 13:24:28,2025-11-09 16:25,San Francisco 49ers,Los Angeles Rams,Yes,313.4,No,-87.12,-82.38,153.5,-184.0,-110.25,-109.62,-115,-105,154,-185,-110,-110,-115.0,-105.0,155.0,-180.0,-110.0,-110.0,-110,-110,162,-194,-112,-108,-110,-110,148,-192,-110,-110,-114,103,157,-180,-107,-107,-116,-104,157,-180,-110,-110,-117,-108,145,-186,-113,-112,100.0,-120.0,150.0,-175.0,-110.0,-110.0
