Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
2025-10-14 14:24:59,2025-10-16 20:16,Cincinnati Bengals,Pittsburgh Steelers,Yes,257.0,Yes,-108.56,-111.22,217.22,-268.0,-110.11,-109.89,-110,-110,220,-270,-110,-110,-110,-110,225,-275,-110,-110,-110,-110,218,-260,-110,-110,-104,-118,220,-270,-115,-105,-110,-110,207,-261,-110,-110,-105,-105,215,-260,-107,-107,-110,-110,215,-260,-110,-110,-113,-113,215,-286,-109,-117,-105,-115,220,-270,-110,-110
2025-10-14 14:24:59,2025-10-19 09:31,Jacksonville Jaguars,Los Angeles Rams,No,2154.8,No,-116.67,8.11,128.78,-153.33,-109.0,-111.11,-105,-115,140,-166,-105,-115,-118,-102,125,-150,-110,-110,-120,100,129,-150,-110,-110,-115,-105,126,-148,-115,-105,-120,100,121,-154,-110,-110,-115,104,130,-150,-102,-113,-120,100,130,-150,-105,-115,-117,-109,128,-162,-114,-112,-120,100,130,-150,-110,-110
2025-10-14 14:24:59,2025-10-19 13:00,Chicago Bears,New Orleans Saints,No,832.7,No,-111.11,-86.33,-248.0,200.78,-111.44,-64.11,-110,-110,-245,200,-110,-110,-110,-110,-250,200,-110,-110,-110,-110,-240,203,-110,-110,-108,-112,-250,205,-105,-115,-110,-110,-242,184,-110,-110,-112,101,-240,200,-118,103,-116,-104,-240,200,-120,100,-114,-112,-275,205,-110,-115,-110,-110,-250,210,-110,-110
2025-10-14 14:24:59,2025-10-19 13:01,New York Jets,Carolina Panthers,No,533.9,No,-84.78,-112.56,86.78,-130.44,-108.78,-111.22,-105,-115,114,-135,-112,-108,-110,-110,110,-130,-110,-110,100,-120,115,-135,-110,-110,-105,-115,110,-130,-110,-110,-110,-110,-107,-119,-110,-110,-105,-105,115,-135,-102,-113,-105,-115,115,-135,-105,-115,-113,-113,104,-130,-110,-115,-110,-110,105,-125,-110,-110
2025-10-14 14:24:59,2025-10-19 13:01,Cleveland Browns,Miami Dolphins,No,1074.9,No,-109.56,-65.56,-154.44,129.44,-109.56,-110.56,-120,100,-142,120,-115,-105,-105,-115,-145,120,-110,-110,-105,-115,-155,134,-110,-110,-105,-115,-158,134,-105,-115,-110,-110,-165,129,-110,-110,-121,110,-155,135,-102,-113,-105,-115,-155,135,-105,-115,-110,-115,-150,118,-114,-112,-105,-115,-165,140,-115,-105
2025-10-14 14:24:59,2025-10-19 13:01,Kansas City Chiefs,Las Vegas Raiders,Yes,1151.8,No,-110.67,-108.89,-766.89,519.44,-109.44,-110.44,-112,-108,-850,575,-108,-112,-110,-110,-750,525,-110,-110,-110,-110,-700,500,-110,-110,-115,-105,-720,520,-112,-108,-110,-110,-847,510,-110,-110,-105,-105,-700,505,-107,-107,-110,-110,-700,505,-110,-110,-114,-112,-835,510,-113,-112,-110,-110,-800,525,-105,-115
2025-10-14 14:24:59,2025-10-19 13:01,Minnesota Vikings,Philadelphia Eagles,No,986.3,No,-40.33,-112.67,109.67,-131.67,-108.33,-111.67,-112,-108,120,-142,-105,-115,-110,-110,110,-130,-110,-110,100,-120,110,-130,-110,-110,-112,-108,114,-134,-104,-118,-110,-110,101,-128,-110,-110,105,-116,110,-130,-107,-107,100,-120,110,-130,-110,-110,-114,-112,107,-136,-109,-115,-110,-110,105,-125,-110,-110
2025-10-14 14:24:59,2025-10-19 13:01,Tennessee Titans,New England Patriots,No,926.1,No,-61.67,-113.33,273.78,-350.56,-109.56,-110.44,-105,-115,295,-375,-108,-112,-110,-110,260,-325,-110,-110,-105,-115,270,-330,-110,-110,-110,-110,285,-355,-115,-105,-110,-110,265,-370,-110,-110,100,-110,267,-330,-101,-114,-105,-115,267,-330,-104,-116,-110,-115,285,-400,-113,-112,100,-120,270,-340,-115,-105
2025-10-14 14:24:59,2025-10-19 16:06,Denver Broncos,New York Giants,No,1628.5,No,-87.78,-87.33,-347.78,271.44,-107.67,-112.56,-110,-110,-360,285,-105,-115,-105,-115,-325,260,-105,-115,-115,-105,-345,278,-110,-110,-108,-112,-340,275,-104,-118,100,-120,-350,250,-110,-110,-110,100,-335,270,-101,-114,-115,-105,-335,270,-104,-116,-112,-114,-400,285,-115,-110,-115,-105,-340,270,-115,-105
2025-10-14 14:24:59,2025-10-19 16:06,Los Angeles Chargers,Indianapolis Colts,No,1816.9,No,-109.67,-109.78,-125.67,82.11,-110.0,-110.0,-112,-108,-125,105,-110,-110,-110,-110,-125,105,-110,-110,-115,-105,-125,105,-110,-110,-105,-115,-122,104,-110,-110,-110,-110,-125,-102,-110,-110,-105,-105,-125,105,-107,-107,-110,-110,-125,105,-110,-110,-110,-115,-129,102,-113,-113,-110,-110,-130,110,-110,-110
