Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
2025-11-16 01:24:59,2025-11-16 09:30,Miami Dolphins,Washington Commanders,No,913.7,No,-112.33,-62.89,-145.78,122.22,-110.67,-87.11,-120,100,-148,124,-110,-110,-112,-108,-148,126,-104,-118,-120,100,-147,120,-110,-110,-115.0,-105.0,-150.0,125.0,-110.0,-110.0,-110.0,-110.0,-140.0,120.0,-125.0,105.0,-105,-115,-140.0,120.0,-110,-110,-102,-108,-140.0,120.0,-107,-107,-107,-113,-140.0,120.0,-110,-110,-120,-107,-159,125,-110,-114
2025-11-16 01:24:59,2025-11-16 13:00,Atlanta Falcons,Carolina Panthers,Yes,226.4,No,-112.0,-107.33,-206.11,171.11,-109.22,-110.89,-118,-102,-218,180,-110,-110,-115,-105,-205,172,-110,-110,-110,-110,-212,170,-110,-110,-115.0,-105.0,-200.0,165.0,-110.0,-110.0,-110.0,-110.0,-210.0,175.0,-115.0,-105.0,-110,-110,-205.0,175.0,-110,-110,-106,-104,-200.0,174.0,-101,-114,-110,-110,-200.0,174.0,-104,-116,-114,-110,-205,155,-113,-113
2025-11-16 01:24:59,2025-11-16 13:00,Buffalo Bills,Tampa Bay Buccaneers,No,1041.2,No,-111.33,-108.44,-283.0,228.78,-109.11,-110.89,-110,-110,-270,220,-112,-108,-120,-102,-290,240,-110,-110,-110,-110,-302,234,-110,-110,-110.0,-110.0,-275.0,220.0,-110.0,-110.0,-110.0,-110.0,-280.0,230.0,-105.0,-115.0,-110,-110,-275.0,230.0,-105,-115,-107,-103,-280.0,230.0,-107,-107,-112,-108,-280.0,230.0,-110,-110,-113,-113,-295,225,-113,-113
2025-11-16 01:24:59,2025-11-16 13:00,Minnesota Vikings,Chicago Bears,Yes,355.8,No,-18.56,-90.0,-152.67,128.44,-110.22,-109.89,-105,-115,-155,130,-105,-115,-115,-105,-152,128,-120,-102,100,-120,-156,127,-110,-110,-115.0,-105.0,-150.0,125.0,-110.0,-110.0,-120.0,100.0,-150.0,130.0,-110.0,-110.0,100,-120,-150.0,129.0,-110,-110,105,-116,-152.0,132.0,-107,-107,100,-120,-152.0,132.0,-110,-110,-117,-109,-157,123,-110,-115
2025-11-16 01:24:59,2025-11-16 13:00,Pittsburgh Steelers,Cincinnati Bengals,Yes,257.0,No,-109.89,-109.67,-248.33,201.56,-109.67,-110.22,-112,-108,-245,200,-115,-105,-108,-112,-240,198,-110,-110,-110,-110,-255,201,-110,-110,-110.0,-110.0,-250.0,200.0,-110.0,-110.0,-110.0,-110.0,-250.0,210.0,-105.0,-115.0,-110,-110,-250.0,210.0,-110,-110,-105,-105,-240.0,200.0,-107,-107,-110,-110,-240.0,200.0,-110,-110,-114,-112,-265,195,-110,-115
2025-11-16 01:24:59,2025-11-16 13:00,New York Giants,Green Bay Packers,No,755.6,No,-107.89,-111.89,285.11,-366.33,-110.44,-109.44,-108,-112,300,-380,-108,-112,-120,-102,275,-340,-110,-110,-105,-115,292,-392,-110,-110,-110.0,-110.0,300.0,-375.0,-110.0,-110.0,-105.0,-115.0,300.0,-400.0,-110.0,-110.0,-105,-115,280.0,-350.0,-110,-110,-101,-109,267.0,-330.0,-110,-104,-105,-115,267.0,-330.0,-113,-107,-112,-114,285,-400,-113,-112
2025-11-16 01:24:59,2025-11-16 13:00,Tennessee Titans,Houston Texans,Yes,671.5,No,-86.56,-110.78,216.33,-267.67,-109.89,-110.22,-108,-112,215,-265,-108,-112,-105,-115,210,-255,-104,-118,-115,-105,220,-283,-110,-110,-110.0,-110.0,230.0,-285.0,-110.0,-110.0,100.0,-120.0,220.0,-270.0,-115.0,-105.0,-110,-110,215.0,-255.0,-110,-110,-107,-103,211.0,-255.0,-107,-107,-115,-105,211.0,-255.0,-110,-110,-109,-117,215,-286,-115,-110
2025-11-16 01:24:59,2025-11-16 13:00,Jacksonville Jaguars,Los Angeles Chargers,No,2154.8,No,-114.67,-60.56,136.44,-162.22,-110.78,-109.11,-115,-105,136,-162,-115,-105,-115,-105,134,-158,-115,-105,-110,-110,137,-170,-110,-110,-115.0,-105.0,130.0,-155.0,-110.0,-110.0,-110.0,-110.0,145.0,-170.0,-110.0,-110.0,-120,100,138.0,-160.0,-110,-110,-114,103,140.0,-160.0,-107,-107,-116,-104,140.0,-160.0,-110,-110,-117,-109,128,-165,-110,-115
2025-11-16 01:24:59,2025-11-16 16:05,Arizona Cardinals,San Francisco 49ers,Yes,608.8,No,-111.33,-108.11,157.56,-188.89,-108.56,-111.56,-112,-108,164,-198,-108,-112,-114,-106,154,-186,-110,-110,-105,-115,157,-195,-110,-110,-110.0,-110.0,155.0,-190.0,-110.0,-110.0,-115.0,-105.0,160.0,-185.0,-110.0,-110.0,-110,-110,163.0,-190.0,-110,-110,-108,-102,161.0,-185.0,-102,-113,-113,-107,161.0,-185.0,-105,-115,-115,-110,143,-186,-112,-114
2025-11-16 01:24:59,2025-11-16 16:05,Los Angeles Rams,Seattle Seahawks,Yes,964.0,No,-92.33,5.67,-177.89,149.33,-109.67,-110.33,-120,100,-170,142,-110,-110,-120,-102,-180,152,-112,-108,-120,100,-180,146,-110,-110,-120.0,100.0,-175.0,145.0,-110.0,-110.0,100.0,-120.0,-185.0,160.0,-105.0,-115.0,-105,-115,-175.0,150.0,-110,-110,-118,107,-175.0,153.0,-107,-107,-122,102,-175.0,153.0,-110,-110,-106,-121,-186,143,-113,-113
2025-11-16 01:24:59,2025-11-16 16:25,Cleveland Browns,Baltimore Ravens,Yes,308.7,No,-112.89,-62.33,348.44,-460.56,-86.22,-111.67,-112,-108,360,-470,-108,-112,-110,-110,330,-420,-114,-106,-110,-110,350,-485,-110,-110,-110.0,-110.0,350.0,-450.0,-110.0,-110.0,-110.0,-110.0,345.0,-470.0,-110.0,-110.0,-115,-105,355.0,-450.0,-110,-110,-116,105,358.0,-460.0,101,-116,-120,100,358.0,-460.0,-102,-118,-113,-113,330,-480,-113,-113
2025-11-16 01:24:59,2025-11-16 16:25,Denver Broncos,Kansas City Chiefs,Yes,565.7,No,-107.56,-112.11,180.22,-218.56,-110.22,-109.67,-115,-105,190,-230,-105,-115,-102,-120,180,-215,-115,-105,-110,-110,178,-222,-110,-110,-105.0,-115.0,180.0,-220.0,-110.0,-110.0,-105.0,-115.0,180.0,-220.0,-115.0,-105.0,-105,-115,185.0,-220.0,-110,-110,-108,-102,183.0,-215.0,-107,-107,-105,-115,183.0,-215.0,-110,-110,-113,-112,163,-210,-110,-115
