Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
2025-11-13 20:20:01,2025-11-16 16:05,Los Angeles Rams,Seattle Seahawks,Yes,964.0,No,-86.78,-110.56,-172.78,145.56,-110.11,-109.78,-105,-115,-192,160,-112,-108,-110.0,-110.0,-165.0,140.0,-110.0,-110.0,-110.0,-110.0,-164.0,138.0,-112.0,-108.0,-110.0,-110.0,-177,143,-110.0,-110.0,-115.0,-105.0,-170.0,146.0,-110.0,-110.0,-107,-103,-165.0,145.0,-107,-107,-112,-108,-165.0,145.0,-110,-110,-112,-114,-177,138,-110,-115,100.0,-120.0,-180.0,155.0,-110.0,-110.0
2025-11-13 20:20:01,2025-11-16 16:25,Cleveland Browns,Baltimore Ravens,Yes,308.7,No,-113.89,-61.44,330.78,-434.33,-109.33,-110.67,-112,-108,350,-455,-115,-105,-110.0,-110.0,300.0,-375.0,-110.0,-110.0,-110.0,-110.0,340.0,-430.0,-105.0,-115.0,-110.0,-110.0,334,-459,-110.0,-110.0,-115.0,-105.0,325.0,-410.0,-110.0,-110.0,-126,114,324.0,-410.0,-107,-107,-120,100,324.0,-410.0,-110,-110,-112,-114,330,-480,-112,-114,-110.0,-110.0,350.0,-480.0,-105.0,-115.0
2025-11-13 20:20:01,2025-11-16 16:25,Denver Broncos,Kansas City Chiefs,Yes,565.7,No,-109.56,-88.89,172.78,-208.56,-88.0,-109.89,-105,-115,170,-205,-105,-115,-110.0,-118.0,170.0,-210.0,-110.0,-110.0,-102.0,-120.0,180.0,-215.0,-115.0,-105.0,-110.0,-110.0,167,-208,-110.0,-110.0,-115.0,-105.0,175.0,-205.0,-110.0,-110.0,-110,100,175.0,-202.0,-113,-102,-115,-105,175.0,-202.0,-115,-105,-114,-112,163,-210,-114,-112,-105.0,-115.0,180.0,-220.0,100.0,-120.0
2025-11-13 20:20:01,2025-11-16 20:20,Philadelphia Eagles,Detroit Lions,No,444.0,Yes,-114.11,-60.78,-149.0,124.89,-111.56,-108.44,-118,-102,-142,120,-115,-105,-120.0,100.0,-155.0,130.0,-110.0,-110.0,-114.0,-106.0,-142.0,120.0,-114.0,-106.0,-110.0,-110.0,-159,124,-110.0,-110.0,-115.0,-105.0,-150.0,129.0,-110.0,-110.0,-110,100,-149.0,129.0,-109,-105,-115,-105,-149.0,129.0,-112,-108,-115,-109,-155,123,-109,-117,-110.0,-110.0,-140.0,120.0,-115.0,-105.0
2025-11-13 20:20:01,2025-11-17 20:15,Las Vegas Raiders,Dallas Cowboys,No,1056.9,Yes,-67.44,-63.11,153.0,-183.33,-109.11,-110.67,-110,-110,160,-192,-110,-110,-118.0,-102.0,145.0,-175.0,-110.0,-110.0,-115.0,-105.0,154.0,-184.0,-105.0,-115.0,100.0,-120.0,146,-189,-110.0,-110.0,-120.0,100.0,150.0,-175.0,-110.0,-110.0,-113,102,157.0,-180.0,-107,-107,-117,-103,157.0,-180.0,-110,-110,-114,-110,148,-190,-110,-114,100.0,-120.0,160.0,-185.0,-110.0,-110.0
2025-11-13 20:20:01,2025-11-20 20:15,Houston Texans,Buffalo Bills,No,1290.3,Yes,-78.0,-74.67,123.33,-156.0,-109.83,-110.17,100,-120,130,-155,-110,-110,,,,,,,,,,,,,-110.0,-110.0,123,-158,-110.0,-110.0,-115.0,-105.0,,,-110.0,-110.0,-110,100,,,-107,-107,-115,-105,,,-110,-110,-118,-108,117,-155,-112,-114,,,,,,
2025-11-13 20:20:01,2025-11-23 13:00,Baltimore Ravens,New York Jets,No,171.7,No,-109.4,-109.8,-1318.25,723.75,-111.4,-108.4,-110,-110,-950,625,-110,-110,,,,,,,-110.0,-110.0,-1800.0,980.0,-115.0,-105.0,,,-1408,640,,,,,,,,,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-112,-114,-1115,650,-115,-110,,,,,,
2025-11-13 20:20:01,2025-11-23 13:00,Chicago Bears,Pittsburgh Steelers,No,408.1,No,-110.57,-108.86,-128.25,103.25,-110.83,-109.17,-110,-110,-125,105,-110,-110,,,,,,,-115.0,-105.0,-126.0,108.0,-115.0,-105.0,-110.0,-110.0,-133,100,,,-110.0,-110.0,,,-110.0,-110.0,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-114,-112,-129,100,-113,-113,,,,,,
2025-11-13 20:20:01,2025-11-23 13:00,Cincinnati Bengals,New England Patriots,No,726.2,No,-108.33,-110.67,201.75,-258.75,-109.33,-110.67,-110,-110,200,-245,-110,-110,,,,,,,-105.0,-115.0,225.0,-275.0,-105.0,-115.0,-110.0,-110.0,182,-250,-110.0,-110.0,,,,,,,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-110,-114,200,-265,-114,-112,,,,,,
2025-11-13 20:20:01,2025-11-23 13:00,Detroit Lions,New York Giants,No,476.5,No,-111.67,-74.67,-661.75,443.75,-109.43,-110.57,-110,-110,-575,425,-110,-110,,,,,,,-122.0,100.0,-650.0,480.0,-105.0,-115.0,,,-752,440,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-113,-113,-670,430,-114,-112,,,,,,
2025-11-13 20:20:01,2025-11-23 13:00,Green Bay Packers,Minnesota Vikings,Yes,257.7,No,-111.29,-79.71,-280.25,217.0,-110.0,-109.86,-110,-110,-285,230,-110,-110,,,,,,,-104.0,-118.0,-275.0,225.0,-110.0,-110.0,-110.0,-110.0,-275,198,-110.0,-110.0,-115.0,-105.0,,,-110.0,-110.0,-110,100,,,-107,-107,-115,-105,,,-110,-110,-115,-110,-286,215,-113,-112,,,,,,
2025-11-13 20:20:01,2025-11-23 13:00,Kansas City Chiefs,Indianapolis Colts,No,447.8,No,-79.29,-111.57,-226.75,178.25,-109.43,-110.57,-110,-110,-218,180,-110,-110,,,,,,,-112.0,-108.0,-225.0,188.0,-105.0,-115.0,-110.0,-110.0,-234,170,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0,100,-110,,,-107,-107,-105,-115,,,-110,-110,-113,-113,-230,175,-114,-112,,,,,,
2025-11-13 20:20:01,2025-11-23 13:00,Tennessee Titans,Seattle Seahawks,No,1974.6,No,-79.0,-111.71,507.5,-796.25,-109.57,-110.29,-110,-110,470,-650,-110,-110,,,,,,,-110.0,-110.0,570.0,-820.0,-110.0,-110.0,-110.0,-110.0,530,-1000,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0,100,-110,,,-107,-107,-105,-115,,,-110,-110,-113,-112,460,-715,-110,-115,,,,,,
2025-11-13 20:20:01,2025-11-23 16:05,Arizona Cardinals,Jacksonville Jaguars,No,1806.5,No,-108.71,-111.0,-121.5,-52.5,-110.86,-109.14,-110,-110,-125,105,-110,-110,,,,,,,-104.0,-118.0,-116.0,-102.0,-115.0,-105.0,-110.0,-110.0,-120,-110,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-112,-114,-125,-103,-114,-112,,,,,,
2025-11-13 20:20:01,2025-11-23 16:05,Las Vegas Raiders,Cleveland Browns,No,1833.6,No,-109.43,-110.0,-126.75,52.0,-110.71,-109.29,-110,-110,-122,102,-110,-110,,,,,,,-108.0,-112.0,-130.0,110.0,-115.0,-105.0,-110.0,-110.0,-125,-106,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-113,-113,-130,102,-113,-113,,,,,,
2025-11-13 20:20:01,2025-11-23 16:25,New Orleans Saints,Atlanta Falcons,Yes,424.5,No,-78.71,-111.86,147.25,-185.75,-110.0,-109.86,100,-120,140,-166,-110,-110,,,,,,,-106.0,-114.0,166.0,-198.0,-110.0,-110.0,-110.0,-110.0,143,-193,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-110,-114,140,-186,-113,-112,,,,,,
2025-11-13 20:20:01,2025-11-23 16:25,Dallas Cowboys,Philadelphia Eagles,Yes,1314.7,No,-107.43,-112.14,169.5,-214.25,-110.43,-109.57,-105,-115,170,-205,-110,-110,,,,,,,-102.0,-120.0,180.0,-215.0,-112.0,-108.0,-110.0,-110.0,163,-222,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-110,-115,165,-215,-114,-112,,,,,,
2025-11-13 20:20:01,2025-11-23 20:20,Los Angeles Rams,Tampa Bay Buccaneers,No,2155.6,Yes,-110.17,-109.17,-280.0,217.5,-111.0,-109.0,-110,-110,-265,215,-110,-110,,,,,,,-112.0,-108.0,-310.0,250.0,-120.0,-102.0,,,-280,200,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-114,-112,-265,205,-110,-114,,,,,,
2025-11-13 20:20:01,2025-11-24 20:15,San Francisco 49ers,Carolina Panthers,No,2281.2,Yes,-115.14,-18.57,-338.75,256.0,-110.86,-109.14,-110,-110,-355,280,-110,-110,,,,,,,-115.0,-105.0,-335.0,270.0,-115.0,-105.0,-110.0,-110.0,-330,234,-110.0,-110.0,-120.0,100.0,,,-110.0,-110.0,-116,105,,,-107,-107,-120,100,,,-110,-110,-115,-110,-335,240,-114,-112,,,,,,
