Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds
2025-10-19 21:21:37,2025-10-19 20:22,San Francisco 49ers,Atlanta Falcons,No,2116.8,Yes,-121.8,-110.0,-148.17,114.83,-117.0,-114.2,-120,-110,-160,124,-115,-115,-120,-110,-140,110,-125,-106,,,-125,100,,,-129,-110,-159,115,-120,-117,-115,-115,-155,125,-110,-118,-125.0,-105.0,-150.0,115.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
2025-10-19 21:21:37,2025-10-20 19:00,Detroit Lions,Tampa Bay Buccaneers,No,990.7,Yes,-112.22,-107.44,-283.11,228.22,-109.44,-110.44,-110,-110,-285,230,-108,-112,-120,-102,-275,225,-105,-115,-110.0,-110.0,-278,219,-110.0,-110.0,-112,-113,-305,225,-110,-115,-110,-110,-285,230,-110,-110,-110.0,-110.0,-280.0,230.0,-115.0,-105.0,-115.0,-105.0,-280.0,235.0,-110.0,-110.0,-108.0,-102.0,-280.0,230.0,-107.0,-107.0,-115.0,-105.0,-280.0,230.0,-110.0,-110.0
2025-10-19 21:21:37,2025-10-20 22:00,Seattle Seahawks,Houston Texans,No,1892.4,Yes,-115.22,-82.33,-174.56,146.78,-108.11,-111.78,-110,-110,-166,140,-105,-115,-118,-104,-178,150,-105,-115,-115.0,-105.0,-177,143,-110.0,-110.0,-118,-108,-190,148,-112,-113,-118,-102,-175,145,-110,-110,-115.0,-105.0,-180.0,155.0,-110.0,-110.0,-120.0,100.0,-165.0,142.0,-110.0,-110.0,-109.0,-101.0,-170.0,149.0,-104.0,-110.0,-114.0,-106.0,-170.0,149.0,-107.0,-113.0
2025-10-19 21:21:37,2025-10-23 20:15,Los Angeles Chargers,Minnesota Vikings,No,1532.4,Yes,-110.71,-108.57,-139.29,115.0,-109.17,-110.67,-110,-110,-135,114,-110,-110,-115,-105,-146,124,-108,-112,-110.0,-110.0,-143,112,,,-115,-110,-141,110,-110,-115,-110,-110,-140,115,-110,-110,,,,,,,,,,,,,-105.0,-105.0,-135.0,115.0,-107.0,-107.0,-110.0,-110.0,-135.0,115.0,-110.0,-110.0
2025-10-19 21:21:37,2025-10-26 13:00,Baltimore Ravens,Chicago Bears,No,604.8,No,-111.2,-110.0,-306.0,237.6,-109.0,-112.0,-105,-115,-285,230,-110,-110,-114,-106,-330,265,-105,-115,-110.0,-110.0,-310,228,-110.0,-110.0,-117,-109,-305,225,-110,-115,-110,-110,-300,240,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-19 21:21:37,2025-10-26 13:00,Carolina Panthers,Buffalo Bills,No,532.4,No,-112.57,-106.86,296.71,-387.86,-109.29,-111.0,-115,-105,280,-355,-110,-110,-115,-105,315,-400,-104,-118,-110.0,-110.0,260,-360,-110.0,-110.0,-112,-114,265,-375,-114,-112,-115,-105,325,-425,-110,-110,,,,,,,,,,,,,-108.0,-102.0,316.0,-400.0,-107.0,-107.0,-113.0,-107.0,316.0,-400.0,-110.0,-110.0
2025-10-19 21:21:37,2025-10-26 13:00,Cincinnati Bengals,New York Jets,No,566.6,No,-109.57,-110.14,-258.0,205.29,-110.0,-110.0,-110,-110,-278,225,-110,-110,-118,-104,-245,200,-105,-115,-110.0,-110.0,-255,193,-110.0,-110.0,-109,-117,-278,205,-113,-113,-105,-115,-250,200,-115,-105,,,,,,,,,,,,,-105.0,-105.0,-250.0,207.0,-107.0,-107.0,-110.0,-110.0,-250.0,207.0,-110.0,-110.0
2025-10-19 21:21:37,2025-10-26 13:00,New England Patriots,Cleveland Browns,No,540.1,No,-108.71,-111.14,-338.57,263.71,-109.14,-110.86,-115,-105,-340,270,-110,-110,-104,-118,-320,260,-105,-115,-110.0,-110.0,-330,244,-110.0,-110.0,-120,-107,-315,220,-113,-113,-105,-115,-325,260,-105,-115,,,,,,,,,,,,,-101.0,-109.0,-370.0,296.0,-109.0,-105.0,-106.0,-114.0,-370.0,296.0,-112.0,-108.0
2025-10-19 21:21:37,2025-10-26 13:00,Philadelphia Eagles,New York Giants,Yes,85.4,No,-109.0,-110.43,-342.86,265.57,-109.43,-110.43,-110,-110,-355,280,-105,-115,-105,-115,-350,280,-114,-106,-110.0,-110.0,-340,250,-110.0,-110.0,-113,-113,-345,235,-110,-115,-110,-110,-350,280,-110,-110,,,,,,,,,,,,,-105.0,-105.0,-330.0,267.0,-107.0,-107.0,-110.0,-110.0,-330.0,267.0,-110.0,-110.0
2025-10-19 21:21:37,2025-10-26 16:05,New Orleans Saints,Tampa Bay Buccaneers,Yes,478.6,No,-111.43,-108.29,222.43,-278.57,-111.43,-108.71,-110,-110,235,-290,-110,-110,-118,-104,225,-275,-118,-104,-110.0,-110.0,222,-300,-110.0,-110.0,-112,-114,190,-250,-110,-115,-115,-105,225,-275,-115,-105,,,,,,,,,,,,,-105.0,-105.0,230.0,-280.0,-107.0,-107.0,-110.0,-110.0,230.0,-280.0,-110.0,-110.0
