Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
2025-11-04 01:27:12,2025-11-06 20:15,Denver Broncos,Las Vegas Raiders,Yes,609.3,Yes,-109.22,-110.33,-496.11,369.11,-109.56,-110.22,-110,-110,-485,370,-105,-115,-110,-110,-475,360,-110,-110,-105,-115,-500,385,-114,-106,-103.0,-107.0,-470.0,364.0,-107.0,-107.0,-108.0,-112.0,-470.0,364.0,-110.0,-110.0,-110.0,-110.0,-470.0,370.0,-110.0,-110.0,-112.0,-114.0,-560.0,360.0,-110.0,-114.0,-110,-110,-510,374,-110,-110,-115.0,-105.0,-525.0,375.0,-110.0,-110.0
2025-11-04 01:27:12,2025-11-09 09:30,Indianapolis Colts,Atlanta Falcons,No,425.4,No,-109.78,-109.56,-270.33,217.44,-110.11,-109.89,-108,-112,-278,225,-110,-110,-110,-110,-275,225,-110,-110,-110,-110,-270,220,-110,-110,-105.0,-105.0,-260.0,215.0,-107.0,-107.0,-110.0,-110.0,-260.0,215.0,-110.0,-110.0,-110.0,-110.0,-260.0,218.0,-110.0,-110.0,-115.0,-109.0,-295.0,220.0,-114.0,-112.0,-110,-110,-275,204,-110,-110,-110.0,-110.0,-260.0,215.0,-110.0,-110.0
2025-11-04 01:27:12,2025-11-09 13:00,Minnesota Vikings,Baltimore Ravens,No,938.4,No,-109.56,-110.0,174.33,-212.11,-112.56,-107.56,-110,-110,164,-198,-110,-110,-110,-110,170,-210,-110,-110,-115,-105,184,-220,-115,-105,-102.0,-108.0,180.0,-210.0,-114.0,-101.0,-107.0,-113.0,180.0,-210.0,-116.0,-104.0,-110.0,-110.0,180.0,-210.0,-115.0,-105.0,-112.0,-114.0,165.0,-215.0,-113.0,-113.0,-110,-110,166,-216,-110,-110,-110.0,-110.0,180.0,-220.0,-110.0,-110.0
2025-11-04 01:27:12,2025-11-09 13:00,Miami Dolphins,Buffalo Bills,Yes,1162.0,No,-108.56,-111.0,382.33,-519.11,-110.22,-109.89,-110,-110,360,-470,-105,-115,-110,-110,375,-500,-110,-110,-110,-110,400,-520,-120,-102,-102.0,-108.0,390.0,-510.0,-107.0,-107.0,-107.0,-113.0,390.0,-510.0,-110.0,-110.0,-110.0,-110.0,395.0,-510.0,-110.0,-110.0,-113.0,-113.0,360.0,-530.0,-115.0,-110.0,-110,-110,381,-572,-110,-110,-105.0,-115.0,390.0,-550.0,-105.0,-115.0
2025-11-04 01:27:12,2025-11-09 13:00,Carolina Panthers,New Orleans Saints,Yes,649.1,No,-86.33,-111.0,-244.78,198.67,-111.56,-86.22,-108,-112,-238,195,-120,100,-110,-110,-250,200,-110,-110,-105,-115,-240,198,-115,-105,100.0,-110.0,-245.0,203.0,-107.0,-107.0,-105.0,-115.0,-245.0,203.0,-110.0,-110.0,-110.0,-110.0,-245.0,205.0,-110.0,-110.0,-114.0,-112.0,-240.0,185.0,-112.0,-114.0,-110,-110,-250,189,-110,-110,-115.0,-105.0,-250.0,210.0,-110.0,-110.0
2025-11-04 01:27:12,2025-11-09 13:00,Chicago Bears,New York Giants,No,707.3,No,-107.56,-112.0,-188.33,155.33,-108.89,-111.11,-110,-110,-185,154,-110,-110,-110,-110,-185,150,-110,-110,-108,-112,-194,162,-105,-115,-103.0,-107.0,-185.0,161.0,-105.0,-109.0,-103.0,-117.0,-185.0,161.0,-108.0,-112.0,-110.0,-110.0,-185.0,159.0,-110.0,-110.0,-109.0,-117.0,-186.0,135.0,-112.0,-114.0,-110,-110,-195,151,-110,-110,-105.0,-115.0,-195.0,165.0,-110.0,-110.0
2025-11-04 01:27:12,2025-11-09 13:00,New York Jets,Cleveland Browns,No,400.4,No,-111.22,-86.11,-130.44,108.33,-111.67,-87.0,-115,-105,-130,110,-120,100,-110,-110,-130,110,-110,-118,-112,-108,-124,106,-115,-105,-105.0,-105.0,-130.0,110.0,-107.0,-107.0,-110.0,-110.0,-130.0,110.0,-110.0,-110.0,-120.0,100.0,-130.0,110.0,-110.0,-110.0,-114.0,-112.0,-134.0,102.0,-113.0,-113.0,-110,-110,-136,107,-110,-110,-105.0,-115.0,-130.0,110.0,-110.0,-110.0
2025-11-04 01:27:12,2025-11-09 13:00,Houston Texans,Jacksonville Jaguars,Yes,826.4,No,-111.22,-63.89,-121.62,50.25,-108.67,-111.44,-108,-112,-125,105,-112,-108,-110,-110,-120,100,-110,-110,-105,-115,-118,100,-105,-115,-110.0,100.0,-122.0,102.0,-102.0,-113.0,-115.0,-105.0,-122.0,102.0,-105.0,-115.0,-120.0,100.0,,,-110.0,-110.0,-113.0,-113.0,-120.0,-107.0,-114.0,-112.0,-110,-110,-121,-105,-110,-110,-110.0,-110.0,-125.0,105.0,-110.0,-110.0
2025-11-04 01:27:12,2025-11-09 13:00,Tampa Bay Buccaneers,New England Patriots,No,1160.8,No,-114.56,-38.44,-146.22,122.44,-109.22,-111.0,-115,-105,-142,120,-110,-110,-110,-110,-145,120,-110,-110,-110,-110,-142,120,-104,-118,-115.0,104.0,-150.0,130.0,-107.0,-107.0,-117.0,-103.0,-150.0,130.0,-110.0,-110.0,-120.0,100.0,-145.0,125.0,-110.0,-110.0,-114.0,-112.0,-143.0,110.0,-112.0,-114.0,-110,-110,-149,117,-110,-110,-120.0,100.0,-150.0,130.0,-110.0,-110.0
2025-11-04 01:27:12,2025-11-09 16:05,Seattle Seahawks,Arizona Cardinals,Yes,1103.7,No,-113.25,-106.75,-315.0,247.75,-110.0,-110.0,-110,-110,-305,245,-110,-110,-118,-102,-325,260,-110,-110,-115,-105,-320,260,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,-110,-110,-310,226,-110,-110,,,,,,
