Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
2025-11-20 20:19:19,2025-11-23 16:25,New Orleans Saints,Atlanta Falcons,Yes,424.5,No,-110.11,-109.33,-133.33,111.67,-108.78,-111.22,-105,-115,-135,114,-105,-115,-112.0,-108.0,-136.0,116.0,-110.0,-110.0,-110.0,-110.0,-136,111,-110.0,-110.0,-112,-108,-132.0,112.0,-110,-110,-107,-103,-132.0,112.0,-107,-107,-115,-105,-130.0,110.0,-110,-110,-110,-115,-129,100,-112,-114,-110.0,-110.0,-130.0,110.0,-105.0,-115.0,-110.0,-110.0,-140.0,120.0,-110.0,-110.0
2025-11-20 20:19:19,2025-11-23 16:25,Dallas Cowboys,Philadelphia Eagles,Yes,1314.7,No,-66.56,-42.22,146.44,-175.0,-113.22,-106.89,100,-120,145,-175,-118,-102,-122.0,100.0,150.0,-180.0,-115.0,-105.0,-120.0,100.0,146,-181,-110.0,-110.0,-105,-115,147.0,-167.0,-115,-105,100,-110,147.0,-167.0,-113,-102,-120,100,150.0,-175.0,-110,-110,-120,-107,148,-190,-113,-113,-102.0,-118.0,145.0,-175.0,-110.0,-110.0,-110.0,-110.0,140.0,-165.0,-115.0,-105.0
2025-11-20 20:19:19,2025-11-23 20:20,Los Angeles Rams,Tampa Bay Buccaneers,No,2155.6,Yes,-114.22,-61.33,-343.89,268.89,-110.78,-109.22,-115,-105,-325,260,-112,-108,-120.0,-102.0,-340.0,275.0,-110.0,-110.0,-110.0,-110.0,-330,240,-110.0,-110.0,-123,103,-350.0,280.0,-110,-110,-119,108,-350.0,280.0,-107,-107,-105,-115,-350.0,280.0,-110,-110,-106,-121,-345,255,-113,-113,-115.0,-105.0,-325.0,260.0,-110.0,-110.0,-115.0,-105.0,-380.0,290.0,-115.0,-105.0
2025-11-20 20:19:19,2025-11-24 20:15,San Francisco 49ers,Carolina Panthers,No,2281.2,Yes,-111.56,-85.78,-362.44,280.67,-109.11,-110.89,-125,105,-375,295,-108,-112,-110.0,-110.0,-370.0,295.0,-105.0,-115.0,-110.0,-110.0,-412,293,-110.0,-110.0,-110,-110,-340.0,274.0,-110,-110,-105,-105,-340.0,274.0,-107,-107,-110,-110,-340.0,275.0,-110,-110,-114,-112,-375,260,-112,-114,-110.0,-110.0,-350.0,280.0,-110.0,-110.0,-110.0,-110.0,-360.0,280.0,-110.0,-110.0
2025-11-20 20:19:19,2025-11-27 13:00,Detroit Lions,Green Bay Packers,Yes,293.2,No,-114.25,-55.25,-166.6,136.6,-112.12,-108.0,-115,-105,-166,140,-115,-105,-110.0,-110.0,-164.0,138.0,-120.0,-102.0,-110.0,-110.0,-171,133,-110.0,-110.0,-118,-102,,,-110,-110,-114,103,,,-107,-107,-120,100,,,-110,-110,-112,-113,-167,132,-115,-110,-115.0,-105.0,-165.0,140.0,-110.0,-110.0,,,,,,
2025-11-20 20:19:19,2025-11-27 16:30,Dallas Cowboys,Kansas City Chiefs,No,458.4,No,-111.12,-108.38,159.4,-198.6,-110.0,-110.0,-115,-105,170,-205,-110,-110,-110.0,-110.0,156.0,-186.0,-110.0,-110.0,-110.0,-110.0,156,-202,-110.0,-110.0,-110,-110,,,-110,-110,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-114,-112,150,-200,-113,-113,-115.0,-105.0,165.0,-200.0,-110.0,-110.0,,,,,,
2025-11-20 20:19:19,2025-11-27 20:20,Baltimore Ravens,Cincinnati Bengals,Yes,423.8,Yes,-112.71,-21.14,-410.75,304.25,-108.71,-111.29,-105,-115,-410,320,-105,-115,,,,,,,-110.0,-110.0,-423,287,-110.0,-110.0,-120,100,,,-110,-110,-116,105,,,-107,-107,-120,100,,,-110,-110,-113,-113,-435,310,-109,-117,-105.0,-115.0,-375.0,300.0,-110.0,-110.0,,,,,,
2025-11-20 20:19:19,2025-11-28 15:00,Philadelphia Eagles,Chicago Bears,No,665.3,No,-108.29,-111.14,-357.5,265.0,-110.14,-109.86,-105,-115,-360,285,-110,-110,-105.0,-115.0,-350.0,280.0,-110.0,-110.0,-110.0,-110.0,-360,250,-110.0,-110.0,-110,-110,,,-110,-110,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-113,-113,-360,245,-114,-112,,,,,,,,,,,,
2025-11-20 20:19:19,2025-11-30 13:00,Tampa Bay Buccaneers,Arizona Cardinals,No,1804.8,No,-110.33,-109.0,-280.75,216.0,-110.0,-110.0,-110,-110,-290,235,-110,-110,-115.0,-105.0,-270.0,220.0,-110.0,-110.0,,,-285,204,-110.0,-110.0,-110,-110,,,-110,-110,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-112,-114,-278,205,-113,-113,,,,,,,,,,,,
2025-11-20 20:19:19,2025-11-30 13:00,New York Jets,Atlanta Falcons,No,747.8,No,-110.14,-109.29,0.25,-124.25,-111.71,-108.14,-110,-110,105,-125,-115,-105,-112.0,-108.0,102.0,-120.0,-115.0,-105.0,-110.0,-110.0,-103,-128,-110.0,-110.0,-110,-110,,,-110,-110,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-114,-112,-103,-124,-115,-110,,,,,,,,,,,,
