Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
2026-01-03 20:44:09,2026-01-03 20:08,San Francisco 49ers,Seattle Seahawks,Yes,703.7,Yes,-111.5,-85.17,235.83,-320.0,-115.0,-114.8,-110,-120,250,-345,-120,-110,-108.0,-122.0,260.0,-360.0,-104.0,-128.0,-125,100,310,-400,-118,-111,-102,-125,250,-325,-118,-110,-109,-129,235,-345,,,-115,-115,110,-145,-115,-115,,,,,,,,,,,,,,,,,,
2026-01-03 20:44:09,2026-01-04 13:00,Atlanta Falcons,New Orleans Saints,Yes,424.5,No,-108.44,-111.11,-185.11,155.33,-110.25,-109.0,-110,-110,-192,160,-110,-110,-108.0,-112.0,-178.0,150.0,-115.0,-105.0,-110,-110,-191,154,-110,-110,-110,-110,-175,145,-110,-110,-114,-112,-190,148,,,-110,-110,-185,160,-110,-110,-102.0,-108.0,-185.0,161.0,-107.0,-107.0,-107.0,-113.0,-185.0,161.0,-110.0,-110.0,-105.0,-115.0,-185.0,159.0,-110.0,-110.0
2026-01-03 20:44:09,2026-01-04 13:00,Cincinnati Bengals,Cleveland Browns,Yes,223.1,No,-111.44,-108.11,-396.67,306.22,-108.25,-111.25,-118,-102,-410,320,-110,-110,-110.0,-110.0,-390.0,310.0,-104.0,-118.0,-115,-105,-410,310,-110,-110,-110,-110,-400,310,-110,-110,-113,-113,-420,295,,,-110,-110,-400,300,-105,-115,-106.0,-104.0,-380.0,303.0,-107.0,-107.0,-111.0,-109.0,-380.0,303.0,-110.0,-110.0,-110.0,-110.0,-380.0,305.0,-110.0,-110.0
2026-01-03 20:44:09,2026-01-04 13:00,New York Giants,Dallas Cowboys,Yes,1387.3,No,-111.56,-85.89,152.11,-181.44,-111.5,-107.75,-102,-118,142,-170,-115,-105,-115.0,-105.0,148.0,-176.0,-115.0,-105.0,-110,-110,147,-182,-110,-110,-115,-105,154,-185,-115,-105,-113,-113,155,-200,,,-105,-115,150,-175,-110,-110,-114.0,103.0,157.0,-180.0,-107.0,-107.0,-115.0,-105.0,157.0,-180.0,-110.0,-110.0,-115.0,-105.0,159.0,-185.0,-110.0,-110.0
2026-01-03 20:44:09,2026-01-04 13:00,Minnesota Vikings,Green Bay Packers,Yes,257.7,No,-109.44,-110.11,-524.56,387.89,-109.62,-109.75,-108,-112,-575,425,-102,-118,-105.0,-115.0,-590.0,430.0,-112.0,-108.0,-110,-110,-526,380,-110,-110,-110,-110,-550,400,-105,-115,-112,-114,-500,350,,,-115,-105,-510,370,-110,-110,-105.0,-105.0,-490.0,377.0,-113.0,-102.0,-110.0,-110.0,-490.0,377.0,-115.0,-105.0,-110.0,-110.0,-490.0,382.0,-110.0,-110.0
2026-01-03 20:44:09,2026-01-04 13:00,Houston Texans,Indianapolis Colts,Yes,870.3,No,-109.89,-109.67,-623.0,449.67,-110.38,-108.88,-112,-108,-650,470,-112,-108,-110.0,-110.0,-590.0,440.0,-115.0,-105.0,-110,-110,-662,462,-110,-110,-110,-110,-650,475,-115,-105,-112,-114,-625,420,,,-110,-110,-585,410,-110,-110,-105.0,-105.0,-615.0,455.0,-104.0,-110.0,-110.0,-110.0,-615.0,455.0,-107.0,-113.0,-110.0,-110.0,-615.0,460.0,-110.0,-110.0
2026-01-03 20:44:09,2026-01-04 13:00,Jacksonville Jaguars,Tennessee Titans,Yes,500.3,No,-109.0,-110.44,-840.22,559.11,-111.88,-57.5,-105,-115,-800,550,-112,-108,-115.0,-105.0,-850.0,590.0,-105.0,-115.0,-110,-110,-952,580,-110,-110,-105,-115,-800,550,-110,-110,-110,-115,-910,540,,,-115,-105,-850,550,-110,-110,-103.0,-107.0,-800.0,561.0,-118.0,103.0,-108.0,-112.0,-800.0,561.0,-120.0,100.0,-110.0,-110.0,-800.0,550.0,-110.0,-110.0
2026-01-03 20:44:09,2026-01-04 16:25,Los Angeles Rams,Arizona Cardinals,Yes,351.1,No,-111.0,-83.5,-468.75,351.0,-111.14,-108.14,-110,-110,-470,360,-110,-110,,,,,,,-110,-110,-490,350,-110,-110,-110,-110,-500,375,-110,-110,-113,-113,-480,325,,,-110,-110,-430,320,-110,-110,-110.0,100.0,-440.0,344.0,-113.0,-102.0,-115.0,-105.0,-440.0,344.0,-115.0,-105.0,-110.0,-110.0,-500.0,390.0,-110.0,-110.0
2026-01-03 20:44:09,2026-01-04 16:25,Buffalo Bills,New York Jets,Yes,278.4,No,-110.44,-86.78,-439.89,334.44,-108.38,-110.88,-102,-118,-440,340,-110,-110,-115.0,-105.0,-400.0,315.0,-105.0,-115.0,-110,-110,-469,350,-110,-110,-110,-110,-425,325,-110,-110,-112,-113,-480,330,,,-110,-110,-435,325,-105,-115,-110.0,100.0,-450.0,350.0,-107.0,-107.0,-115.0,-105.0,-450.0,350.0,-110.0,-110.0,-110.0,-110.0,-410.0,325.0,-110.0,-110.0
2026-01-03 20:44:09,2026-01-04 16:25,Chicago Bears,Detroit Lions,Yes,237.2,No,-110.89,-108.67,-191.0,159.22,-110.88,-109.38,-108,-112,-185,154,-115,-105,-110.0,-110.0,-190.0,160.0,-115.0,-105.0,-110,-110,-194,156,-110,-110,-110,-110,-190,155,-110,-118,-114,-112,-195,150,,,-115,-105,-195,165,-110,-110,-108.0,-102.0,-190.0,165.0,-107.0,-107.0,-113.0,-107.0,-190.0,165.0,-110.0,-110.0,-110.0,-110.0,-190.0,163.0,-110.0,-110.0
