Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds
2026-01-04 13:25:35,2026-01-04 13:02,Jacksonville Jaguars,Tennessee Titans,Yes,500.3,No,-113.33,-116.67,-875.33,504.17,-69.6,-121.6,-120,-110,-950,575,-110,-120,-122,-108,-1200,630,100,-132,-111,-111,-667,450,-118.0,-118.0,-117,-121,-1000,480,,,-105,-125,-1100,650,-110,-118,-105,-125,-335,240,-110,-120,,,,,,,,,,,,,,,,,,
2026-01-04 13:25:35,2026-01-04 13:02,Houston Texans,Indianapolis Colts,Yes,870.3,No,-117.33,-77.17,-381.0,273.33,-115.6,-72.2,-130,100,-315,230,-105,-125,-125,-106,-400,285,-132,100,-111,-111,-286,215,-118.0,-111.0,-115,-121,-360,240,,,-118,-110,-350,270,-118,-110,-105,-115,-575,400,-105,-115,,,,,,,,,,,,,,,,,,
2026-01-04 13:25:35,2026-01-04 13:02,Cincinnati Bengals,Cleveland Browns,Yes,223.1,No,-118.17,-115.83,-1006.67,545.0,-73.2,-113.6,-115,-115,-950,575,-115,-115,-120,-110,-1450,700,-118,-112,-133,-125,-1000,575,-118.0,-111.0,-118,-120,-1250,525,,,-118,-110,-1000,600,-115,-110,-105,-115,-390,295,100,-120,,,,,,,,,,,,,,,,,,
2026-01-04 13:25:35,2026-01-04 13:02,New York Giants,Dallas Cowboys,Yes,1387.3,No,-115.5,-80.33,175.0,-225.83,-109.0,-118.25,-115,-115,175,-230,-110,-120,-120,-110,190,-250,-106,-125,-118,-111,165,-200,,,-115,-121,170,-240,,,-105,-125,190,-250,-110,-118,-120,100,160,-185,-110,-110,,,,,,,,,,,,,,,,,,
2026-01-04 13:25:35,2026-01-04 13:02,Atlanta Falcons,New Orleans Saints,Yes,424.5,No,-115.0,-82.17,-192.67,147.67,-68.8,-121.6,-105,-125,-180,140,-115,-115,-102,-130,-188,146,104,-138,-111,-111,-222,170,-105.0,-125.0,-127,-112,-186,135,,,-130,100,-160,130,-118,-110,-115,-115,-220,165,-110,-120,,,,,,,,,,,,,,,,,,
2026-01-04 13:25:35,2026-01-04 13:03,Minnesota Vikings,Green Bay Packers,Yes,257.7,No,-116.0,-113.83,-889.83,514.17,-117.0,-112.6,-115,-115,-810,500,-115,-115,-125,-106,-1000,560,-120,-110,-111,-111,-714,475,-125.0,-105.0,-120,-118,-1115,525,,,-110,-118,-800,525,-110,-118,-115,-115,-900,500,-115,-115,,,,,,,,,,,,,,,,,,
2026-01-04 13:25:35,2026-01-04 16:25,Los Angeles Rams,Arizona Cardinals,Yes,351.1,No,-111.78,-85.89,-1248.22,729.56,-108.25,-111.25,-108,-112,-1200,750,-105,-115,-104,-118,-1350,810,-104,-118,-115,-105,-1699,839,-110.0,-110.0,-108,-118,-1250,650,,,-115,-105,-1100,700,-110,-110,-110,-110,-435,325,-110,-110,-115.0,-105.0,-1300.0,780.0,-110.0,-110.0,-115.0,104.0,-1450.0,856.0,-107.0,-107.0,-116.0,-104.0,-1450.0,856.0,-110.0,-110.0
2026-01-04 13:25:35,2026-01-04 16:25,Buffalo Bills,New York Jets,Yes,278.4,No,-109.67,-109.89,-682.22,474.89,-112.0,-107.38,-108,-112,-850,575,-118,-102,-115,-105,-770,540,-115,-105,-110,-110,-800,510,-110.0,-110.0,-114,-112,-770,475,,,-110,-110,-700,500,-110,-110,-105,-115,-420,315,-105,-115,-110.0,-110.0,-610.0,455.0,-110.0,-110.0,-105.0,-105.0,-610.0,452.0,-113.0,-102.0,-110.0,-110.0,-610.0,452.0,-115.0,-105.0
2026-01-04 13:25:35,2026-01-04 16:25,Chicago Bears,Detroit Lions,Yes,237.2,No,-84.89,-90.33,-209.67,173.22,-111.5,-107.88,-105,-115,-198,164,-112,-108,-104,-118,-210,176,-112,-108,-110,-110,-214,172,-110.0,-110.0,-110,-115,-220,170,,,-105,-115,-210,170,-110,-110,-120,100,-175,150,-110,-110,-105.0,-115.0,-220.0,185.0,-110.0,-110.0,100.0,-110.0,-220.0,186.0,-113.0,-102.0,-105.0,-115.0,-220.0,186.0,-115.0,-105.0
2026-01-04 13:25:35,2026-01-04 16:25,Denver Broncos,Los Angeles Chargers,Yes,837.9,No,-108.11,-111.44,-1219.22,730.22,-111.88,-107.5,-110,-110,-1350,800,-115,-105,-105,-115,-1350,810,-112,-108,-110,-110,-1408,760,-110.0,-110.0,-109,-117,-1115,600,,,-110,-110,-1100,700,-110,-110,-105,-115,-950,600,-105,-115,-110.0,-110.0,-1200.0,750.0,-115.0,-105.0,-109.0,-101.0,-1250.0,776.0,-113.0,-102.0,-105.0,-115.0,-1250.0,776.0,-115.0,-105.0
