Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds
2025-10-05 21:15:34,2025-10-05 20:23,Buffalo Bills,New England Patriots,Yes,387.4,Yes,-115.0,-115.17,-332.5,244.17,-114.5,-116.33,-115,-115,-330,240,-120,-110,-115,-110,-300,230,-118,-110,-112,-118,-310,230,-102,-130,-111.0,-118.0,-400.0,305.0,-118.0,-111.0,-122.0,-115.0,-345.0,235.0,-114.0,-122.0,-115.0,-115.0,-310.0,225.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
2025-10-05 21:15:34,2025-10-06 20:16,Jacksonville Jaguars,Kansas City Chiefs,No,945.3,Yes,-114.22,-83.33,161.89,-193.0,-109.0,-110.89,-112,-108,154,-185,-108,-112,-110,-110,165,-200,-110,-110,-118,-104,166,-198,-105,-115,-115.0,-105.0,157.0,-194.0,-110.0,-110.0,-118.0,-108.0,148.0,-190.0,-115.0,-110.0,-115.0,-105.0,160.0,-185.0,-110.0,-110.0,-115.0,-105.0,167.0,-195.0,-110.0,-110.0,-110.0,100.0,170.0,-195.0,-105.0,-109.0,-115.0,-105.0,170.0,-195.0,-108.0,-112.0
2025-10-05 21:15:34,2025-10-09 20:15,New York Giants,Philadelphia Eagles,Yes,85.4,Yes,-85.75,-83.75,295.86,-382.29,-109.12,-111.12,-110,-110,285,-360,-110,-110,100,-120,300,-375,-110,-110,-110,-110,310,-390,-104,-118,-110.0,-110.0,280.0,-391.0,-110.0,-110.0,-113.0,-113.0,290.0,-400.0,-112.0,-114.0,,,,,,,-118.0,-102.0,,,-110.0,-110.0,-110.0,100.0,303.0,-380.0,-107.0,-107.0,-115.0,-105.0,303.0,-380.0,-110.0,-110.0
2025-10-05 21:15:34,2025-10-12 08:31,New York Jets,Denver Broncos,No,1628.5,No,-78.57,-112.29,286.67,-362.17,-111.29,-108.57,-115,-105,300,-380,-110,-110,100,-120,300,-375,-115,-105,-110,-110,270,-335,-115,-105,,,,,,,-113.0,-113.0,260.0,-345.0,-112.0,-113.0,,,,,,,-105.0,-115.0,,,-110.0,-110.0,-101.0,-109.0,295.0,-369.0,-107.0,-107.0,-106.0,-114.0,295.0,-369.0,-110.0,-110.0
2025-10-05 21:15:34,2025-10-12 13:01,Indianapolis Colts,Arizona Cardinals,No,1506.4,No,-111.0,-108.43,-243.71,195.71,-108.86,-111.0,-115,-105,-230,190,-110,-110,-115,-105,-250,200,-105,-115,-110,-110,-250,205,-110,-110,-110.0,-110.0,-251.0,190.0,-110.0,-110.0,-112.0,-114.0,-245.0,185.0,-110.0,-115.0,,,,,,,,,,,,,-105.0,-105.0,-240.0,200.0,-107.0,-107.0,-110.0,-110.0,-240.0,200.0,-110.0,-110.0
2025-10-05 21:15:34,2025-10-12 13:01,Baltimore Ravens,Los Angeles Rams,No,2326.9,No,-114.6,-107.2,282.5,-360.0,-108.8,-112.0,-110,-110,275,-345,-110,-110,-115,-105,280,-350,-105,-115,-118,-104,290,-360,-105,-115,,,,,,,-120.0,-107.0,285.0,-385.0,-114.0,-110.0,,,,,,,,,,,,,,,,,,,-110.0,-110.0,,,-110.0,-110.0
2025-10-05 21:15:34,2025-10-12 13:01,Carolina Panthers,Dallas Cowboys,No,946.9,No,-75.33,-77.33,155.67,-188.17,-110.17,-109.83,100,-120,142,-170,-115,-105,-110,-110,155,-190,-110,-110,-105,-115,162,-194,-105,-115,,,,,,,-112.0,-114.0,145.0,-195.0,-114.0,-112.0,,,,,,,,,,,,,-110.0,100.0,165.0,-190.0,-107.0,-107.0,-115.0,-105.0,165.0,-190.0,-110.0,-110.0
2025-10-05 21:15:34,2025-10-12 13:01,Pittsburgh Steelers,Cleveland Browns,Yes,114.4,No,-110.33,-109.0,-230.0,189.33,-109.83,-110.17,-110,-110,-230,190,-110,-110,-110,-110,-225,185,-110,-110,-115,-105,-245,200,-110,-110,,,,,,,-112.0,-114.0,-250.0,195.0,-112.0,-114.0,,,,,,,,,,,,,-105.0,-105.0,-215.0,183.0,-107.0,-107.0,-110.0,-110.0,-215.0,183.0,-110.0,-110.0
2025-10-05 21:15:34,2025-10-12 13:01,Jacksonville Jaguars,Seattle Seahawks,No,2456.2,No,-107.0,-114.6,-120.4,18.2,-110.0,-110.83,-102,-118,-120,100,-110,-110,-105,-115,-120,100,-110,-110,-104,-118,-118,100,-110,-110,,,-122.0,-104.0,-110.0,-110.0,-114.0,-112.0,-122.0,-105.0,-110.0,-115.0,,,,,,,,,,,,,,,,,,,-110.0,-110.0,,,-110.0,-110.0
2025-10-05 21:15:34,2025-10-12 13:01,Miami Dolphins,Los Angeles Chargers,No,2336.5,No,-108.86,-110.86,199.0,-249.0,-109.86,-110.14,-110,-110,205,-250,-110,-110,-110,-110,200,-250,-110,-110,-104,-118,190,-230,-110,-110,-110.0,-110.0,188.0,-248.0,-110.0,-110.0,-113.0,-113.0,180.0,-245.0,-112.0,-114.0,,,,,,,,,,,,,-105.0,-105.0,215.0,-260.0,-107.0,-107.0,-110.0,-110.0,215.0,-260.0,-110.0,-110.0
