Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
2025-11-17 13:25:32,2025-11-17 20:15,Las Vegas Raiders,Dallas Cowboys,No,1056.9,Yes,-90.67,-84.78,158.56,-189.78,-109.44,-110.44,-112,-108,154,-185,-110,-110,-118,-104,158,-188,-105,-115,-110,-110,157,-194,-110,-110,-115,-105,159.0,-185.0,-110,-110,-116,-104,168.0,-193.0,-110,-110,-115,104,168.0,-193.0,-107,-107,-117,-109,148,-195,-113,-112,-118,-102,155,-190,-110,-110,105.0,-125.0,160.0,-185.0,-110.0,-110.0
2025-11-17 13:25:32,2025-11-20 20:15,Houston Texans,Buffalo Bills,No,1290.3,Yes,-85.56,-112.0,191.44,-235.89,-108.67,-111.33,100,-120,200,-245,-110,-110,-102,-120,198,-240,-102,-120,-110,-110,181,-238,-110,-110,-110,-110,195.0,-230.0,-110,-110,-110,-110,192.0,-230.0,-110,-110,-105,-105,192.0,-230.0,-107,-107,-113,-113,200,-265,-109,-115,-110,-110,180,-220,-110,-110,-110.0,-110.0,185.0,-225.0,-110.0,-110.0
2025-11-17 13:25:32,2025-11-23 13:00,Baltimore Ravens,New York Jets,No,171.7,No,-111.67,-109.0,-1073.89,661.44,-111.44,-108.56,-112,-108,-1050,675,-108,-112,-115,-105,-1100,700,-115,-105,-110,-110,-1205,620,-110,-110,-110,-110,-1100.0,700.0,-110,-110,-110,-110,-1100.0,709.0,-110,-110,-105,-105,-1100.0,709.0,-107,-107,-118,-108,-910,540,-118,-108,-110,-120,-900,600,-110,-110,-115.0,-105.0,-1200.0,700.0,-115.0,-105.0
2025-11-17 13:25:32,2025-11-23 13:00,Chicago Bears,Pittsburgh Steelers,No,408.1,No,-84.44,-112.89,-159.56,133.56,-111.44,-108.56,-105,-115,-155,130,-110,-110,-112,-108,-164,138,-110,-110,-110,-110,-165,128,-110,-110,-105,-115,-155.0,134.0,-110,-110,-104,-116,-155.0,135.0,-115,-105,101,-112,-155.0,135.0,-113,-102,-110,-115,-167,132,-115,-110,-110,-110,-160,135,-110,-110,-105.0,-115.0,-160.0,135.0,-110.0,-110.0
2025-11-17 13:25:32,2025-11-23 13:00,Cincinnati Bengals,New England Patriots,No,726.2,No,-84.11,-113.11,279.22,-356.67,-110.78,-109.11,-110,-110,270,-340,-115,-105,-105,-115,310,-390,-115,-105,-105,-115,255,-350,-110,-110,-105,-115,280.0,-350.0,-110,-110,-104,-116,289.0,-360.0,-110,-110,102,-113,289.0,-360.0,-107,-107,-115,-109,285,-385,-110,-115,-110,-110,260,-325,-110,-110,-105.0,-115.0,275.0,-350.0,-110.0,-110.0
2025-11-17 13:25:32,2025-11-23 13:00,Detroit Lions,New York Giants,No,476.5,No,-110.62,-108.88,-617.38,439.38,-110.0,-110.0,-110,-110,-550,410,-105,-115,-120,-102,-750,530,-115,-105,-110,-110,-649,420,-110,-110,-110,-110,-550.0,425.0,-110,-110,-110,-110,-550.0,415.0,-110,-110,-105,-105,-550.0,415.0,-107,-107,-110,-114,-715,450,-113,-113,-110,-110,-625,450,-110,-110,,,,,,
2025-11-17 13:25:32,2025-11-23 13:00,Green Bay Packers,Minnesota Vikings,Yes,257.7,No,-108.89,-110.56,-289.56,232.33,-109.89,-110.11,-110,-110,-285,230,-108,-112,-110,-110,-300,245,-105,-115,-110,-110,-300,222,-110,-110,-110,-110,-290.0,240.0,-110,-110,-110,-110,-290.0,237.0,-110,-110,-105,-105,-290.0,237.0,-107,-107,-110,-115,-286,215,-114,-112,-110,-110,-275,225,-110,-110,-105.0,-115.0,-290.0,240.0,-115.0,-105.0
2025-11-17 13:25:32,2025-11-23 13:00,Kansas City Chiefs,Indianapolis Colts,No,447.8,No,-17.67,-91.22,-178.44,149.22,-110.89,-109.11,-115,-105,-166,140,-108,-112,-104,-118,-188,158,-115,-105,100,-120,-186,144,-110,-110,100,-120,-175.0,150.0,-110,-110,100,-120,-175.0,153.0,-110,-110,105,-116,-175.0,153.0,-107,-107,-107,-120,-186,145,-113,-113,-118,-102,-175,145,-110,-110,-120.0,100.0,-180.0,155.0,-115.0,-105.0
2025-11-17 13:25:32,2025-11-23 13:00,Tennessee Titans,Seattle Seahawks,No,1974.6,No,-108.33,-111.44,560.22,-853.78,-108.78,-111.33,-115,-105,550,-800,-110,-110,-102,-120,610,-900,-110,-110,-110,-110,610,-1099,-110,-110,-110,-110,550.0,-800.0,-110,-110,-108,-112,561.0,-800.0,-105,-115,-103,-107,561.0,-800.0,-102,-113,-112,-114,500,-835,-112,-114,-110,-110,550,-800,-110,-110,-105.0,-115.0,550.0,-850.0,-110.0,-110.0
2025-11-17 13:25:32,2025-11-23 16:05,Arizona Cardinals,Jacksonville Jaguars,No,1806.5,No,-61.0,-114.11,124.11,-148.44,-109.33,-110.56,-105,-115,120,-142,-112,-108,-108,-112,124,-146,-105,-115,-110,-110,123,-159,-110,-110,100,-120,129.0,-150.0,-110,-110,-104,-116,128.0,-148.0,-110,-110,101,-112,128.0,-148.0,-107,-107,-113,-112,110,-143,-110,-115,-105,-115,125,-150,-110,-110,-105.0,-115.0,130.0,-150.0,-110.0,-110.0
