Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
2026-01-13 07:41:53,2026-01-17 16:30,Denver Broncos,Buffalo Bills,No,1376.3,No,-111.0,-86.56,-109.83,-110.67,-110.88,-108.38,-102,-118,-112,-108,-115,-105,-120,-102,-108,-108,-110,-110,-112,-114,-117,-109,,,-110,-110,-105,-115,-110,-110,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-120,100,-112,-109,-110,-110,-110,-110,-105,-115,-115,-105,-110,-110,,,-110,-110
2026-01-13 07:41:53,2026-01-17 20:00,Seattle Seahawks,San Francisco 49ers,Yes,703.7,Yes,-108.44,-111.11,-381.67,296.89,-110.0,-109.25,-108,-112,-355,280,-108,-112,-110,-110,-390,310,-115,-105,-108,-118,-400,285,,,-110,-110,-375,300,-110,-110,-105,-105,-385.0,306.0,-107,-107,-110,-110,-385.0,306.0,-110,-110,-110,-110,-400,300,-110,-110,-105,-115,-370,285,-110,-110,-110,-110,-375.0,300.0,-110,-110
2026-01-13 07:41:53,2026-01-18 15:00,New England Patriots,Houston Texans,No,1593.4,No,-91.56,-17.33,-156.33,131.56,-110.12,-109.12,-102,-118,-162,136,-115,-105,-120,-102,-154,130,-115,-105,-121,-106,-165,128,,,-120,100,-155,130,-110,-110,-116,105,-154.0,134.0,-104,-110,-120,100,-154.0,134.0,-107,-113,100,-120,-158,128,-110,-110,-105,-115,-150,130,-110,-110,-120,100,-155.0,134.0,-110,-110
2026-01-13 07:41:53,2026-01-18 18:30,Chicago Bears,Los Angeles Rams,No,1754.3,No,-107.11,-112.44,165.11,-198.0,-108.75,-111.5,-105,-115,164,-198,-115,-105,-104,-118,172,-205,-106,-114,-114,-110,150,-195,,,-110,-110,165,-200,-118,-110,-101,-109,166.0,-191.0,-104,-110,-105,-115,166.0,-191.0,-107,-113,-110,-110,163,-202,-110,-110,-105,-115,170,-200,-105,-115,-110,-110,170.0,-200.0,-105,-115
