Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
2026-01-11 20:41:12,2026-01-11 20:16,New England Patriots,Los Angeles Chargers,No,2595.1,Yes,-114.6,-114.8,-203.0,112.8,-111.25,-119.5,-125,-105,-230,175,-115,-115,-118,-112,-210,162,-102,-130,-115,-121,-250,170,,,-105.0,-118.0,-105.0,-118.0,-118.0,-118.0,-110,-118,-220,175,-110,-115,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-11 20:41:12,2026-01-12 20:00,Pittsburgh Steelers,Houston Texans,No,1142.2,Yes,-115.67,-81.89,131.89,-156.89,-107.12,-112.25,-118,-102,130,-155,-105,-115,-115,-105,136,-162,-105,-115,-120,-107,128,-162,,,-115.0,-105.0,129.0,-158.0,-110.0,-110.0,-115,-105,135,-160,-110,-110,-115.0,-105.0,130.0,-150.0,-105.0,-115.0,-113.0,102.0,130.0,-150.0,-102.0,-113.0,-115.0,-105.0,134.0,-155.0,-110.0,-110.0,-115.0,-105.0,135.0,-160.0,-110.0,-110.0
2026-01-11 20:41:12,2026-01-18 13:00,Chicago Bears,Los Angeles Rams,No,1754.3,No,-113.29,-77.71,163.57,-195.71,-109.5,-109.5,-110,-110,170,-205,-110,-110,-118,-104,160,-190,-115,-105,-115,-110,155,-200,,,,,,,,,-115,-105,165,-200,-110,-110,-115.0,-105.0,165.0,-190.0,-110.0,-110.0,-110.0,100.0,165.0,-190.0,-107.0,-107.0,,,,,,,-110.0,-110.0,165.0,-195.0,-105.0,-115.0
2026-01-11 20:41:12,2026-01-18 13:00,Seattle Seahawks,San Francisco 49ers,Yes,703.7,No,-112.33,-107.0,-315.0,250.33,-112.0,-107.2,-115,-105,-305,245,-115,-105,-114,-106,-320,260,-118,-104,-113,-113,-335,245,,,,,,,,,-115,-105,-300,240,-110,-110,-111.0,-109.0,-315.0,256.0,-110.0,-110.0,-106.0,-104.0,-315.0,256.0,-107.0,-107.0,,,,,,,,,,,,
