Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
2026-01-04 07:36:08,2026-01-04 13:00,Atlanta Falcons,New Orleans Saints,Yes,424.5,No,-84.44,-112.78,-180.56,151.22,-111.88,-107.38,-105,-115,-185,154,-118,-102,-108,-112,-178,150,-115,-105,-110,-110,-187,151,-110,-110,-113,-112,-190,145,,,100,-110,-175,153,-107,-107,-104,-116,-175,153,-110,-110,-110,-110,-175,145,-110,-110,-105,-115,-175,150,-110,-110,-105,-115,-185,160,-115,-105
2026-01-04 07:36:08,2026-01-04 13:00,Cincinnati Bengals,Cleveland Browns,Yes,223.1,No,-112.11,-85.33,-395.22,305.0,-109.25,-110.25,-118,-102,-410,320,-110,-110,-110,-110,-390,310,-104,-118,-110,-110,-410,310,-110,-110,-113,-113,-420,295,,,-113,102,-376,300,-107,-107,-115,-105,-376,300,-113,-107,-110,-110,-400,310,-110,-110,-110,-110,-375,300,-115,-105,-110,-110,-400,300,-105,-115
2026-01-04 07:36:08,2026-01-04 13:00,New York Giants,Dallas Cowboys,Yes,1387.3,No,-90.33,-62.56,152.0,-181.0,-111.5,-107.75,-102,-118,142,-170,-115,-105,-115,-105,148,-176,-115,-105,-110,-110,156,-194,-110,-110,-118,-107,148,-190,,,-118,107,155,-177,-107,-107,-120,100,155,-177,-110,-110,-115,-105,154,-185,-115,-105,-115,-105,155,-180,-110,-110,100,-120,155,-180,-110,-110
2026-01-04 07:36:08,2026-01-04 13:00,Minnesota Vikings,Green Bay Packers,Yes,257.7,No,-109.67,-87.67,-531.22,391.22,-108.88,-110.38,-110,-110,-600,440,-102,-118,-104,-118,-550,410,-112,-108,-110,-110,-526,380,-110,-110,-110,-114,-560,380,,,-110,100,-490,377,-107,-107,-113,-107,-490,377,-110,-110,-110,-110,-550,400,-105,-115,-110,-110,-490,382,-110,-110,-110,-110,-525,375,-115,-105
2026-01-04 07:36:08,2026-01-04 13:00,Houston Texans,Indianapolis Colts,Yes,870.3,No,-111.44,-85.89,-623.33,447.11,-83.38,-110.88,-110,-110,-625,455,-105,-115,-110,-110,-590,440,-115,-105,-110,-110,-725,480,-110,-110,-112,-114,-625,420,,,-111,101,-610,452,-107,-107,-115,-105,-610,452,-110,-110,-110,-110,-625,450,-110,-110,-110,-110,-600,450,-110,-110,-115,-105,-600,425,100,-120
2026-01-04 07:36:08,2026-01-04 13:00,Jacksonville Jaguars,Tennessee Titans,Yes,500.3,No,-109.89,-109.56,-851.11,564.11,-111.88,-57.5,-105,-115,-800,550,-112,-108,-115,-105,-850,590,-105,-115,-110,-110,-1000,600,-110,-110,-110,-115,-910,540,,,-107,-103,-800,561,-118,103,-112,-108,-800,561,-120,100,-105,-115,-800,550,-110,-110,-110,-110,-800,550,-110,-110,-115,-105,-900,575,-110,-110
2026-01-04 07:36:08,2026-01-04 16:25,Los Angeles Rams,Arizona Cardinals,Yes,351.1,No,-111.44,-108.11,-1012.22,635.78,-110.12,-109.12,-112,-108,-1000,650,-110,-110,-115,-105,-820,570,-110,-110,-110,-110,-1275,728,-110,-110,-114,-112,-1115,600,,,-107,-103,-950,637,-109,-105,-110,-110,-950,637,-112,-108,-110,-110,-900,600,-110,-110,-110,-110,-1000,650,-110,-110,-115,-105,-1100,650,-110,-110
2026-01-04 07:36:08,2026-01-04 16:25,Buffalo Bills,New York Jets,Yes,278.4,No,-110.0,-109.67,-436.56,332.22,-110.38,-109.0,-105,-115,-440,340,-110,-110,-118,-104,-405,320,-105,-115,-110,-110,-469,350,-110,-110,-112,-113,-480,330,,,-105,-105,-435,340,-113,-102,-110,-110,-435,340,-115,-105,-110,-110,-425,325,-110,-110,-110,-110,-420,330,-115,-105,-110,-110,-420,315,-105,-115
2026-01-04 07:36:08,2026-01-04 16:25,Chicago Bears,Detroit Lions,Yes,237.2,No,-110.0,-109.56,-192.11,160.11,-110.25,-109.0,-108,-112,-185,154,-115,-105,-110,-110,-198,166,-110,-110,-110,-110,-196,158,-110,-110,-112,-114,-195,150,,,-105,-105,-190,165,-107,-107,-110,-110,-190,165,-110,-110,-110,-110,-190,155,-110,-110,-110,-110,-190,163,-110,-110,-115,-105,-195,165,-110,-110
2026-01-04 07:36:08,2026-01-04 16:25,Denver Broncos,Los Angeles Chargers,Yes,837.9,No,-87.11,-110.44,-1248.56,747.44,-109.25,-111.0,-115,-105,-1450,850,-110,-110,-120,-102,-1150,730,-112,-108,-110,-110,-1587,820,-110,-110,-113,-112,-1000,575,,,104,-115,-1250,776,-107,-107,-105,-115,-1250,776,-110,-110,-110,-110,-1100,700,-110,-118,-105,-115,-1250,800,-110,-110,-110,-110,-1200,700,-105,-115
