Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds
2025-11-16 13:22:26,2025-11-16 13:02,Buffalo Bills,Tampa Bay Buccaneers,No,1041.2,No,-116.6,-113.6,-307.0,220.0,-118.0,-113.4,-110,-120,-245,185,-120,-110,-120,-110,-370,265,-108,-122,-111.0,-111.0,-250,195,-118.0,-111.0,-127,-112,-345,225,-124,-114,-115,-115,-325,230,-120,-110,,,,,,,,,,,,,,,,,,
2025-11-16 13:22:26,2025-11-16 13:02,Pittsburgh Steelers,Cincinnati Bengals,Yes,257.0,No,-116.25,-114.75,-324.0,229.0,-114.75,-116.5,-115,-115,-270,200,-120,-110,-114,-114,-265,200,-114,-114,,,-400,275,,,-121,-115,-250,180,-115,-122,-115,-115,-435,290,-110,-120,,,,,,,,,,,,,,,,,,
2025-11-16 13:22:26,2025-11-16 13:02,Jacksonville Jaguars,Los Angeles Chargers,No,2154.8,No,-118.4,-72.2,143.2,-186.6,-114.25,-117.5,-115,-115,154,-200,-120,-110,-122,-108,144,-186,-112,-118,-125.0,100.0,140,-167,,,-120,-118,143,-205,-115,-122,-110,-120,135,-175,-110,-120,,,,,,,,,,,,,,,,,,
2025-11-16 13:22:26,2025-11-16 13:02,Minnesota Vikings,Chicago Bears,Yes,355.8,No,-114.2,-116.8,-137.8,26.0,-117.2,-114.2,-120,-110,-135,105,-115,-115,-106,-125,-113,-113,-118,-112,-105.0,-118.0,-167,135,-118.0,-111.0,-120,-121,-124,-112,-120,-118,-120,-110,-150,115,-115,-115,,,,,,,,,,,,,,,,,,
2025-11-16 13:22:26,2025-11-16 13:02,New York Giants,Green Bay Packers,No,755.6,No,-120.6,-110.0,138.8,-182.6,-114.0,-116.8,-120,-110,140,-180,-115,-115,-130,-102,144,-186,-114,-114,-118.0,-105.0,155,-200,-111.0,-118.0,-120,-118,125,-177,-115,-122,-115,-115,130,-170,-115,-115,,,,,,,,,,,,,,,,,,
2025-11-16 13:22:26,2025-11-16 13:02,Tennessee Titans,Houston Texans,Yes,671.5,No,-118.6,-111.0,164.4,-215.2,-112.6,-119.0,-125,-105,175,-230,-110,-120,-122,-108,144,-186,-106,-125,-111.0,-111.0,200,-250,-111.0,-118.0,-115,-121,143,-200,-121,-117,-120,-110,160,-210,-115,-115,,,,,,,,,,,,,,,,,,
2025-11-16 13:22:26,2025-11-16 13:03,Atlanta Falcons,Carolina Panthers,Yes,226.4,No,-74.4,-117.6,-39.6,-70.4,-120.4,-71.2,-120,-110,110,-140,-115,-115,-128,-104,102,-130,-132,100,100.0,-125.0,-182,155,-118.0,-111.0,-114,-129,-118,-117,-122,-115,-110,-120,-110,-120,-115,-115,,,,,,,,,,,,,,,,,,
2025-11-16 13:22:26,2025-11-16 16:05,Arizona Cardinals,San Francisco 49ers,Yes,608.8,No,-86.5,-82.88,158.25,-188.0,-109.25,-85.75,-112,-108,160,-192,-108,-112,-114,-106,160,-190,-106,-114,-110.0,-110.0,155,-192,-110.0,-110.0,-114,-110,155,-195,-113,-112,105,-125,155,-180,-120,100,-115.0,-105.0,159.0,-185.0,-110.0,-110.0,-117.0,106.0,161.0,-185.0,-102.0,-113.0,-115.0,-105.0,161.0,-185.0,-105.0,-115.0
2025-11-16 13:22:26,2025-11-16 16:05,Los Angeles Rams,Seattle Seahawks,Yes,964.0,No,-88.0,-32.12,-175.62,147.5,-110.12,-109.88,-120,100,-170,142,-110,-110,-120,-102,-180,152,-112,-108,-125.0,103.0,-179,145,-110.0,-110.0,-106,-120,-186,143,-112,-114,-105,-115,-175,150,-110,-110,-105.0,-115.0,-175.0,150.0,-110.0,-110.0,102.0,-113.0,-170.0,149.0,-107.0,-107.0,-125.0,105.0,-170.0,149.0,-110.0,-110.0
2025-11-16 13:22:26,2025-11-16 16:25,Cleveland Browns,Baltimore Ravens,Yes,308.7,No,-112.88,-106.62,345.25,-456.62,-110.38,-109.62,-112,-108,360,-470,-108,-112,-110,-110,360,-460,-115,-105,-115.0,-105.0,339,-463,-110.0,-110.0,-114,-112,330,-480,-113,-113,-115,-105,340,-460,-110,-110,-115.0,-105.0,345.0,-440.0,-110.0,-110.0,-108.0,-102.0,344.0,-440.0,-107.0,-107.0,-114.0,-106.0,344.0,-440.0,-110.0,-110.0
2025-11-16 13:22:26,2025-11-16 16:25,Denver Broncos,Kansas City Chiefs,Yes,565.7,No,-111.62,-83.0,182.75,-221.5,-110.25,-109.62,-115,-105,185,-225,-105,-115,-112,-108,188,-225,-115,-105,-115.0,-105.0,189,-237,-110.0,-110.0,-113,-113,180,-235,-110,-115,-105,-115,180,-220,-115,-105,-110.0,-110.0,180.0,-210.0,-110.0,-110.0,-113.0,102.0,180.0,-210.0,-107.0,-107.0,-110.0,-110.0,180.0,-210.0,-110.0,-110.0
2025-11-16 13:22:26,2025-11-16 20:20,Philadelphia Eagles,Detroit Lions,No,444.0,Yes,-63.88,-31.12,-148.62,125.12,-110.25,-109.75,-118,-102,-155,130,-112,-108,-118,-104,-146,124,-114,-106,-120.0,100.0,-153,124,-110.0,-110.0,-121,-106,-155,123,-109,-117,-120,100,-150,130,-110,-110,-120.0,100.0,-140.0,120.0,-110.0,-110.0,106.0,-117.0,-145.0,125.0,-107.0,-107.0,100.0,-120.0,-145.0,125.0,-110.0,-110.0
2025-11-16 13:22:26,2025-11-17 20:15,Las Vegas Raiders,Dallas Cowboys,No,1056.9,Yes,-34.38,-60.25,156.75,-186.5,-109.12,-111.0,-115,-105,154,-185,-112,-108,-115,-105,160,-190,-104,-118,100.0,-120.0,151,-187,-110.0,-110.0,-114,-112,148,-190,-110,-115,100,-120,160,-185,-110,-110,105.0,-125.0,159.0,-185.0,-110.0,-110.0,-116.0,105.0,161.0,-185.0,-107.0,-107.0,-120.0,100.0,161.0,-185.0,-110.0,-110.0
