Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
2025-12-08 13:28:12,2025-12-08 20:15,Los Angeles Chargers,Philadelphia Eagles,No,2401.3,Yes,-109.89,-109.44,114.44,-136.0,-111.0,-108.89,-115,-105,110,-130,-112,-108,-105,-115,115.0,-135.0,-110,-110,-115,-105,116,-136,-115,-105,-110,-110,112,-137,-110,-110,-102,-108,115.0,-135.0,-107,-107,-107,-113,115.0,-135.0,-110,-110,-110,-114,112,-141,-115,-110,-110,-110,115,-135,-110,-110,-115.0,-105.0,120.0,-140.0,-110.0,-110.0
2025-12-08 13:28:12,2025-12-11 20:15,Tampa Bay Buccaneers,Atlanta Falcons,Yes,413.8,Yes,-84.89,-112.22,-241.78,196.22,-107.33,-112.78,-108,-112,-238,195,-105,-115,-105,-115,-235.0,200.0,-105,-115,-105,-115,-255,210,-110,-110,-110,-110,-248,186,-110,-110,100,-110,-235.0,195.0,-102,-113,-106,-114,-235.0,195.0,-105,-115,-110,-114,-265,200,-114,-112,-110,-110,-225,185,-105,-115,-110.0,-110.0,-240.0,200.0,-110.0,-110.0
2025-12-08 13:28:12,2025-12-14 13:00,Houston Texans,Arizona Cardinals,No,1027.0,No,-109.78,-109.78,-537.78,393.11,-110.22,-109.78,-112,-108,-575,425,-110,-110,-105,-115,-480.0,378.0,-110,-110,-112,-108,-590,440,-112,-108,-110,-110,-575,380,-110,-110,-105,-105,-480.0,370.0,-107,-107,-110,-110,-480.0,370.0,-110,-110,-114,-112,-560,375,-113,-113,-115,-105,-525,400,-110,-110,-105.0,-115.0,-575.0,400.0,-110.0,-110.0
2025-12-08 13:28:12,2025-12-14 13:00,Cincinnati Bengals,Baltimore Ravens,Yes,423.8,No,-110.44,-109.11,112.78,-135.89,-108.89,-111.11,-105,-115,110,-130,-110,-110,-110,-110,115.0,-135.0,-105,-115,-114,-106,114,-134,-115,-105,-110,-110,108,-138,-110,-110,-108,-102,115.0,-135.0,-101,-114,-113,-107,115.0,-135.0,-104,-116,-114,-112,108,-141,-115,-110,-110,-110,115,-140,-110,-110,-110.0,-110.0,115.0,-135.0,-110.0,-110.0
2025-12-08 13:28:12,2025-12-14 13:00,New England Patriots,Buffalo Bills,Yes,387.4,No,-112.67,-84.67,-73.67,-114.67,-109.89,-110.11,-120,100,-105,-115,-110,-110,-110,-110,,,-110,-110,-112,-108,100,-118,-110,-110,-110,-110,-118,-108,-110,-110,-105,-105,,,-107,-107,-110,-110,,,-110,-110,-117,-109,-109,-117,-112,-114,-115,-105,-105,-115,-110,-110,-115.0,-105.0,-105.0,-115.0,-110.0,-110.0
2025-12-08 13:28:12,2025-12-14 13:00,Chicago Bears,Cleveland Browns,No,307.0,No,-107.89,-111.78,-406.11,310.33,-110.89,-109.11,-108,-112,-425,330,-112,-108,-110,-110,-375.0,300.0,-110,-110,-105,-115,-450,350,-115,-105,-110,-110,-420,295,-110,-110,-103,-107,-375.0,299.0,-107,-107,-108,-112,-375.0,299.0,-110,-110,-107,-120,-455,320,-109,-117,-110,-110,-400,310,-115,-105,-110.0,-110.0,-380.0,290.0,-110.0,-110.0
2025-12-08 13:28:12,2025-12-14 13:00,Jacksonville Jaguars,New York Jets,No,838.5,No,-111.0,-86.33,-809.56,540.78,-110.11,-109.89,-110,-110,-700,500,-110,-110,-110,-110,-750.0,530.0,-110,-110,-110,-110,-900,610,-110,-110,-110,-110,-901,530,-110,-110,-110,100,-800.0,561.0,-107,-107,-115,-105,-800.0,561.0,-110,-110,-114,-112,-835,500,-114,-112,-110,-110,-750,525,-110,-110,-110.0,-110.0,-850.0,550.0,-110.0,-110.0
2025-12-08 13:28:12,2025-12-14 13:00,Kansas City Chiefs,Los Angeles Chargers,Yes,1369.2,No,-107.75,-111.75,-203.62,167.5,-112.88,-107.12,-105,-115,-198,164,-118,-102,-110,-110,-200.0,170.0,-105,-115,-106,-114,-205,172,-110,-110,-110,-110,-206,159,-110,-110,-105,-105,-195.0,170.0,-114,-101,-110,-110,-195.0,170.0,-116,-104,-114,-112,-230,170,-115,-110,-102,-118,-200,165,-115,-105,,,,,,
2025-12-08 13:28:12,2025-12-14 13:00,Philadelphia Eagles,Las Vegas Raiders,No,2181.5,No,-109.88,-109.62,-939.38,598.38,-111.0,-109.0,-110,-110,-950,625,-112,-108,-110,-110,-750.0,530.0,-110,-110,-110,-110,-1100,700,-115,-105,-110,-110,-1000,560,-110,-110,-105,-105,-800.0,561.0,-107,-107,-110,-110,-800.0,561.0,-110,-110,-114,-112,-1115,600,-114,-112,-110,-110,-1000,650,-110,-110,,,,,,
2025-12-08 13:28:12,2025-12-14 13:00,New York Giants,Washington Commanders,Yes,198.2,No,-111.44,-63.67,-134.22,112.11,-106.33,-113.67,-105,-115,-130,110,-105,-115,-120,100,-135.0,115.0,-105,-115,-110,-110,-142,120,-105,-115,-110,-110,-130,102,-110,-110,-110,100,-136.0,116.0,-102,-113,-115,-105,-136.0,116.0,-105,-115,-113,-113,-139,110,-110,-115,-110,-110,-125,105,-110,-110,-110.0,-110.0,-135.0,115.0,-105.0,-115.0
