Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
2025-11-21 13:24:16,2025-11-23 16:25,Dallas Cowboys,Philadelphia Eagles,Yes,1314.7,No,-84.22,-91.0,145.0,-173.11,-112.22,-107.67,100,-120,145,-175,-118,-102,-122.0,100.0,148.0,-176.0,-115.0,-105.0,-105.0,-115.0,143.0,-177.0,-110.0,-110.0,-102.0,-108.0,145.0,-165.0,-107.0,-107.0,-105.0,-115.0,145.0,-165.0,-110.0,-110.0,-105.0,-115.0,146.0,-170.0,-110.0,-110.0,-107,-118,148,-190,-115,-110,-102.0,-118.0,145.0,-175.0,-110.0,-110.0,-110.0,-110.0,140.0,-165.0,-115.0,-105.0
2025-11-21 13:24:16,2025-11-23 20:20,Los Angeles Rams,Tampa Bay Buccaneers,No,2155.6,Yes,-114.0,-39.33,-335.56,265.67,-110.89,-109.11,-115,-105,-340,270,-112,-108,-122.0,100.0,-340.0,275.0,-110.0,-110.0,-110.0,-110.0,-310.0,242.0,-110.0,-110.0,-119.0,108.0,-330.0,267.0,-107.0,-107.0,-123.0,103.0,-330.0,267.0,-110.0,-110.0,-105.0,-115.0,-330.0,270.0,-110.0,-110.0,-107,-120,-345,255,-114,-112,-115.0,-105.0,-325.0,260.0,-110.0,-110.0,-110.0,-110.0,-370.0,285.0,-115.0,-105.0
2025-11-21 13:24:16,2025-11-24 20:15,San Francisco 49ers,Carolina Panthers,No,2281.2,Yes,-113.89,-61.33,-365.78,282.56,-108.78,-111.22,-120,100,-375,295,-105,-115,-110.0,-110.0,-370.0,295.0,-105.0,-115.0,-110.0,-110.0,-412.0,293.0,-110.0,-110.0,-110.0,100.0,-350.0,280.0,-107.0,-107.0,-115.0,-105.0,-350.0,280.0,-110.0,-110.0,-115.0,-105.0,-350.0,280.0,-110.0,-110.0,-120,-107,-375,260,-112,-114,-115.0,-105.0,-350.0,280.0,-110.0,-110.0,-110.0,-110.0,-360.0,280.0,-110.0,-110.0
2025-11-21 13:24:16,2025-11-27 13:00,Detroit Lions,Green Bay Packers,Yes,293.2,No,-109.0,-110.38,-166.6,136.6,-112.12,-108.0,-115,-105,-166,140,-115,-105,-110.0,-110.0,-164.0,138.0,-120.0,-102.0,-110.0,-110.0,-171.0,133.0,-110.0,-110.0,-101.0,-109.0,,,-107.0,-107.0,-104.0,-116.0,,,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0,-112,-113,-167,132,-115,-110,-115.0,-105.0,-165.0,140.0,-110.0,-110.0,,,,,,
2025-11-21 13:24:16,2025-11-27 16:30,Dallas Cowboys,Kansas City Chiefs,No,458.4,No,-111.12,-108.38,159.4,-198.6,-110.0,-110.0,-115,-105,170,-205,-110,-110,-110.0,-110.0,156.0,-186.0,-110.0,-110.0,-110.0,-110.0,156.0,-202.0,-110.0,-110.0,-105.0,-105.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-114,-112,150,-200,-113,-113,-115.0,-105.0,165.0,-200.0,-110.0,-110.0,,,,,,
2025-11-21 13:24:16,2025-11-27 20:20,Baltimore Ravens,Cincinnati Bengals,Yes,423.8,Yes,-110.43,-80.43,-408.75,305.5,-108.71,-111.29,-105,-115,-410,320,-105,-115,,,,,,,-110.0,-110.0,-415.0,292.0,-110.0,-110.0,-110.0,100.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,-115.0,-105.0,,,-110.0,-110.0,-113,-113,-435,310,-109,-117,-105.0,-115.0,-375.0,300.0,-110.0,-110.0,,,,,,
2025-11-21 13:24:16,2025-11-28 15:00,Philadelphia Eagles,Chicago Bears,No,665.3,No,-108.29,-111.14,-357.5,265.0,-110.14,-109.86,-105,-115,-360,285,-110,-110,-105.0,-115.0,-350.0,280.0,-110.0,-110.0,-110.0,-110.0,-360.0,250.0,-110.0,-110.0,-105.0,-105.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-113,-113,-360,245,-114,-112,,,,,,,,,,,,
2025-11-21 13:24:16,2025-11-30 13:00,Tampa Bay Buccaneers,Arizona Cardinals,No,1804.8,No,-110.33,-109.0,-279.5,214.75,-110.0,-110.0,-110,-110,-285,230,-110,-110,-115.0,-105.0,-270.0,220.0,-110.0,-110.0,,,-285.0,204.0,-110.0,-110.0,-105.0,-105.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-112,-114,-278,205,-113,-113,,,,,,,,,,,,
2025-11-21 13:24:16,2025-11-30 13:00,New York Jets,Atlanta Falcons,No,747.8,No,-110.14,-109.29,0.25,-124.25,-111.71,-108.14,-110,-110,105,-125,-115,-105,-112.0,-108.0,102.0,-120.0,-115.0,-105.0,-110.0,-110.0,-103.0,-128.0,-110.0,-110.0,-105.0,-105.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-114,-112,-103,-124,-115,-110,,,,,,,,,,,,
2025-11-21 13:24:16,2025-11-30 13:00,Carolina Panthers,Los Angeles Rams,No,2126.0,No,-110.57,-108.86,352.5,-502.5,-109.14,-110.86,-110,-110,360,-470,-110,-110,-115.0,-105.0,390.0,-510.0,-105.0,-115.0,-110.0,-110.0,320.0,-500.0,-110.0,-110.0,-105.0,-105.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-114,-112,340,-530,-112,-114,,,,,,,,,,,,
2025-11-21 13:24:16,2025-11-30 13:00,Cleveland Browns,San Francisco 49ers,No,2152.6,No,-110.29,-109.0,251.25,-330.75,-111.43,-108.71,-105,-115,240,-298,-110,-110,-115.0,-105.0,290.0,-360.0,-120.0,-102.0,-110.0,-110.0,230.0,-330.0,-110.0,-110.0,-105.0,-105.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-117,-108,245,-335,-113,-112,,,,,,,,,,,,
2025-11-21 13:24:16,2025-11-30 13:00,Indianapolis Colts,Houston Texans,Yes,870.3,No,-107.67,-114.33,-181.5,144.75,-110.75,-110.75,-105,-115,-175,145,-110,-110,-105.0,-115.0,-180.0,152.0,-110.0,-110.0,,,-191.0,142.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,-113,-113,-180,140,-113,-113,,,,,,,,,,,,
2025-11-21 13:24:16,2025-11-30 13:00,Tennessee Titans,Jacksonville Jaguars,Yes,500.3,No,-109.57,-109.71,253.75,-341.25,-110.14,-109.86,-110,-110,250,-310,-110,-110,-110.0,-110.0,280.0,-350.0,-110.0,-110.0,-110.0,-110.0,255.0,-370.0,-110.0,-110.0,-105.0,-105.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-112,-113,230,-335,-114,-112,,,,,,,,,,,,
2025-11-21 13:24:16,2025-11-30 13:00,Miami Dolphins,New Orleans Saints,No,661.3,No,-109.83,-109.5,-227.25,176.0,-109.86,-110.14,-105,-115,-205,170,-105,-115,-115.0,-105.0,-245.0,200.0,-110.0,-110.0,,,-234.0,171.0,-110.0,-110.0,-105.0,-105.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-114,-112,-225,163,-117,-109,,,,,,,,,,,,
2025-11-21 13:24:16,2025-11-30 16:05,Seattle Seahawks,Minnesota Vikings,No,1395.6,No,-109.57,-109.86,-394.75,290.0,-110.14,-109.86,-110,-110,-360,285,-110,-110,-110.0,-110.0,-405.0,320.0,-110.0,-110.0,-110.0,-110.0,-429.0,285.0,-110.0,-110.0,-105.0,-105.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-112,-114,-385,270,-114,-112,,,,,,,,,,,,
2025-11-21 13:24:16,2025-11-30 16:25,Pittsburgh Steelers,Buffalo Bills,No,172.7,No,-111.67,-110.0,154.67,-191.0,-111.33,-110.67,-110,-110,160,-192,-110,-110,-115.0,-105.0,156.0,-186.0,-112.0,-108.0,,,,,,,,,,,,,,,,,,,,,,,,,-110,-115,148,-195,-112,-114,,,,,,,,,,,,
2025-11-21 13:24:16,2025-11-30 16:25,Los Angeles Chargers,Las Vegas Raiders,Yes,231.8,No,-108.14,-111.43,-452.25,331.25,-110.29,-109.71,-110,-110,-425,330,-110,-110,-102.0,-120.0,-460.0,360.0,-112.0,-108.0,-110.0,-110.0,-469.0,310.0,-110.0,-110.0,-105.0,-105.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-110,-115,-455,325,-113,-113,,,,,,,,,,,,
2025-11-21 13:24:16,2025-11-30 20:20,Washington Commanders,Denver Broncos,No,1503.5,Yes,-112.29,-21.29,242.0,-318.25,-109.0,-111.0,-105,-115,240,-298,-110,-110,-106.0,-114.0,265.0,-330.0,-105.0,-115.0,-110.0,-110.0,228.0,-330.0,,,-116.0,105.0,,,-107.0,-107.0,-120.0,100.0,,,-110.0,-110.0,-120.0,100.0,,,-110.0,-110.0,-109,-115,235,-315,-112,-114,,,,,,,,,,,,
2025-11-21 13:24:16,2025-12-01 20:15,New England Patriots,New York Giants,No,170.4,Yes,-109.83,-109.5,-385.0,278.33,-110.0,-110.0,-110,-110,-360,285,-110,-110,,,,,,,-110.0,-110.0,-410.0,275.0,-110.0,-110.0,-105.0,-105.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-114,-112,-385,275,-113,-113,,,,,,,,,,,,
