Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds
2025-10-12 14:20:53,2025-10-12 13:01,Carolina Panthers,Dallas Cowboys,No,946.9,No,-79.33,-119.0,204.17,-272.83,-115.4,-115.0,-120,-110,195,-260,-115,-115,102,-136,260,-350,-112,-118,-111.0,-118.0,185.0,-222.0,,,-117,-122,175,-265,-115,-122,-120.0,-110.0,180,-240,-120,-110,-110,-118,230,-300,-115,-110,,,,,,,,,,,,,,,,,,
2025-10-12 14:20:53,2025-10-12 13:01,Miami Dolphins,Los Angeles Chargers,No,2336.5,No,-75.4,-116.8,120.5,-154.83,-115.0,-116.67,-110,-120,110,-140,-120,-110,-122,-108,118,-150,-114,-114,100.0,-133.0,150.0,-182.0,-118.0,-118.0,-120,-118,107,-152,-118,-118,,,120,-155,-115,-115,-125,-105,118,-150,-105,-125,,,,,,,,,,,,,,,,,,
2025-10-12 14:20:53,2025-10-12 13:02,Baltimore Ravens,Los Angeles Rams,No,2326.9,No,-67.8,-123.2,-23.6,-126.4,-113.6,-117.0,105,-135,-110,-120,-105,-125,-102,-130,-104,-122,-106,-125,,,,,,,-117,-121,-124,-110,-122,-115,-110.0,-120.0,120,-155,-120,-110,-115,-110,100,-125,-115,-110,,,,,,,,,,,,,,,,,,
2025-10-12 14:20:53,2025-10-12 13:02,Pittsburgh Steelers,Cleveland Browns,Yes,114.4,No,-115.67,-114.83,-796.67,481.67,-86.33,-112.83,-105,-125,-750,470,-125,-105,-118,-112,-770,470,-128,-104,-118.0,-111.0,-1000.0,600.0,100.0,-133.0,-115,-121,-910,475,-120,-118,-120.0,-110.0,-650,400,-115,-115,-118,-110,-700,475,-130,-102,,,,,,,,,,,,,,,,,,
2025-10-12 14:20:53,2025-10-12 13:02,Jacksonville Jaguars,Seattle Seahawks,No,2456.2,No,-111.5,-118.67,140.83,-181.83,-118.33,-79.83,-110,-120,130,-166,-120,-110,-108,-122,132,-170,-112,-118,-118.0,-105.0,205.0,-250.0,-133.0,100.0,-113,-127,118,-165,-120,-118,-110.0,-120.0,150,-200,-115,-115,-110,-118,110,-140,-110,-118,,,,,,,,,,,,,,,,,,
2025-10-12 14:20:53,2025-10-12 13:02,New Orleans Saints,New England Patriots,No,1340.6,No,-116.17,-114.0,138.67,-179.83,-117.5,-113.67,-110,-120,135,-175,-110,-120,-130,-102,164,-215,-118,-112,-118.0,-105.0,125.0,-154.0,-118.0,-111.0,-114,-124,128,-175,-124,-114,-115.0,-115.0,135,-175,-120,-110,-110,-118,145,-185,-115,-115,,,,,,,,,,,,,,,,,,
2025-10-12 14:20:53,2025-10-12 13:03,Indianapolis Colts,Arizona Cardinals,No,1506.4,No,-114.0,-117.5,-734.83,444.17,-116.33,-115.67,-110,-120,-660,420,-105,-125,-102,-130,-850,480,-114,-114,-118.0,-111.0,-714.0,475.0,-118.0,-118.0,-114,-124,-835,440,-121,-117,-115.0,-115.0,-750,450,-125,-105,-125,-105,-600,400,-115,-115,,,,,,,,,,,,,,,,,,
2025-10-12 14:20:53,2025-10-12 16:06,Las Vegas Raiders,Tennessee Titans,No,1583.4,No,-110.56,-108.89,-193.44,161.89,-110.0,-110.11,-110,-110,-185,154,-115,-105,-110,-110,-196,164,-110,-110,-110.0,-110.0,-195.0,157.0,-110.0,-110.0,-115,-110,-205,163,-113,-113,-110.0,-110.0,-195,165,-115,-105,-115,-105,-200,165,-110,-110,-110.0,-110.0,-185.0,159.0,-110.0,-110.0,-110.0,-110.0,-190.0,165.0,-105.0,-115.0,-105.0,-105.0,-190.0,165.0,-102.0,-113.0
2025-10-12 14:20:53,2025-10-12 16:26,Green Bay Packers,Cincinnati Bengals,No,415.5,No,-84.33,-113.11,-1259.67,746.0,-111.56,-108.44,-105,-115,-1100,700,-110,-110,-104,-118,-1150,730,-115,-105,-110.0,-110.0,-1457.0,769.0,-110.0,-110.0,-115,-110,-1430,700,-113,-113,-110.0,-110.0,-1200,700,-115,-105,-105,-115,-1200,775,-110,-110,-105.0,-115.0,-1200.0,750.0,-110.0,-110.0,-105.0,-115.0,-1300.0,795.0,-112.0,-108.0,100.0,-110.0,-1300.0,795.0,-109.0,-105.0
2025-10-12 14:20:53,2025-10-12 16:26,Tampa Bay Buccaneers,San Francisco 49ers,No,2370.9,No,-110.44,-88.0,-186.22,155.44,-111.67,-108.33,-108,-112,-185,154,-115,-105,-104,-118,-186,156,-118,-104,-125.0,-105.0,-185.0,150.0,-110.0,-110.0,-110,-114,-195,148,-110,-114,-110.0,-110.0,-185,160,-115,-105,-105,-115,-185,150,-110,-110,-105.0,-115.0,-185.0,159.0,-110.0,-110.0,-125.0,105.0,-185.0,161.0,-110.0,-110.0,-102.0,-108.0,-185.0,161.0,-107.0,-107.0
