Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
2026-01-11 07:36:43,2026-01-11 13:00,Jacksonville Jaguars,Buffalo Bills,No,872.8,No,-111.89,-85.44,-122.89,79.89,-108.88,-110.5,-110,-110,-122,102,-102,-118,-110,-110,-120,102,-106,-114,-114,-112,-124,-103,,,-109,-101,-126,106,-113,-102,-114,-106,-126,106,-115,-105,-110,-110,-123,101,-110,-110,-110,-110,-120,100,-105,-115,-120,100,-125,105,-110,-110,-110,-110,-120,100,-110,-110
2026-01-11 07:36:43,2026-01-11 16:30,Philadelphia Eagles,San Francisco 49ers,No,2508.4,No,-110.11,-109.56,-267.89,217.22,-108.12,-111.38,-108,-112,-270,220,-108,-112,-120,-102,-270,220,-104,-118,-110,-115,-286,215,,,-108,-102,-260,215,-105,-109,-110,-110,-260,215,-108,-112,-105,-115,-270,212,-110,-110,-110,-110,-275,225,-110,-110,-110,-110,-260,218,-110,-110,-110,-110,-260,215,-110,-110
2026-01-11 07:36:43,2026-01-11 20:00,New England Patriots,Los Angeles Chargers,No,2595.1,Yes,-108.33,-111.22,-194.22,162.0,-108.88,-110.5,-108,-112,-192,160,-110,-110,-110,-110,-196,164,-114,-106,-112,-114,-205,155,,,-105,-105,-190,165,-102,-113,-110,-110,-190,165,-105,-115,-105,-115,-200,161,-110,-110,-110,-110,-200,165,-110,-110,-110,-110,-190,163,-110,-110,-105,-115,-185,160,-110,-110
2026-01-11 07:36:43,2026-01-12 20:00,Pittsburgh Steelers,Houston Texans,No,1142.2,Yes,-114.33,-83.11,135.33,-160.44,-55.88,-113.5,-118,-102,136,-162,-105,-115,-115,-105,134,-158,-105,-115,-113,-113,133,-167,,,-115,104,140,-160,103,-118,-113,-107,140,-160,100,-120,-110,-110,131,-162,-110,-110,-115,-105,135,-160,-110,-110,-115,-105,134,-155,-110,-110,-115,-105,135,-160,-110,-110
