Timestamp Pulled,Date of Game,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
2026-01-04 01:28:19,2026-01-04 13:00,Atlanta Falcons,New Orleans Saints,Yes,424.5,No,-84.22,-113.11,-181.0,151.67,-111.25,-108.0,-102,-118,-185,154,-118,-102,-108,-112,-178,150,-115,-105,-110,-110,-187,151,-110,-110,-113,-113,-190,145,,,100,-110,-177,155,-107,-107,-105,-115,-177,155,-110,-110,-110,-110,-175,145,-110,-110,-105,-115,-175,150,-110,-110,-105,-115,-185,160,-110,-110
2026-01-04 01:28:19,2026-01-04 13:00,Cincinnati Bengals,Cleveland Browns,Yes,223.1,No,-110.67,-108.89,-393.56,303.89,-108.25,-111.25,-118,-102,-410,320,-110,-110,-110,-110,-390,310,-104,-118,-115,-105,-410,310,-110,-110,-113,-113,-420,295,,,-104,-106,-376,300,-107,-107,-111,-109,-376,300,-110,-110,-110,-110,-400,310,-110,-110,-110,-110,-370,295,-110,-110,-105,-115,-390,295,-105,-115
2026-01-04 01:28:19,2026-01-04 13:00,New York Giants,Dallas Cowboys,Yes,1387.3,No,-112.33,-62.67,152.89,-181.78,-111.5,-107.75,-102,-118,142,-170,-115,-105,-115,-105,148,-176,-115,-105,-110,-110,147,-182,-110,-110,-118,-107,148,-190,,,-110,100,161,-184,-107,-107,-111,-109,161,-184,-110,-110,-115,-105,154,-185,-115,-105,-110,-110,155,-180,-110,-110,-120,100,160,-185,-110,-110
2026-01-04 01:28:19,2026-01-04 13:00,Minnesota Vikings,Green Bay Packers,Yes,257.7,No,-108.67,-111.11,-518.44,384.56,-109.62,-109.75,-110,-110,-600,440,-102,-118,-104,-118,-550,410,-112,-108,-110,-110,-526,380,-110,-110,-112,-114,-500,350,,,-102,-108,-490,377,-113,-102,-110,-110,-490,377,-115,-105,-110,-110,-550,400,-105,-115,-110,-110,-490,382,-110,-110,-110,-110,-470,345,-110,-110
2026-01-04 01:28:19,2026-01-04 13:00,Houston Texans,Indianapolis Colts,Yes,870.3,No,-109.11,-110.44,-619.89,442.22,-109.12,-110.12,-110,-110,-625,455,-112,-108,-110,-110,-590,440,-115,-105,-110,-110,-709,455,-110,-110,-112,-114,-625,420,,,-105,-105,-615,455,-104,-110,-110,-110,-615,455,-107,-113,-110,-110,-625,450,-110,-110,-110,-110,-600,450,-110,-110,-105,-115,-575,400,-105,-115
2026-01-04 01:28:19,2026-01-04 13:00,Jacksonville Jaguars,Tennessee Titans,Yes,500.3,No,-109.78,-87.44,-840.22,560.22,-111.88,-57.5,-105,-115,-800,550,-112,-108,-115,-105,-850,590,-105,-115,-110,-110,-952,590,-110,-110,-110,-115,-910,540,,,-105,-105,-800,561,-118,103,-108,-112,-800,561,-120,100,-105,-115,-800,550,-110,-110,-110,-110,-800,550,-110,-110,-120,100,-850,550,-110,-110
2026-01-04 01:28:19,2026-01-04 16:25,Los Angeles Rams,Arizona Cardinals,Yes,351.1,No,-110.44,-109.0,-907.78,584.89,-110.12,-109.12,-112,-108,-1000,650,-110,-110,-115,-105,-820,570,-110,-110,-110,-110,-1000,620,-110,-110,-110,-115,-1115,600,,,-107,-103,-950,637,-109,-105,-110,-110,-950,637,-112,-108,-110,-110,-900,575,-110,-110,-110,-110,-1000,650,-110,-110,-110,-110,-435,325,-110,-110
2026-01-04 01:28:19,2026-01-04 16:25,Buffalo Bills,New York Jets,Yes,278.4,No,-109.0,-110.44,-437.11,331.44,-108.38,-110.88,-102,-118,-440,340,-110,-110,-115,-105,-400,315,-105,-115,-110,-110,-469,340,-110,-110,-112,-113,-480,330,,,-107,-103,-440,344,-107,-107,-110,-110,-440,344,-110,-110,-110,-110,-425,325,-110,-110,-110,-110,-420,330,-110,-110,-105,-115,-420,315,-105,-115
2026-01-04 01:28:19,2026-01-04 16:25,Chicago Bears,Detroit Lions,Yes,237.2,No,-111.44,-85.89,-189.67,158.22,-110.25,-110.0,-108,-112,-185,154,-115,-105,-110,-110,-198,166,-110,-110,-110,-110,-194,156,-110,-110,-114,-112,-195,150,,,-108,-102,-190,165,-107,-107,-113,-107,-190,165,-110,-110,-110,-110,-190,155,-110,-118,-110,-110,-190,163,-110,-110,-120,100,-175,150,-110,-110
2026-01-04 01:28:19,2026-01-04 16:25,Denver Broncos,Los Angeles Chargers,Yes,837.9,No,-87.78,-109.78,-1237.44,738.33,-109.25,-111.0,-115,-105,-1450,850,-110,-110,-120,-102,-1150,730,-112,-108,-110,-110,-1587,820,-110,-110,-113,-112,-1000,575,,,103,-114,-1300,795,-107,-107,-110,-110,-1300,795,-110,-110,-110,-110,-1100,700,-110,-118,-110,-110,-1300,780,-110,-110,-105,-115,-950,600,-105,-115
