league,club,squad_value_eur_m,wage_bill_eur_m,squad_size,avg_age,foreigners,avg_value_eur_m
epl,Manchester City,1040.0,,36.0,25.3,23.0,29.01
epl,Liverpool FC,969.65,,43.0,24.9,28.0,22.55
epl,Chelsea FC,889.2,,39.0,25.7,23.0,22.8
epl,Manchester United,770.05,,39.0,25.4,26.0,19.74
epl,Tottenham Hotspur,703.5,,41.0,25.2,24.0,17.16
epl,Arsenal FC,619.25,,42.0,24.9,28.0,14.74
epl,Everton FC,511.2,,44.0,25.2,27.0,11.62
epl,Leicester City,510.6,,40.0,25.8,27.0,12.77
epl,Wolverhampton Wanderers,450.3,,38.0,24.4,32.0,11.85
epl,Aston Villa,430.7,,53.0,23.9,26.0,8.13
epl,West Ham United,336.4,,40.0,26.8,24.0,8.41
epl,Brighton & Hove Albion,290.4,,46.0,24.9,30.0,6.31
epl,Southampton FC,282.8,,39.0,25.0,22.0,7.25
epl,Newcastle United,255.35,,33.0,27.4,19.0,7.74
epl,Fulham FC,239.75,,38.0,27.0,30.0,6.31
epl,Leeds United,238.1,,39.0,25.1,24.0,6.11
epl,Crystal Palace,193.85,,36.0,28.2,19.0,5.38
epl,Sheffield United,149.85,,40.0,25.4,16.0,3.75
epl,West Bromwich Albion,141.15,,43.0,26.6,18.0,3.28
epl,Burnley FC,132.3,,32.0,27.1,11.0,4.13
championship,Norwich City,182.4,,44.0,25.5,31.0,4.15
championship,Brentford FC,168.9,,40.0,23.8,32.0,4.22
championship,AFC Bournemouth,139.55,,34.0,25.1,19.0,4.1
championship,Watford FC,113.3,,45.0,26.3,29.0,2.52
championship,Swansea City,94.95,,41.0,25.2,27.0,2.32
championship,Blackburn Rovers,79.75,,42.0,25.0,16.0,1.9
championship,Stoke City,75.7,,46.0,25.6,26.0,1.65
championship,Cardiff City,74.25,,53.0,24.4,35.0,1.4
championship,Reading FC,68.9,,42.0,23.3,24.0,1.64
championship,Derby County,59.95,,66.0,23.7,23.0,0.908
championship,Middlesbrough FC,59.05,,41.0,24.6,13.0,1.44
championship,Bristol City,57.5,,48.0,25.0,21.0,1.2
championship,Nottingham Forest,55.45,,38.0,27.9,23.0,1.46
championship,Barnsley FC,48.18,,49.0,22.8,22.0,0.983
championship,Preston North End,47.9,,43.0,25.8,17.0,1.11
championship,Huddersfield Town,46.6,,49.0,24.6,23.0,0.951
championship,Birmingham City,46.3,,50.0,24.7,22.0,0.926
championship,Millwall FC,39.18,,32.0,26.8,14.0,1.22
championship,Queens Park Rangers,36.95,,38.0,25.2,25.0,0.972
championship,Sheffield Wednesday,31.1,,40.0,25.5,16.0,0.778
championship,Luton Town,24.95,,39.0,25.8,16.0,0.64
championship,Coventry City,21.85,,41.0,24.5,21.0,0.533
championship,Rotherham United,16.05,,35.0,26.2,15.0,0.459
championship,Wycombe Wanderers,9.45,,34.0,27.1,15.0,0.278
ligue_1,Paris Saint-Germain,805.0,,41.0,24.7,30.0,19.63
ligue_1,Olympique Lyon,431.35,,40.0,24.7,29.0,10.78
ligue_1,AS Monaco,370.35,,33.0,24.4,19.0,11.22
ligue_1,LOSC Lille,323.2,,32.0,24.1,23.0,10.1
ligue_1,Stade Rennais FC,297.5,,37.0,24.6,14.0,8.04
ligue_1,Olympique Marseille,247.95,,37.0,25.5,19.0,6.7
ligue_1,OGC Nice,236.1,,41.0,22.8,21.0,5.76
ligue_1,AS Saint-Étienne,154.5,,43.0,24.1,23.0,3.59
ligue_1,Montpellier HSC,113.85,,34.0,25.6,16.0,3.35
ligue_1,Angers SCO,111.65,,38.0,26.2,21.0,2.94
ligue_1,RC Strasbourg Alsace,109.65,,34.0,25.7,21.0,3.23
ligue_1,FC Girondins Bordeaux,105.7,,36.0,26.0,19.0,2.94
ligue_1,Stade Reims,105.18,,34.0,23.6,28.0,3.09
ligue_1,RC Lens,104.3,,36.0,25.3,19.0,2.9
ligue_1,FC Metz,103.5,,35.0,25.1,25.0,2.96
ligue_1,Stade Brestois 29,103.23,,32.0,25.7,11.0,3.23
ligue_1,FC Nantes,94.75,,32.0,25.9,18.0,2.96
ligue_1,FC Lorient,72.88,,34.0,26.8,15.0,2.14
ligue_1,Dijon FCO,65.63,,37.0,24.9,26.0,1.77
ligue_1,Nîmes Olympique,60.4,,36.0,25.3,20.0,1.68
bundesliga,Bayern Munich,858.23,,45.0,24.4,22.0,19.07
bundesliga,Borussia Dortmund,628.4,,32.0,25.5,17.0,19.64
bundesliga,RB Leipzig,574.95,,32.0,24.1,23.0,17.97
bundesliga,Bayer 04 Leverkusen,373.25,,33.0,25.6,22.0,11.31
bundesliga,Borussia Mönchengladbach,300.75,,33.0,26.2,19.0,9.11
bundesliga,Eintracht Frankfurt,269.15,,36.0,26.2,24.0,7.48
bundesliga,VfL Wolfsburg,256.83,,30.0,26.4,20.0,8.56
bundesliga,Hertha BSC,228.88,,38.0,24.9,22.0,6.02
bundesliga,TSG 1899 Hoffenheim,228.15,,37.0,25.4,26.0,6.17
bundesliga,VfB Stuttgart,189.25,,32.0,24.4,17.0,5.91
bundesliga,1.FSV Mainz 05,163.3,,36.0,25.4,18.0,4.54
bundesliga,SC Freiburg,139.1,,30.0,25.7,13.0,4.64
bundesliga,FC Schalke 04,123.05,,45.0,25.3,27.0,2.73
bundesliga,1.FC Köln,118.2,,36.0,25.3,19.0,3.28
bundesliga,SV Werder Bremen,111.98,,33.0,25.7,17.0,3.39
bundesliga,FC Augsburg,93.05,,31.0,26.4,21.0,3.0
bundesliga,1.FC Union Berlin,82.05,,33.0,26.4,10.0,2.49
bundesliga,Arminia Bielefeld,56.73,,33.0,25.4,15.0,1.72
la_liga,FC Barcelona,813.5,,32.0,25.5,20.0,25.42
la_liga,Real Madrid,787.3,,37.0,25.3,17.0,21.28
la_liga,Atlético de Madrid,773.1,,39.0,25.4,21.0,19.82
la_liga,Sevilla FC,418.25,,38.0,26.2,17.0,11.01
la_liga,Real Sociedad,406.6,,38.0,25.1,5.0,10.7
la_liga,Villarreal CF,292.6,,36.0,26.4,13.0,8.13
la_liga,Valencia CF,278.85,,35.0,25.2,20.0,7.97
la_liga,Real Betis Balompié,207.7,,33.0,27.2,12.0,6.29
la_liga,Athletic Bilbao,204.15,,32.0,26.4,2.0,6.38
la_liga,Getafe CF,170.1,,33.0,25.9,18.0,5.15
la_liga,Celta de Vigo,155.85,,41.0,24.8,12.0,3.8
la_liga,Granada CF,122.65,,44.0,25.3,17.0,2.79
la_liga,Levante UD,113.0,,34.0,27.0,10.0,3.32
la_liga,CA Osasuna,96.75,,36.0,27.5,7.0,2.69
la_liga,SD Eibar,83.4,,34.0,27.5,9.0,2.45
la_liga,Deportivo Alavés,79.8,,35.0,26.1,10.0,2.28
la_liga,SD Huesca,64.1,,34.0,26.9,9.0,1.89
la_liga,Real Valladolid CF,63.35,,41.0,27.1,9.0,1.55
la_liga,Cádiz CF,47.65,,41.0,27.6,16.0,1.16
la_liga,Elche CF,45.65,,41.0,27.2,15.0,1.11
serie_a,Inter Milan,663.9,,41.0,25.7,22.0,16.19
serie_a,Juventus FC,633.3,,45.0,25.2,26.0,14.07
serie_a,AC Milan,547.78,,42.0,24.4,27.0,13.04
serie_a,SSC Napoli,530.2,,32.0,26.5,21.0,16.57
serie_a,Atalanta BC,430.0,,39.0,25.5,21.0,11.03
serie_a,AS Roma,395.65,,46.0,25.1,28.0,8.6
serie_a,SS Lazio,326.33,,44.0,26.1,32.0,7.42
serie_a,ACF Fiorentina,286.8,,41.0,26.1,24.0,7.0
serie_a,US Sassuolo,241.74,,39.0,25.4,19.0,6.2
serie_a,Cagliari Calcio,187.83,,42.0,25.8,19.0,4.47
serie_a,Torino FC,175.28,,40.0,25.8,24.0,4.38
serie_a,Udinese Calcio,173.0,,42.0,26.2,30.0,4.12
serie_a,Hellas Verona,157.21,,46.0,24.7,21.0,3.42
serie_a,Bologna FC 1909,153.6,,45.0,24.6,27.0,3.41
serie_a,Parma Calcio 1913,128.7,,53.0,25.5,30.0,2.43
serie_a,UC Sampdoria,127.18,,34.0,26.9,19.0,3.74
serie_a,Genoa CFC,111.93,,44.0,26.9,23.0,2.54
serie_a,Spezia Calcio,71.68,,39.0,26.2,18.0,1.84
serie_a,FC Crotone,52.75,,41.0,26.5,19.0,1.29
serie_a,Benevento Calcio,50.13,,36.0,27.8,14.0,1.39
bundesliga_2,Fortuna Düsseldorf,35.93,,36.0,25.9,15.0,0.998
bundesliga_2,Hamburger SV,35.6,,31.0,25.7,11.0,1.15
bundesliga_2,VfL Bochum,33.9,,31.0,26.4,14.0,1.09
bundesliga_2,SpVgg Greuther Fürth,30.53,,27.0,24.2,12.0,1.13
bundesliga_2,1.FC Nuremberg,27.38,,35.0,25.6,10.0,0.782
bundesliga_2,Hannover 96,24.05,,31.0,26.5,15.0,0.776
bundesliga_2,FC St. Pauli,23.23,,36.0,25.9,18.0,0.645
bundesliga_2,SC Paderborn 07,22.68,,35.0,25.8,13.0,0.648
bundesliga_2,Holstein Kiel,21.35,,28.0,26.4,6.0,0.763
bundesliga_2,1.FC Heidenheim 1846,20.5,,31.0,26.0,3.0,0.661
bundesliga_2,SV Darmstadt 98,17.03,,32.0,25.6,10.0,0.532
bundesliga_2,Karlsruher SC,15.4,,32.0,25.5,9.0,0.481
bundesliga_2,SV Sandhausen,14.53,,34.0,28.3,10.0,0.427
bundesliga_2,FC Erzgebirge Aue,13.83,,28.0,27.1,6.0,0.494
bundesliga_2,VfL Osnabrück,13.15,,32.0,26.7,8.0,0.411
bundesliga_2,SSV Jahn Regensburg,12.98,,30.0,26.1,4.0,0.433
bundesliga_2,Würzburger Kickers,11.03,,39.0,26.5,15.0,0.283
bundesliga_2,Eintracht Braunschweig,10.18,,33.0,26.7,7.0,0.308
la_liga_2,RCD Espanyol Barcelona,80.0,,37.0,24.7,7.0,2.16
la_liga_2,UD Almería,70.6,,35.0,24.6,17.0,2.02
la_liga_2,RCD Mallorca,50.95,,39.0,26.0,13.0,1.31
la_liga_2,Girona FC,36.33,,40.0,25.2,14.0,0.908
la_liga_2,CD Leganés,34.48,,39.0,26.7,10.0,0.884
la_liga_2,Rayo Vallecano,29.85,,36.0,26.0,11.0,0.829
la_liga_2,Sporting Gijón,23.9,,37.0,24.9,7.0,0.646
la_liga_2,Real Zaragoza,23.15,,38.0,25.3,12.0,0.609
la_liga_2,UD Las Palmas,20.35,,42.0,25.4,8.0,0.485
la_liga_2,Málaga CF,20.28,,49.0,24.1,16.0,0.414
la_liga_2,CD Mirandés,16.6,,35.0,24.1,7.0,0.474
la_liga_2,CF Fuenlabrada,14.8,,34.0,25.1,11.0,0.435
la_liga_2,CD Tenerife,13.7,,38.0,26.0,10.0,0.361
la_liga_2,Real Oviedo,13.55,,34.0,25.7,7.0,0.399
la_liga_2,FC Cartagena,13.1,,43.0,27.5,14.0,0.305
la_liga_2,SD Ponferradina,11.5,,34.0,25.7,8.0,0.338
la_liga_2,Albacete Balompié,10.15,,36.0,26.4,11.0,0.282
la_liga_2,CD Castellón,10.0,,36.0,27.9,5.0,0.278
la_liga_2,UD Logroñés,9.5,,36.0,26.7,6.0,0.264
la_liga_2,CD Lugo,8.83,,36.0,26.4,7.0,0.245
la_liga_2,AD Alcorcón,8.4,,34.0,26.5,9.0,0.247
la_liga_2,CE Sabadell FC,7.15,,33.0,26.9,2.0,0.217
serie_b,AC Monza,54.29,,46.0,25.5,7.0,1.18
serie_b,Empoli FC,50.28,,37.0,24.2,8.0,1.36
serie_b,SPAL,47.7,,40.0,25.0,14.0,1.19
serie_b,Brescia Calcio,44.35,,34.0,26.1,18.0,1.3
serie_b,US Lecce,34.23,,41.0,26.0,15.0,0.835
serie_b,Venezia FC,29.39,,41.0,25.4,13.0,0.717
serie_b,US Salernitana 1919,27.0,,40.0,26.1,23.0,0.675
serie_b,Ascoli Calcio,20.48,,52.0,25.8,20.0,0.394
serie_b,Chievo Verona,19.95,,44.0,24.8,15.0,0.453
serie_b,Pordenone Calcio,18.9,,37.0,25.1,3.0,0.511
serie_b,Frosinone Calcio,18.78,,42.0,25.9,8.0,0.447
serie_b,US Cremonese,18.14,,36.0,25.0,3.0,0.504
serie_b,AC Pisa 1909,18.08,,39.0,25.2,3.0,0.463
serie_b,Reggina 1914,17.74,,43.0,27.0,16.0,0.412
serie_b,Delfino Pescara 1936,17.45,,50.0,25.3,18.0,0.349
serie_b,AS Cittadella,13.55,,33.0,25.9,5.0,0.411
serie_b,Cosenza Calcio,12.64,,39.0,26.0,11.0,0.324
serie_b,Virtus Entella,12.18,,48.0,25.2,9.0,0.254
serie_b,L.R. Vicenza Virtus,11.1,,37.0,26.9,5.0,0.3
serie_b,AC Reggiana 1919,8.85,,33.0,26.9,7.0,0.268
ligue_2,FC Toulouse,58.83,,43.0,23.1,28.0,1.37
ligue_2,Amiens SC,52.05,,46.0,24.6,29.0,1.13
ligue_2,ESTAC Troyes,28.85,,39.0,24.6,17.0,0.74
ligue_2,Valenciennes FC,24.55,,30.0,25.4,15.0,0.818
ligue_2,Clermont Foot 63,24.05,,27.0,25.6,15.0,0.891
ligue_2,EA Guingamp,23.45,,35.0,26.3,20.0,0.67
ligue_2,SM Caen,22.65,,39.0,24.0,15.0,0.581
ligue_2,FC Sochaux,19.75,,33.0,24.4,15.0,0.598
ligue_2,Paris FC,18.35,,35.0,25.0,20.0,0.524
ligue_2,Havre AC,18.28,,38.0,23.7,24.0,0.481
ligue_2,Chamois Niortais,18.2,,33.0,23.6,16.0,0.552
ligue_2,AC Ajaccio,17.9,,33.0,25.8,13.0,0.542
ligue_2,AS Nancy Lorraine,17.65,,32.0,25.2,17.0,0.552
ligue_2,AJ Auxerre,17.3,,31.0,26.7,14.0,0.558
ligue_2,LB Châteauroux,15.55,,41.0,24.2,20.0,0.379
ligue_2,Grenoble Foot 38,15.15,,31.0,26.6,15.0,0.489
ligue_2,Rodez AF,14.4,,30.0,26.6,9.0,0.48
ligue_2,Pau FC,13.3,,33.0,25.8,14.0,0.403
ligue_2,FC Chambly,12.75,,40.0,26.8,7.0,0.319
ligue_2,USL Dunkerque,11.75,,31.0,26.7,9.0,0.379
