league,club,squad_value_eur_m,wage_bill_eur_m,squad_size,avg_age,foreigners,avg_value_eur_m
mls,Inter Miami CF,133.88,,43.0,23.9,32.0,3.11
mls,Toronto FC,86.43,,41.0,24.2,35.0,2.11
mls,Atlanta United FC,66.58,,36.0,23.9,23.0,1.85
mls,Columbus Crew,55.9,,36.0,24.7,17.0,1.55
mls,Los Angeles FC,53.3,,44.0,22.5,32.0,1.21
mls,Los Angeles Galaxy,51.03,,38.0,25.1,26.0,1.34
mls,New England Revolution,50.13,,36.0,25.1,17.0,1.39
mls,Seattle Sounders FC,47.55,,33.0,24.5,15.0,1.44
mls,FC Dallas,44.15,,32.0,23.7,15.0,1.38
mls,San Jose Earthquakes,43.4,,28.0,24.1,15.0,1.55
mls,D.C. United,43.23,,32.0,25.5,18.0,1.35
mls,Colorado Rapids,41.15,,38.0,23.8,25.0,1.08
mls,Minnesota United FC,40.93,,35.0,25.1,24.0,1.17
mls,New York City FC,39.6,,34.0,23.1,21.0,1.16
mls,Vancouver Whitecaps FC,39.55,,32.0,24.0,26.0,1.24
mls,Charlotte FC,38.48,,35.0,24.6,24.0,1.1
mls,Sporting Kansas City,38.38,,33.0,25.7,18.0,1.16
mls,Portland Timbers,38.08,,35.0,25.2,25.0,1.09
mls,Austin FC,37.1,,34.0,25.7,17.0,1.09
mls,FC Cincinnati,36.25,,31.0,23.7,15.0,1.17
mls,Orlando City SC,34.2,,33.0,23.4,25.0,1.04
mls,Chicago Fire FC,34.05,,31.0,24.1,17.0,1.1
mls,Houston Dynamo FC,33.22,,32.0,24.1,19.0,1.04
mls,Nashville SC,32.78,,28.0,26.9,12.0,1.17
mls,Philadelphia Union,32.68,,27.0,24.0,15.0,1.21
mls,Real Salt Lake City,30.63,,36.0,23.6,19.0,0.851
mls,New York Red Bulls,26.88,,37.0,21.4,19.0,0.726
mls,CF Montréal,23.5,,32.0,22.9,26.0,0.734
mls,St. Louis CITY SC,23.03,,31.0,23.4,16.0,0.743
