league,club,squad_value_eur_m,wage_bill_eur_m,squad_size,avg_age,foreigners,avg_value_eur_m
epl,Manchester City,1050.0,,35.0,25.4,25.0,29.96
epl,Liverpool FC,1000.0,,56.0,23.8,32.0,17.9
epl,Tottenham Hotspur,806.8,,36.0,25.3,23.0,22.41
epl,Chelsea FC,705.85,,36.0,24.7,23.0,19.61
epl,Manchester United,670.45,,43.0,24.4,27.0,15.59
epl,Arsenal FC,607.65,,38.0,24.8,24.0,15.99
epl,Everton FC,420.55,,35.0,26.5,22.0,12.02
epl,Leicester City,411.1,,32.0,26.4,21.0,12.85
epl,Wolverhampton Wanderers,320.33,,44.0,23.6,30.0,7.28
epl,West Ham United,303.6,,38.0,27.0,27.0,7.99
epl,AFC Bournemouth,272.18,,39.0,25.4,17.0,6.98
epl,Newcastle United,252.48,,41.0,26.6,25.0,6.16
epl,Aston Villa,231.7,,38.0,26.2,22.0,6.1
epl,Southampton FC,210.75,,36.0,25.0,20.0,5.85
epl,Brighton & Hove Albion,200.78,,45.0,25.3,29.0,4.46
epl,Watford FC,199.6,,43.0,26.2,27.0,4.64
epl,Crystal Palace,189.33,,33.0,27.4,18.0,5.74
epl,Burnley FC,163.88,,35.0,26.8,12.0,4.68
epl,Norwich City,145.33,,38.0,26.0,25.0,3.82
epl,Sheffield United,138.6,,34.0,27.9,16.0,4.08
championship,Fulham FC,116.6,,36.0,25.8,26.0,3.24
championship,Leeds United,100.75,,35.0,24.4,20.0,2.88
championship,West Bromwich Albion,90.93,,37.0,26.2,15.0,2.46
championship,Huddersfield Town,88.08,,44.0,24.7,20.0,2.0
championship,Bristol City,82.95,,43.0,26.1,28.0,1.93
championship,Stoke City,82.93,,41.0,26.4,24.0,2.02
championship,Brentford FC,70.38,,36.0,23.6,29.0,1.95
championship,Nottingham Forest,65.0,,44.0,26.1,26.0,1.48
championship,Cardiff City,63.38,,42.0,26.9,23.0,1.51
championship,Swansea City,62.1,,39.0,24.7,23.0,1.59
championship,Middlesbrough FC,60.13,,35.0,24.9,13.0,1.72
championship,Birmingham City,52.03,,45.0,25.3,24.0,1.16
championship,Derby County,51.45,,35.0,26.1,13.0,1.47
championship,Hull City,49.88,,40.0,24.5,19.0,1.25
championship,Reading FC,46.68,,47.0,24.5,32.0,0.993
championship,Queens Park Rangers,44.9,,37.0,25.0,23.0,1.21
championship,Sheffield Wednesday,37.7,,41.0,26.1,20.0,0.92
championship,Blackburn Rovers,32.75,,37.0,25.4,13.0,0.885
championship,Preston North End,32.5,,35.0,25.7,11.0,0.929
championship,Wigan Athletic,28.23,,36.0,25.9,20.0,0.784
championship,Charlton Athletic,26.7,,44.0,24.9,16.0,0.607
championship,Millwall FC,23.2,,30.0,26.4,12.0,0.773
championship,Luton Town,20.25,,35.0,26.6,14.0,0.579
championship,Barnsley FC,17.4,,36.0,23.1,21.0,0.483
ligue_1,Paris Saint-Germain,874.15,,35.0,25.8,27.0,24.98
ligue_1,Olympique Lyon,384.55,,33.0,24.5,22.0,11.65
ligue_1,AS Monaco,331.03,,39.0,25.7,30.0,8.49
ligue_1,LOSC Lille,247.78,,31.0,24.2,22.0,7.99
ligue_1,Olympique Marseille,216.15,,34.0,24.8,13.0,6.36
ligue_1,OGC Nice,173.45,,37.0,23.5,20.0,4.69
ligue_1,Stade Rennais FC,171.88,,33.0,25.5,17.0,5.21
ligue_1,FC Girondins Bordeaux,125.35,,31.0,25.6,19.0,4.04
ligue_1,FC Nantes,106.15,,35.0,25.5,20.0,3.03
ligue_1,AS Saint-Étienne,104.83,,41.0,25.2,20.0,2.56
ligue_1,RC Strasbourg Alsace,91.13,,31.0,26.1,16.0,2.94
ligue_1,Angers SCO,89.48,,31.0,26.3,16.0,2.89
ligue_1,Montpellier HSC,81.68,,30.0,26.6,16.0,2.72
ligue_1,Stade Reims,81.68,,31.0,24.2,23.0,2.63
ligue_1,FC Toulouse,71.88,,35.0,24.0,18.0,2.05
ligue_1,Amiens SC,61.93,,37.0,25.8,21.0,1.67
ligue_1,FC Metz,54.1,,32.0,24.8,21.0,1.69
ligue_1,Dijon FCO,50.23,,31.0,25.9,20.0,1.62
ligue_1,Nîmes Olympique,49.65,,35.0,24.3,13.0,1.42
ligue_1,Stade Brestois 29,47.78,,28.0,26.5,10.0,1.71
ligue_2,EA Guingamp,36.8,,39.0,25.6,19.0,0.944
ligue_2,FC Lorient,35.2,,32.0,26.4,8.0,1.1
ligue_2,ESTAC Troyes,31.98,,32.0,25.3,18.0,0.999
ligue_2,RC Lens,30.83,,38.0,25.9,21.0,0.811
ligue_2,SM Caen,27.63,,39.0,25.0,19.0,0.708
ligue_2,AJ Auxerre,23.4,,31.0,26.1,15.0,0.755
ligue_2,Le Havre AC,20.75,,29.0,24.8,21.0,0.716
ligue_2,Paris FC,20.6,,39.0,26.0,21.0,0.528
ligue_2,LB Châteauroux,16.65,,37.0,24.2,19.0,0.45
ligue_2,FC Sochaux-Montbéliard,15.5,,35.0,24.1,16.0,0.443
ligue_2,Valenciennes FC,14.15,,30.0,25.0,15.0,0.472
