league,club,squad_value_eur_m,wage_bill_eur_m,squad_size,avg_age,foreigners,avg_value_eur_m
mls,Inter Miami CF,102.3,,39.0,24.2,28.0,2.62
mls,Los Angeles FC,66.48,,37.0,24.4,27.0,1.8
mls,New England Revolution,63.73,,42.0,25.0,20.0,1.52
mls,Atlanta United FC,54.53,,36.0,24.6,23.0,1.51
mls,Toronto FC,53.58,,40.0,23.8,35.0,1.34
mls,New York City FC,52.23,,33.0,21.4,19.0,1.58
mls,Austin FC,51.9,,31.0,26.1,18.0,1.67
mls,FC Cincinnati,51.5,,35.0,24.2,17.0,1.47
mls,FC Dallas,50.83,,41.0,23.7,20.0,1.24
mls,Seattle Sounders FC,48.98,,35.0,23.9,16.0,1.4
mls,Columbus Crew,48.5,,35.0,23.7,17.0,1.39
mls,Portland Timbers,47.9,,32.0,25.1,22.0,1.5
mls,Orlando City SC,47.83,,34.0,23.4,23.0,1.41
mls,Los Angeles Galaxy,47.63,,30.0,24.8,18.0,1.59
mls,Philadelphia Union,47.38,,37.0,22.7,18.0,1.28
mls,Charlotte FC,46.63,,38.0,24.4,23.0,1.23
mls,Colorado Rapids,46.45,,33.0,22.9,15.0,1.41
mls,Minnesota United FC,45.85,,44.0,23.8,28.0,1.04
mls,San Jose Earthquakes,43.2,,39.0,24.5,14.0,1.11
mls,Nashville SC,42.85,,36.0,25.2,16.0,1.19
mls,Chicago Fire FC,42.55,,39.0,24.3,20.0,1.09
mls,Vancouver Whitecaps FC,41.05,,36.0,23.9,31.0,1.14
mls,CF Montréal,40.98,,33.0,23.2,26.0,1.24
mls,New York Red Bulls,40.6,,36.0,21.3,19.0,1.13
mls,Sporting Kansas City,36.8,,32.0,24.6,17.0,1.15
mls,Real Salt Lake City,34.73,,49.0,22.8,26.0,0.709
mls,Houston Dynamo FC,34.01,,35.0,25.1,22.0,0.972
mls,St. Louis CITY SC,28.81,,39.0,23.5,20.0,0.739
mls,D.C. United,27.98,,34.0,25.0,16.0,0.823
