league,club,squad_value_eur_m,wage_bill_eur_m
epl,Manchester City,1010.0,
epl,Chelsea FC,884.25,
epl,Liverpool FC,857.5,
epl,Manchester United,849.5,
epl,Tottenham Hotspur,829.6,
epl,Arsenal FC,694.0,
epl,Everton FC,381.25,
epl,Leicester City,304.25,
epl,Southampton FC,297.0,
epl,West Ham United,268.1,
epl,Crystal Palace,220.73,
epl,Newcastle United,208.28,
epl,Watford FC,196.0,
epl,Stoke City,192.45,
epl,Burnley FC,169.3,
epl,West Bromwich Albion,165.95,
epl,Swansea City,165.49,
epl,Brighton & Hove Albion,148.2,
epl,AFC Bournemouth,144.5,
epl,Huddersfield Town,106.05,
championship,Fulham FC,125.55,
championship,Middlesbrough FC,118.7,
championship,Wolverhampton Wanderers,109.45,
championship,Aston Villa,96.9,
championship,Leeds United,82.9,
championship,Sunderland AFC,78.58,
championship,Hull City,70.45,
championship,Norwich City,68.73,
championship,Derby County,65.23,
championship,Sheffield Wednesday,62.18,
championship,Cardiff City,62.15,
championship,Nottingham Forest,58.5,
championship,Bristol City,49.25,
championship,Brentford FC,47.95,
championship,Birmingham City,47.8,
championship,Reading FC,47.55,
championship,Queens Park Rangers,38.9,
championship,Bolton Wanderers,30.55,
championship,Ipswich Town,25.5,
championship,Preston North End,24.75,
championship,Sheffield United,23.75,
championship,Barnsley FC,21.7,
championship,Millwall FC,15.13,
championship,Burton Albion,14.4,
ligue_1,Paris Saint-Germain,900.1,
ligue_1,AS Monaco,529.8,
ligue_1,Olympique Lyon,363.8,
ligue_1,Olympique Marseille,236.8,
ligue_1,OGC Nice,204.1,
ligue_1,FC Girondins Bordeaux,155.45,
ligue_1,Stade Rennais FC,131.25,
ligue_1,FC Toulouse,110.45,
ligue_1,AS Saint-Étienne,106.88,
ligue_1,FC Nantes,105.7,
ligue_1,LOSC Lille,96.75,
ligue_1,Montpellier HSC,71.85,
ligue_1,Dijon FCO,70.3,
ligue_1,Amiens SC,69.85,
ligue_1,Angers SCO,69.55,
ligue_1,SM Caen,60.1,
ligue_1,EA Guingamp,51.9,
ligue_1,FC Metz,51.2,
ligue_1,RC Strasbourg Alsace,45.6,
ligue_1,ESTAC Troyes,45.05,
ligue_2,FC Lorient,26.95,
ligue_2,Nîmes Olympique,26.65,
ligue_2,Stade Reims,26.25,
ligue_2,Le Havre AC,25.3,
ligue_2,RC Lens,23.6,
ligue_2,Stade Brestois 29,20.75,
ligue_2,AJ Auxerre,17.85,
ligue_2,Valenciennes FC,17.8,
ligue_2,AS Nancy-Lorraine,17.5,
ligue_2,Tours FC,17.25,
ligue_2,FC Sochaux-Montbéliard,15.7,
ligue_2,GFC Ajaccio,14.45,
ligue_2,Clermont Foot 63,13.45,
ligue_2,AC Ajaccio,13.35,
ligue_2,Football Bourg-en-Bresse Péronnas 01,12.25,
ligue_2,Chamois Niortais FC,12.1,
ligue_2,LB Châteauroux,11.95,
ligue_2,Quevilly Rouen Métropole,9.3,
ligue_2,US Orléans,9.15,
ligue_2,Paris FC,8.85,
la_liga,FC Barcelona,1090.0,
la_liga,Real Madrid,955.35,
la_liga,Atlético de Madrid,711.15,
la_liga,Valencia CF,398.05,
la_liga,Sevilla FC,253.2,
la_liga,Athletic Bilbao,249.4,
la_liga,Real Sociedad,232.95,
la_liga,Villarreal CF,220.0,
la_liga,Celta de Vigo,173.05,
la_liga,Real Betis Balompié,132.25,
la_liga,RCD Espanyol Barcelona,97.8,
la_liga,UD Las Palmas,91.25,
la_liga,Girona FC,81.75,
la_liga,Deportivo Alavés,74.8,
la_liga,Deportivo de La Coruña,66.45,
la_liga,Getafe CF,65.6,
la_liga,Levante UD,61.85,
la_liga,SD Eibar,60.05,
la_liga,CD Leganés,58.55,
la_liga,Málaga CF,55.2,
bundesliga,Bayern Munich,811.85,
bundesliga,Borussia Dortmund,574.2,
bundesliga,RB Leipzig,373.3,
bundesliga,Bayer 04 Leverkusen,357.35,
bundesliga,FC Schalke 04,274.35,
bundesliga,TSG 1899 Hoffenheim,212.75,
bundesliga,Borussia Mönchengladbach,193.25,
bundesliga,VfL Wolfsburg,143.6,
bundesliga,VfB Stuttgart,134.7,
bundesliga,Hertha BSC,131.45,
bundesliga,Eintracht Frankfurt,126.15,
bundesliga,SV Werder Bremen,107.15,
bundesliga,SC Freiburg,100.6,
bundesliga,FC Augsburg,100.45,
bundesliga,1.FSV Mainz 05,98.35,
bundesliga,Hannover 96,92.95,
bundesliga,1.FC Köln,91.73,
bundesliga,Hamburger SV,62.4,
serie_a,Juventus FC,653.15,
serie_a,SSC Napoli,504.25,
serie_a,Inter Milan,487.28,
serie_a,AS Roma,469.1,
serie_a,SS Lazio,408.78,
serie_a,AC Milan,407.05,
serie_a,ACF Fiorentina,237.33,
serie_a,Atalanta BC,207.95,
serie_a,UC Sampdoria,190.45,
serie_a,Torino FC,175.53,
serie_a,Genoa CFC,135.13,
serie_a,US Sassuolo,126.78,
serie_a,Udinese Calcio,108.03,
serie_a,Bologna FC 1909,103.55,
serie_a,Cagliari Calcio,98.58,
serie_a,SPAL 2013,63.55,
serie_a,Benevento Calcio,57.83,
serie_a,Hellas Verona,56.5,
serie_a,Chievo Verona,55.23,
serie_a,FC Crotone,47.88,
