league,club,squad_value_eur_m,wage_bill_eur_m
epl,Manchester City FC,1390.0,
epl,Arsenal FC,1330.0,
epl,Chelsea FC,1150.0,
epl,Liverpool FC,980.5,
epl,Tottenham Hotspur FC,813.4,
epl,Manchester United FC,774.6,
epl,Crystal Palace FC,702.5,
epl,Newcastle United FC,697.7,
epl,AFC Bournemouth,680.98,
epl,Nottingham Forest FC,638.68,
epl,Brighton & Hove Albion FC,625.0,
epl,Aston Villa FC,613.98,
epl,Brentford FC,503.58,
epl,West Ham United FC,469.73,
epl,Everton FC,459.25,
epl,Sunderland AFC,446.68,
epl,Wolverhampton Wanderers FC,389.85,
epl,Fulham FC,376.2,
epl,Leeds United FC,374.2,
epl,Burnley FC,236.0,
championship,Southampton FC,276.0,
championship,Coventry City,235.38,
championship,Ipswich Town,229.23,
championship,Leicester City,203.15,
championship,Middlesbrough FC,192.15,
championship,Sheffield United,140.95,
championship,Norwich City,135.2,
championship,Birmingham City,118.55,
championship,Millwall FC,116.2,
championship,Watford FC,110.7,
championship,Hull City,105.9,
championship,Swansea City,105.23,
championship,Stoke City,104.08,
championship,West Bromwich Albion,101.98,
championship,Bristol City,99.25,
championship,Wrexham AFC,79.73,
championship,Preston North End,79.33,
championship,Queens Park Rangers,71.4,
championship,Derby County,65.43,
championship,Blackburn Rovers,53.15,
championship,Oxford United,44.23,
championship,Portsmouth FC,42.85,
championship,Charlton Athletic,36.5,
championship,Sheffield Wednesday,33.55,
ligue_1,Paris Saint-Germain,1380.0,
ligue_1,Olympique Marseille,484.8,
ligue_1,RC Strasbourg Alsace,466.08,
ligue_1,AS Monaco,454.68,
ligue_1,Olympique Lyon,354.65,
ligue_1,Stade Rennais FC,333.6,
ligue_1,LOSC Lille,294.5,
ligue_1,RC Lens,266.6,
ligue_1,OGC Nice,215.55,
ligue_1,FC Toulouse,198.6,
ligue_1,Paris FC,154.2,
ligue_1,Angers SCO,137.6,
ligue_1,FC Lorient,128.35,
ligue_1,FC Nantes,122.6,
ligue_1,AJ Auxerre,122.0,
ligue_1,Stade Brestois 29,95.35,
ligue_1,FC Metz,91.8,
ligue_1,Le Havre AC,79.45,
ligue_2,Stade Reims,122.68,
ligue_2,AS Saint-Étienne,85.95,
ligue_2,ESTAC Troyes,62.1,
ligue_2,USL Dunkerque,43.5,
ligue_2,Montpellier HSC,37.8,
ligue_2,SC Bastia,37.03,
ligue_2,Pau FC,29.38,
ligue_2,Clermont Foot 63,24.3,
ligue_2,Amiens SC,23.3,
ligue_2,Rodez AF,22.48,
ligue_2,EA Guingamp,20.28,
ligue_2,Le Mans FC,19.73,
ligue_2,Red Star FC,19.7,
ligue_2,Grenoble Foot 38,18.3,
ligue_2,AS Nancy-Lorraine,14.63,
ligue_2,FC Annecy,13.53,
ligue_2,Stade Lavallois,13.23,
ligue_2,US Boulogne,11.08,
bundesliga,Bayern Munich,994.4,
bundesliga,RB Leipzig,618.7,
bundesliga,Bayer 04 Leverkusen,548.35,
bundesliga,Borussia Dortmund,520.4,
bundesliga,VfB Stuttgart,464.55,
bundesliga,Eintracht Frankfurt,408.95,
bundesliga,TSG 1899 Hoffenheim,285.8,
bundesliga,SC Freiburg,264.85,
bundesliga,VfL Wolfsburg,234.1,
bundesliga,Hamburger SV,186.05,
bundesliga,FC Augsburg,180.65,
bundesliga,SV Werder Bremen,177.83,
bundesliga,Borussia Mönchengladbach,171.4,
bundesliga,1.FSV Mainz 05,165.35,
bundesliga,1.FC Köln,156.65,
bundesliga,1.FC Union Berlin,129.85,
bundesliga,1.FC Heidenheim 1846,78.75,
bundesliga,FC St. Pauli,65.65,
la_liga,Real Madrid,1300.0,
la_liga,FC Barcelona,1190.0,
la_liga,Atlético de Madrid,646.9,
la_liga,Villarreal CF,375.55,
la_liga,Real Sociedad,299.0,
la_liga,Real Betis Balompié,253.05,
la_liga,Athletic Bilbao,237.65,
la_liga,Celta de Vigo,207.6,
la_liga,Girona FC,199.2,
la_liga,Sevilla FC,176.5,
la_liga,Valencia CF,147.03,
la_liga,RCD Espanyol Barcelona,135.15,
la_liga,Elche CF,128.05,
la_liga,Levante UD,113.95,
la_liga,Rayo Vallecano,106.2,
la_liga,CA Osasuna,102.7,
la_liga,Getafe CF,95.6,
la_liga,RCD Mallorca,83.2,
la_liga,Deportivo Alavés,82.68,
la_liga,Real Oviedo,60.95,
serie_a,Inter Milan,680.1,
serie_a,Juventus FC,536.5,
serie_a,AC Milan,511.7,
serie_a,AS Roma,503.3,
serie_a,Atalanta BC,491.85,
serie_a,SSC Napoli,459.55,
serie_a,Como 1907,412.95,
serie_a,Bologna FC 1909,301.5,
serie_a,SS Lazio,288.13,
serie_a,ACF Fiorentina,264.95,
serie_a,US Sassuolo,211.8,
serie_a,Udinese Calcio,206.1,
serie_a,Parma Calcio 1913,204.05,
serie_a,Cagliari Calcio,201.85,
serie_a,Genoa CFC,187.4,
serie_a,Torino FC,150.95,
serie_a,US Lecce,128.58,
serie_a,Pisa Sporting Club,111.55,
serie_a,Hellas Verona,107.75,
serie_a,US Cremonese,78.38,
la_liga_2,Racing Santander,86.13,
la_liga_2,UD Almería,68.83,
la_liga_2,Deportivo de La Coruña,64.4,
la_liga_2,UD Las Palmas,55.23,
la_liga_2,Real Valladolid CF,40.5,
la_liga_2,Málaga CF,35.25,
la_liga_2,Sporting Gijón,33.95,
la_liga_2,Granada CF,31.3,
la_liga_2,CD Mirandés,26.8,
la_liga_2,Real Sociedad B,26.35,
la_liga_2,FC Andorra,25.6,
la_liga_2,CD Castellón,24.85,
la_liga_2,Real Zaragoza,24.8,
la_liga_2,Burgos CF,24.5,
la_liga_2,Cádiz CF,22.65,
la_liga_2,CD Leganés,21.78,
la_liga_2,Córdoba CF,19.03,
la_liga_2,SD Eibar,18.25,
la_liga_2,Albacete Balompié,17.25,
la_liga_2,SD Huesca,16.95,
la_liga_2,Cultural Leonesa,16.7,
la_liga_2,AD Ceuta FC,14.65,
serie_b,Venezia FC,84.08,
serie_b,AC Monza,56.66,
serie_b,Frosinone Calcio,55.16,
serie_b,UC Sampdoria,49.9,
serie_b,US Catanzaro,46.96,
serie_b,Spezia Calcio,43.45,
serie_b,Palermo FC,42.09,
serie_b,Modena FC,41.15,
serie_b,FC Empoli,38.3,
serie_b,SS Juve Stabia,34.03,
serie_b,Cesena FC,33.28,
serie_b,Mantova 1911,32.28,
serie_b,Carrarese Calcio 1908,29.55,
serie_b,SSC Bari,27.73,
serie_b,AC Reggiana 1919,27.01,
serie_b,US Avellino 1912,26.11,
serie_b,Delfino Pescara 1936,24.23,
serie_b,FC Südtirol,21.85,
serie_b,Calcio Padova,19.65,
serie_b,Virtus Entella,15.95,
