league,club,squad_value_eur_m,wage_bill_eur_m,squad_size,avg_age,foreigners,avg_value_eur_m
epl,Manchester City,1200.0,,47.0,24.6,36.0,25.61
epl,Liverpool FC,1170.0,,39.0,25.2,25.0,30.06
epl,Chelsea FC,1170.0,,54.0,26.2,40.0,21.6
epl,Tottenham Hotspur,898.6,,34.0,26.0,20.0,26.43
epl,Manchester United,797.6,,36.0,25.9,23.0,22.16
epl,Arsenal FC,659.05,,42.0,25.4,28.0,15.69
epl,Everton FC,529.1,,40.0,26.6,29.0,13.23
epl,Leicester City,434.1,,37.0,26.9,28.0,11.73
epl,West Ham United,359.0,,37.0,27.1,24.0,9.7
epl,AFC Bournemouth,310.0,,37.0,26.2,17.0,8.38
epl,Wolverhampton Wanderers,302.9,,40.0,24.5,26.0,7.57
epl,Crystal Palace,289.0,,36.0,26.9,22.0,8.03
epl,Fulham FC,254.25,,33.0,26.2,26.0,7.7
epl,Newcastle United,244.65,,37.0,26.6,25.0,6.61
epl,Watford FC,239.1,,39.0,26.7,32.0,6.13
epl,Burnley FC,197.25,,33.0,28.6,14.0,5.98
epl,Brighton & Hove Albion,194.35,,41.0,26.3,29.0,4.74
epl,Huddersfield Town,137.45,,33.0,25.8,21.0,4.17
epl,Cardiff City,113.0,,35.0,27.8,21.0,3.23
championship,Aston Villa,164.45,,43.0,26.8,24.0,3.82
championship,West Bromwich Albion,145.65,,37.0,27.2,14.0,3.94
championship,Stoke City,129.3,,36.0,27.5,25.0,3.59
championship,Middlesbrough FC,101.33,,41.0,26.1,15.0,2.47
championship,Leeds United,94.45,,49.0,24.2,31.0,1.93
championship,Derby County,94.3,,44.0,26.7,21.0,2.14
championship,Swansea City,92.54,,39.0,25.4,31.0,2.37
championship,Norwich City,86.3,,37.0,26.4,25.0,2.33
championship,Nottingham Forest,83.1,,45.0,27.6,29.0,1.85
championship,Brentford FC,76.35,,39.0,23.5,28.0,1.96
championship,Bristol City,72.55,,38.0,25.1,21.0,1.91
championship,Reading FC,66.25,,49.0,25.7,35.0,1.35
championship,Sheffield United,61.75,,39.0,27.4,18.0,1.58
championship,Hull City,55.4,,34.0,26.1,15.0,1.63
championship,Sheffield Wednesday,47.4,,41.0,26.3,23.0,1.16
championship,Birmingham City,42.5,,33.0,27.2,15.0,1.29
championship,Wigan Athletic,41.05,,43.0,25.8,19.0,0.955
championship,Queens Park Rangers,39.73,,44.0,24.8,26.0,0.903
championship,Blackburn Rovers,34.75,,39.0,25.1,14.0,0.891
