league,club,squad_value_eur_m,wage_bill_eur_m
epl,Chelsea FC,686.7,
epl,Manchester City,576.5,
epl,Tottenham Hotspur,543.65,
epl,Arsenal FC,542.0,
epl,Manchester United,531.45,
epl,Liverpool FC,425.65,
epl,Everton FC,311.25,
epl,West Ham United,273.05,
epl,Southampton FC,263.75,
epl,Crystal Palace,228.43,
epl,Leicester City,218.65,
epl,Stoke City,186.0,
epl,Watford FC,175.65,
epl,Swansea City,157.1,
epl,Hull City,135.85,
epl,Sunderland AFC,132.0,
epl,AFC Bournemouth,131.6,
epl,Middlesbrough FC,128.8,
epl,West Bromwich Albion,123.2,
epl,Burnley FC,107.18,
