league,club,squad_value_eur_m,wage_bill_eur_m,squad_size,avg_age,foreigners,avg_value_eur_m
mls,Inter Miami CF,115.25,,35.0,24.8,18.0,3.29
mls,Atlanta United FC,57.35,,38.0,23.4,19.0,1.51
mls,Los Angeles Galaxy,51.48,,29.0,24.0,17.0,1.78
mls,Toronto FC,43.95,,40.0,23.2,29.0,1.1
mls,Montreal Impact,40.33,,38.0,22.4,34.0,1.06
mls,FC Cincinnati,33.95,,35.0,24.5,18.0,0.97
mls,Columbus Crew SC,33.7,,33.0,26.1,20.0,1.02
mls,Los Angeles FC,32.35,,33.0,23.3,26.0,0.98
mls,Portland Timbers,31.7,,29.0,25.7,21.0,1.09
mls,Sporting Kansas City,29.65,,32.0,25.2,15.0,0.927
mls,Seattle Sounders FC,28.83,,30.0,24.7,15.0,0.961
mls,New York City FC,25.5,,29.0,23.9,16.0,0.879
mls,Orlando City SC,24.48,,30.0,23.7,18.0,0.816
mls,Minnesota United FC,23.8,,33.0,25.2,19.0,0.721
mls,New England Revolution,22.55,,32.0,25.2,14.0,0.705
mls,D.C. United,21.08,,29.0,25.1,17.0,0.727
mls,Colorado Rapids,21.08,,32.0,24.2,14.0,0.659
mls,New York Red Bulls,20.43,,31.0,22.7,15.0,0.659
mls,Houston Dynamo,20.28,,32.0,24.8,22.0,0.634
mls,Nashville SC,20.18,,34.0,24.8,15.0,0.593
mls,Chicago Fire FC,19.75,,32.0,23.1,16.0,0.617
mls,San Jose Earthquakes,18.05,,30.0,24.2,17.0,0.602
mls,Vancouver Whitecaps FC,16.93,,32.0,22.9,29.0,0.529
mls,FC Dallas,15.98,,35.0,23.1,16.0,0.456
mls,Real Salt Lake City,15.78,,31.0,24.9,18.0,0.509
mls,Philadelphia Union,13.73,,26.0,24.3,15.0,0.528
