league,club,squad_value_eur_m,wage_bill_eur_m,squad_size,avg_age,foreigners,avg_value_eur_m
mls,Los Angeles FC,130.35,,40.0,25.0,28.0,3.26
mls,Inter Miami CF,121.23,,37.0,24.4,26.0,3.28
mls,Atlanta United FC,72.43,,39.0,24.3,29.0,1.86
mls,Seattle Sounders FC,67.98,,37.0,24.5,14.0,1.84
mls,Los Angeles Galaxy,67.55,,34.0,24.8,18.0,1.99
mls,San Diego FC,64.08,,38.0,23.6,23.0,1.69
mls,Chicago Fire FC,63.68,,40.0,23.5,19.0,1.59
mls,Portland Timbers,62.4,,36.0,24.6,24.0,1.73
mls,Charlotte FC,60.75,,37.0,24.2,20.0,1.64
mls,FC Cincinnati,57.88,,38.0,24.9,24.0,1.52
mls,New England Revolution,57.25,,43.0,23.2,23.0,1.33
mls,Austin FC,56.58,,34.0,24.9,23.0,1.66
mls,Vancouver Whitecaps FC,50.84,,41.0,23.5,31.0,1.24
mls,San Jose Earthquakes,45.35,,36.0,24.6,15.0,1.26
mls,Columbus Crew,44.88,,33.0,24.3,18.0,1.36
mls,St. Louis CITY SC,43.86,,39.0,24.2,22.0,1.12
mls,Minnesota United FC,43.34,,42.0,23.1,25.0,1.03
mls,Colorado Rapids,43.28,,39.0,22.6,17.0,1.11
mls,FC Dallas,43.2,,44.0,22.4,23.0,0.982
mls,Toronto FC,42.58,,35.0,24.5,29.0,1.22
mls,Nashville SC,42.05,,36.0,24.6,17.0,1.17
mls,Houston Dynamo FC,41.08,,42.0,25.0,27.0,0.978
mls,Philadelphia Union,40.05,,36.0,22.8,14.0,1.11
mls,Orlando City SC,39.38,,37.0,22.8,27.0,1.06
mls,New York Red Bulls,38.88,,39.0,22.4,24.0,0.997
mls,CF Montréal,38.6,,38.0,22.1,31.0,1.02
mls,Real Salt Lake City,36.25,,44.0,22.7,22.0,0.824
mls,New York City FC,34.08,,36.0,22.3,21.0,0.947
mls,Sporting Kansas City,33.78,,31.0,24.2,18.0,1.09
mls,D.C. United,33.5,,35.0,23.8,17.0,0.957
