league,club,squad_value_eur_m,wage_bill_eur_m,squad_size,avg_age,foreigners,avg_value_eur_m
mls,Toronto FC,115.28,,36.0,23.8,31.0,3.2
mls,Los Angeles FC,97.25,,33.0,25.1,26.0,2.95
mls,Atlanta United FC,71.75,,35.0,23.9,17.0,2.05
mls,Los Angeles Galaxy,69.48,,32.0,24.9,20.0,2.17
mls,Columbus Crew,52.05,,42.0,25.8,23.0,1.24
mls,New York City FC,43.28,,29.0,23.9,18.0,1.49
mls,Inter Miami CF,42.75,,34.0,24.2,26.0,1.26
mls,Minnesota United FC,42.15,,33.0,25.1,22.0,1.28
mls,D.C. United,39.1,,45.0,23.5,22.0,0.869
mls,Seattle Sounders FC,36.95,,30.0,24.5,13.0,1.23
mls,Chicago Fire FC,35.05,,30.0,22.7,17.0,1.17
mls,Austin FC,34.9,,27.0,25.3,18.0,1.29
mls,Vancouver Whitecaps FC,34.18,,39.0,23.5,32.0,0.876
mls,New England Revolution,34.08,,34.0,25.1,18.0,1.0
mls,Charlotte FC,31.08,,33.0,24.0,22.0,0.942
mls,New York Red Bulls,30.88,,33.0,21.7,20.0,0.936
mls,Houston Dynamo FC,30.84,,33.0,24.2,18.0,0.934
mls,Orlando City SC,30.7,,31.0,24.2,20.0,0.99
mls,Colorado Rapids,30.63,,30.0,25.4,17.0,1.02
mls,FC Dallas,30.0,,29.0,23.2,12.0,1.03
mls,San Jose Earthquakes,27.78,,29.0,23.9,16.0,0.958
mls,Nashville SC,26.93,,28.0,26.0,8.0,0.962
mls,Portland Timbers,26.68,,30.0,24.9,21.0,0.889
mls,FC Cincinnati,26.2,,32.0,24.8,18.0,0.819
mls,CF Montréal,26.18,,28.0,23.0,24.0,0.935
mls,Real Salt Lake City,21.78,,39.0,24.1,19.0,0.558
mls,Philadelphia Union,20.75,,26.0,23.4,14.0,0.798
mls,Sporting Kansas City,19.0,,29.0,24.7,15.0,0.655
