league,club,squad_value_eur_m,wage_bill_eur_m,squad_size,avg_age,foreigners,avg_value_eur_m
mls,Inter Miami CF,94.2,,28.0,25.8,19.0,3.36
mls,Atlanta United FC,68.43,,33.0,23.5,19.0,2.07
mls,Los Angeles FC,54.18,,34.0,22.6,25.0,1.59
mls,Toronto FC,44.95,,33.0,24.6,21.0,1.36
mls,Minnesota United FC,42.25,,31.0,25.5,18.0,1.36
mls,FC Cincinnati,37.88,,33.0,25.0,21.0,1.15
mls,Austin FC,36.83,,28.0,23.8,13.0,1.32
mls,Seattle Sounders FC,35.25,,32.0,23.8,15.0,1.1
mls,D.C. United,33.03,,32.0,24.8,17.0,1.03
mls,Orlando City SC,32.8,,33.0,24.2,20.0,0.994
mls,New York City FC,31.63,,28.0,24.0,17.0,1.13
mls,Los Angeles Galaxy,30.33,,31.0,24.1,19.0,0.978
mls,Columbus Crew,28.45,,31.0,26.7,17.0,0.918
mls,Portland Timbers,28.2,,29.0,26.0,21.0,0.972
mls,CF Montréal,27.98,,32.0,22.4,27.0,0.874
mls,Colorado Rapids,27.58,,31.0,24.4,14.0,0.89
mls,Chicago Fire FC,23.28,,27.0,23.2,19.0,0.862
mls,FC Dallas,22.68,,30.0,22.8,13.0,0.756
mls,Sporting Kansas City,22.05,,30.0,24.4,12.0,0.735
mls,Nashville SC,20.78,,29.0,25.4,13.0,0.716
mls,Real Salt Lake City,20.45,,30.0,24.7,17.0,0.682
mls,Vancouver Whitecaps FC,19.78,,32.0,23.3,29.0,0.618
mls,New England Revolution,19.63,,27.0,25.3,14.0,0.727
mls,San Jose Earthquakes,19.03,,27.0,25.4,15.0,0.705
mls,New York Red Bulls,18.6,,31.0,22.1,18.0,0.6
mls,Houston Dynamo FC,17.33,,31.0,25.3,18.0,0.559
mls,Philadelphia Union,15.4,,31.0,23.5,19.0,0.497
