league,club,squad_value_eur_m,wage_bill_eur_m,squad_size,avg_age,foreigners,avg_value_eur_m
epl,Arsenal FC,1450.0,,30.0,26.0,19.0,48.38
epl,Manchester City FC,1360.0,,29.0,25.1,19.0,46.92
epl,Chelsea FC,1350.0,,39.0,24.2,28.0,34.53
epl,Liverpool FC,964.5,,29.0,25.6,23.0,33.26
epl,Manchester United FC,874.3,,30.0,25.9,19.0,29.14
epl,Tottenham Hotspur FC,794.5,,30.0,25.8,23.0,26.48
epl,Brighton & Hove Albion FC,636.5,,31.0,25.2,27.0,20.53
epl,Newcastle United FC,586.3,,26.0,25.7,14.0,22.55
epl,AFC Bournemouth,565.88,,30.0,25.3,21.0,18.86
epl,Brentford FC,561.8,,30.0,25.2,24.0,18.73
epl,Nottingham Forest FC,550.8,,28.0,26.0,22.0,19.67
epl,Crystal Palace FC,545.4,,30.0,26.3,21.0,18.18
epl,Aston Villa FC,521.3,,26.0,26.9,20.0,20.05
epl,Everton FC,471.1,,24.0,26.1,13.0,19.63
epl,Leeds United FC,402.95,,25.0,27.5,18.0,16.12
epl,Sunderland AFC,398.58,,28.0,26.0,23.0,14.23
epl,Fulham FC,348.8,,24.0,26.8,20.0,14.53
epl,Ipswich Town FC,301.65,,30.0,26.8,20.0,10.06
epl,Coventry City FC,292.15,,31.0,26.6,19.0,9.42
epl,Hull City AFC,144.3,,30.0,27.0,17.0,4.81
championship,West Ham United,296.9,,27.0,25.9,17.0,11.0
championship,Wolverhampton Wanderers,276.05,,30.0,26.3,26.0,9.2
championship,Southampton FC,187.85,,29.0,25.6,17.0,6.48
championship,Middlesbrough FC,141.5,,26.0,25.8,16.0,5.44
championship,Burnley FC,140.8,,32.0,26.6,23.0,4.4
championship,Norwich City,109.38,,34.0,24.3,22.0,3.22
championship,Sheffield United,98.55,,27.0,26.3,12.0,3.65
championship,Birmingham City,95.6,,27.0,27.0,15.0,3.54
championship,Stoke City,91.65,,25.0,27.0,16.0,3.67
championship,Swansea City,90.45,,26.0,26.1,22.0,3.48
championship,Millwall FC,86.05,,32.0,25.8,15.0,2.69
championship,Wrexham AFC,77.63,,31.0,27.5,9.0,2.5
championship,Watford FC,76.1,,23.0,25.0,19.0,3.31
championship,Queens Park Rangers,73.95,,29.0,24.6,23.0,2.55
championship,Bristol City,63.35,,26.0,25.8,11.0,2.44
championship,Derby County,58.2,,26.0,28.4,12.0,2.24
championship,West Bromwich Albion,52.35,,22.0,25.6,17.0,2.38
championship,Preston North End,50.53,,26.0,26.2,14.0,1.94
championship,Charlton Athletic,36.4,,32.0,26.1,18.0,1.14
championship,Blackburn Rovers,36.3,,28.0,26.8,18.0,1.3
championship,Portsmouth FC,34.98,,37.0,25.1,18.0,0.945
championship,Cardiff City,28.1,,26.0,24.7,17.0,1.08
championship,Bolton Wanderers,24.65,,26.0,26.5,13.0,0.948
championship,Lincoln City,16.33,,27.0,26.6,14.0,0.605
ligue_1,Paris Saint-Germain,1480.0,,26.0,24.6,16.0,56.82
ligue_1,AS Monaco,325.8,,26.0,25.1,19.0,12.53
ligue_1,LOSC Lille,311.6,,27.0,25.3,18.0,11.54
ligue_1,RC Strasbourg Alsace,302.25,,32.0,21.9,27.0,9.45
ligue_1,Olympique Lyon,293.45,,33.0,24.7,25.0,8.89
ligue_1,Stade Rennais FC,263.6,,29.0,25.9,17.0,9.09
ligue_1,Olympique Marseille,224.85,,24.0,27.0,20.0,9.37
ligue_1,RC Lens,187.2,,28.0,26.3,14.0,6.69
ligue_1,Paris FC,173.6,,26.0,26.1,14.0,6.68
ligue_1,OGC Nice,137.4,,29.0,25.5,18.0,4.74
ligue_1,FC Toulouse,114.4,,24.0,22.7,15.0,4.77
ligue_1,AJ Auxerre,83.25,,32.0,23.6,18.0,2.6
ligue_1,FC Lorient,80.55,,23.0,25.6,15.0,3.5
ligue_1,Angers SCO,72.7,,22.0,25.4,14.0,3.3
ligue_1,Stade Brestois 29,63.6,,22.0,26.0,8.0,2.89
ligue_1,Le Havre AC,55.65,,27.0,24.7,14.0,2.06
ligue_1,ESTAC Troyes,36.55,,25.0,25.4,10.0,1.46
ligue_1,Le Mans FC,24.15,,28.0,26.7,8.0,0.863
bundesliga,Bayern Munich,1080.0,,28.0,26.5,16.0,38.48
bundesliga,Borussia Dortmund,529.45,,29.0,24.6,20.0,18.26
bundesliga,Bayer 04 Leverkusen,513.95,,32.0,25.6,24.0,16.06
bundesliga,RB Leipzig,481.35,,31.0,24.0,20.0,15.53
bundesliga,VfB Stuttgart,423.45,,34.0,24.8,16.0,12.45
bundesliga,Eintracht Frankfurt,341.35,,29.0,24.7,18.0,11.77
bundesliga,TSG 1899 Hoffenheim,294.95,,30.0,24.9,20.0,9.83
bundesliga,SC Freiburg,236.55,,29.0,26.6,12.0,8.16
bundesliga,1.FSV Mainz 05,175.2,,30.0,27.8,18.0,5.84
bundesliga,FC Augsburg,160.4,,29.0,25.4,14.0,5.53
bundesliga,1.FC Köln,137.9,,30.0,25.7,16.0,4.6
bundesliga,Borussia Mönchengladbach,129.05,,30.0,26.1,16.0,4.3
bundesliga,1.FC Union Berlin,123.08,,31.0,26.3,18.0,3.97
bundesliga,SV Werder Bremen,119.33,,34.0,25.2,22.0,3.51
bundesliga,Hamburger SV,109.15,,28.0,25.1,21.0,3.9
bundesliga,FC Schalke 04,67.33,,30.0,26.9,18.0,2.24
bundesliga,SV 07 Elversberg,59.1,,29.0,26.1,9.0,2.04
bundesliga,SC Paderborn 07,43.38,,32.0,24.4,4.0,1.36
ligue_2,AS Saint-Étienne,94.45,,31.0,23.6,21.0,3.05
ligue_2,FC Nantes,81.78,,28.0,24.6,8.0,2.92
ligue_2,Stade Reims,70.53,,29.0,24.4,25.0,2.43
ligue_2,FC Metz,42.65,,26.0,25.1,18.0,1.64
ligue_2,Montpellier HSC,28.65,,26.0,23.3,11.0,1.1
ligue_2,Clermont Foot 63,14.95,,24.0,24.4,13.0,0.623
ligue_2,Rodez AF,14.85,,25.0,24.5,7.0,0.594
ligue_2,Red Star FC,14.53,,21.0,26.6,6.0,0.692
ligue_2,Pau FC,13.4,,25.0,25.9,9.0,0.536
ligue_2,AS Nancy-Lorraine,13.2,,29.0,24.8,11.0,0.455
ligue_2,Grenoble Foot 38,12.0,,27.0,25.5,12.0,0.444
ligue_2,USL Dunkerque,10.6,,24.0,24.4,11.0,0.442
ligue_2,EA Guingamp,10.45,,24.0,25.3,6.0,0.435
ligue_2,FC Annecy,10.1,,29.0,24.3,9.0,0.348
ligue_2,Stade Lavallois,9.78,,25.0,27.0,7.0,0.391
ligue_2,US Boulogne,7.8,,25.0,26.3,5.0,0.312
ligue_2,FC Sochaux-Montbéliard,6.78,,22.0,27.5,10.0,0.308
ligue_2,Dijon FCO,4.85,,22.0,27.3,8.0,0.22
la_liga,Real Madrid,1460.0,,27.0,25.9,20.0,53.94
la_liga,FC Barcelona,1280.0,,30.0,23.9,11.0,42.72
la_liga,Atlético de Madrid,653.0,,26.0,27.0,14.0,25.12
la_liga,Villarreal CF,324.6,,24.0,26.1,15.0,13.53
la_liga,Real Betis Balompié,259.6,,26.0,27.5,12.0,9.98
la_liga,Real Sociedad,247.1,,24.0,25.9,8.0,10.3
la_liga,Athletic Bilbao,240.7,,29.0,26.7,4.0,8.3
la_liga,Celta de Vigo,162.8,,24.0,27.1,7.0,6.78
la_liga,Sevilla FC,133.9,,25.0,25.8,10.0,5.36
la_liga,Valencia CF,123.2,,26.0,27.8,12.0,4.74
la_liga,RCD Espanyol Barcelona,118.6,,24.0,26.6,8.0,4.94
la_liga,Getafe CF,91.8,,26.0,27.4,14.0,3.53
la_liga,Levante UD,89.0,,28.0,24.2,9.0,3.18
la_liga,Racing Santander,89.0,,20.0,25.3,7.0,4.45
la_liga,Deportivo A Coruña,84.15,,29.0,26.0,10.0,2.9
la_liga,Elche CF,79.2,,28.0,25.9,14.0,2.83
la_liga,Rayo Vallecano,75.9,,23.0,29.0,12.0,3.3
la_liga,CA Osasuna,70.9,,22.0,28.2,4.0,3.22
la_liga,Deportivo Alavés,68.1,,26.0,26.9,13.0,2.62
la_liga,Málaga CF,41.6,,28.0,25.5,2.0,1.49
serie_a,Inter Milan,746.8,,26.0,27.8,20.0,28.72
serie_a,AC Milan,582.2,,31.0,26.1,22.0,18.78
serie_a,Juventus FC,578.7,,29.0,27.6,19.0,19.96
serie_a,AS Roma,523.9,,26.0,25.4,19.0,20.15
serie_a,Como 1907,488.0,,34.0,26.1,27.0,14.35
serie_a,SSC Napoli,460.65,,34.0,27.6,20.0,13.55
serie_a,Atalanta BC,438.4,,26.0,26.8,15.0,16.86
serie_a,ACF Fiorentina,330.05,,28.0,25.5,17.0,11.79
serie_a,SS Lazio,239.85,,35.0,26.1,20.0,6.85
serie_a,Bologna FC 1909,218.25,,25.0,26.7,16.0,8.73
serie_a,US Sassuolo,194.45,,38.0,24.7,19.0,5.12
serie_a,Genoa CFC,178.6,,31.0,24.3,23.0,5.76
serie_a,Udinese Calcio,160.33,,31.0,26.1,25.0,5.17
serie_a,Torino FC,144.2,,32.0,25.1,19.0,4.51
serie_a,Parma Calcio 1913,141.83,,28.0,23.4,22.0,5.07
serie_a,Cagliari Calcio,136.5,,33.0,24.2,18.0,4.14
serie_a,Venezia FC,117.95,,38.0,25.4,30.0,3.1
serie_a,Frosinone Calcio,84.5,,34.0,24.7,16.0,2.49
serie_a,US Lecce,71.5,,31.0,24.3,28.0,2.31
serie_a,AC Monza,68.55,,29.0,24.5,13.0,2.36
serie_b,Pisa Sporting Club,71.03,,36.0,24.9,15.0,1.97
serie_b,Hellas Verona,57.45,,35.0,24.6,26.0,1.64
serie_b,Palermo FC,53.93,,27.0,28.4,11.0,2.0
serie_b,US Cremonese,49.35,,31.0,26.7,6.0,1.59
serie_b,UC Sampdoria,37.25,,30.0,26.7,11.0,1.24
serie_b,Modena FC,30.65,,28.0,25.0,11.0,1.09
serie_b,Cesena FC,27.28,,30.0,23.5,7.0,0.909
serie_b,US Avellino,26.04,,28.0,26.9,4.0,0.93
serie_b,Calcio Padova,25.43,,32.0,26.9,3.0,0.795
serie_b,Mantova 1911,24.33,,31.0,25.0,9.0,0.785
serie_b,FC Südtirol,21.43,,27.0,25.5,11.0,0.794
serie_b,US Catanzaro,21.4,,32.0,25.1,9.0,0.669
serie_b,FC Empoli,18.95,,28.0,23.8,7.0,0.677
serie_b,Benevento Calcio,15.45,,31.0,26.2,5.0,0.498
serie_b,Carrarese Calcio 1908,15.3,,23.0,24.7,7.0,0.665
serie_b,SS Juve Stabia,12.95,,33.0,25.0,5.0,0.392
serie_b,SS Arezzo,12.73,,37.0,25.9,7.0,0.344
serie_b,Ascoli Calcio,11.5,,29.0,25.5,6.0,0.397
serie_b,LR Vicenza,11.1,,26.0,27.3,2.0,0.427
serie_b,Virtus Entella,10.3,,26.0,26.8,2.0,0.396
la_liga_2,Girona FC,114.0,,30.0,25.8,17.0,3.8
la_liga_2,UD Almería,53.9,,26.0,28.2,11.0,2.07
la_liga_2,RCD Mallorca,44.1,,25.0,26.6,6.0,1.76
la_liga_2,UD Las Palmas,34.55,,29.0,26.1,9.0,1.19
la_liga_2,Real Oviedo,30.1,,23.0,27.5,5.0,1.31
la_liga_2,CD Leganés,28.1,,25.0,27.6,8.0,1.12
la_liga_2,Sporting Gijón,27.2,,22.0,26.2,7.0,1.24
la_liga_2,Cádiz CF,26.7,,29.0,24.9,9.0,0.921
la_liga_2,Real Valladolid CF,25.9,,30.0,25.2,12.0,0.863
la_liga_2,Real Sociedad B,22.9,,25.0,21.4,3.0,0.916
la_liga_2,CD Castellón,21.15,,29.0,26.8,15.0,0.729
la_liga_2,Burgos CF,17.25,,22.0,26.0,3.0,0.784
la_liga_2,Granada CF,17.15,,21.0,26.0,6.0,0.817
la_liga_2,Córdoba CF,15.5,,26.0,25.6,8.0,0.596
la_liga_2,SD Eibar,15.4,,24.0,28.5,1.0,0.642
la_liga_2,Albacete Balompié,15.3,,26.0,28.0,2.0,0.588
la_liga_2,FC Andorra,15.05,,27.0,25.2,10.0,0.557
la_liga_2,CD Tenerife,12.03,,27.0,26.4,9.0,0.445
la_liga_2,CE Sabadell FC,8.9,,29.0,26.9,8.0,0.307
la_liga_2,CD Eldense,7.65,,22.0,24.9,3.0,0.348
la_liga_2,RC Celta Fortuna,6.9,,25.0,20.9,8.0,0.276
bundesliga_2,VfL Wolfsburg,154.15,,35.0,26.1,23.0,4.4
bundesliga_2,FC St. Pauli 1910,46.43,,28.0,25.7,23.0,1.66
bundesliga_2,1. FC Nürnberg,39.65,,29.0,23.4,13.0,1.37
bundesliga_2,Holstein Kiel,34.03,,33.0,24.4,18.0,1.03
bundesliga_2,Hannover 96,32.55,,28.0,24.1,14.0,1.16
bundesliga_2,1. FC Heidenheim 1846,31.9,,26.0,26.5,7.0,1.23
bundesliga_2,Karlsruher SC,31.3,,26.0,24.5,11.0,1.2
bundesliga_2,1. FC Kaiserslautern,29.7,,31.0,24.2,10.0,0.958
bundesliga_2,SV Darmstadt 98,24.95,,31.0,25.7,14.0,0.805
bundesliga_2,Hertha BSC,23.73,,27.0,23.6,10.0,0.879
bundesliga_2,1. FC Magdeburg,22.38,,28.0,25.6,10.0,0.799
bundesliga_2,Eintracht Braunschweig,20.63,,28.0,24.3,7.0,0.737
bundesliga_2,VfL Bochum 1848,19.13,,27.0,25.9,13.0,0.708
bundesliga_2,Dynamo Dresden,18.93,,28.0,25.9,5.0,0.676
bundesliga_2,SpVgg Greuther Fürth 1903,18.65,,24.0,24.7,5.0,0.777
bundesliga_2,Arminia Bielefeld,17.5,,26.0,25.1,4.0,0.673
bundesliga_2,FC Energie Cottbus,11.45,,30.0,25.1,5.0,0.382
bundesliga_2,VfL Osnabrück,8.9,,24.0,25.8,5.0,0.371
la_liga_2,AD Ceuta FC,9.75,,22.0,28.7,6.0,0.443
