league,club,squad_value_eur_m,wage_bill_eur_m,squad_size,avg_age,foreigners,avg_value_eur_m
epl,Chelsea FC,553.5,,40.0,25.2,31.0,13.84
epl,Manchester City,499.35,,38.0,25.9,27.0,13.14
epl,Arsenal FC,457.85,,41.0,25.2,30.0,11.17
epl,Manchester United,439.85,,44.0,24.1,27.0,10.0
epl,Liverpool FC,375.25,,44.0,23.9,27.0,8.53
epl,Tottenham Hotspur,371.85,,31.0,24.2,16.0,12.0
epl,Everton FC,249.85,,39.0,26.1,22.0,6.41
epl,Southampton FC,225.5,,35.0,25.6,20.0,6.44
epl,West Ham United,201.33,,50.0,24.7,28.0,4.03
epl,Newcastle United,198.0,,42.0,25.2,28.0,4.71
epl,Leicester City,161.1,,35.0,27.3,21.0,4.6
epl,Stoke City,147.0,,31.0,27.9,24.0,4.74
epl,Swansea City,145.8,,36.0,26.4,27.0,4.05
epl,Watford FC,137.0,,39.0,27.8,35.0,3.51
epl,Crystal Palace,135.7,,38.0,27.2,20.0,3.57
epl,Aston Villa,117.95,,44.0,25.1,25.0,2.68
epl,Norwich City,116.9,,41.0,27.0,22.0,2.85
epl,West Bromwich Albion,113.1,,35.0,26.9,22.0,3.23
epl,Sunderland AFC,111.25,,42.0,27.0,27.0,2.65
epl,AFC Bournemouth,99.9,,49.0,25.6,22.0,2.04
