league,club,squad_value_eur_m,wage_bill_eur_m,squad_size,avg_age,foreigners,avg_value_eur_m
epl,Chelsea FC,557.25,,38.0,25.4,28.0,14.66
epl,Manchester United,505.4,,43.0,25.4,26.0,11.75
epl,Manchester City,448.25,,34.0,27.1,27.0,13.18
epl,Arsenal FC,414.75,,42.0,24.5,30.0,9.88
epl,Liverpool FC,324.85,,35.0,24.8,21.0,9.28
epl,Tottenham Hotspur,304.15,,42.0,25.2,25.0,7.24
epl,Southampton FC,210.25,,37.0,25.1,20.0,5.68
epl,Everton FC,182.85,,40.0,25.7,22.0,4.57
epl,Newcastle United,140.0,,42.0,24.4,28.0,3.33
epl,West Ham United,135.9,,36.0,26.2,21.0,3.78
epl,Swansea City,130.75,,36.0,25.8,26.0,3.63
epl,Hull City,117.1,,35.0,27.5,25.0,3.35
epl,Aston Villa,114.25,,38.0,25.9,20.0,3.01
epl,Queens Park Rangers,112.25,,41.0,26.6,25.0,2.74
epl,Stoke City,110.5,,30.0,28.0,23.0,3.68
epl,Crystal Palace,97.25,,42.0,27.6,26.0,2.32
epl,West Bromwich Albion,95.95,,34.0,27.0,24.0,2.82
epl,Sunderland AFC,91.0,,34.0,26.3,20.0,2.68
epl,Leicester City,66.7,,37.0,27.4,19.0,1.8
epl,Burnley FC,52.55,,30.0,27.0,13.0,1.75
