league,club,squad_value_eur_m,wage_bill_eur_m,squad_size,avg_age,foreigners,avg_value_eur_m
epl,Manchester City,1000.0,,,,,
epl,Liverpool FC,918.9,,,,,
epl,Chelsea FC,914.5,,,,,
epl,Manchester United,769.15,,,,,
epl,Tottenham Hotspur,689.35,,,,,
epl,Arsenal FC,613.05,,,,,
epl,Leicester City,526.55,,,,,
epl,Aston Villa,487.75,,,,,
epl,Everton FC,479.05,,,,,
epl,Wolverhampton Wanderers,376.95,,,,,
epl,West Ham United,354.9,,,,,
epl,Brighton & Hove Albion,318.0,,,,,
epl,Newcastle United,313.9,,,,,
epl,Leeds United,299.45,,,,,
epl,Southampton FC,274.3,,,,,
epl,Brentford FC,273.3,,,,,
epl,Crystal Palace,271.05,,,,,
epl,Norwich City,163.2,,,,,
epl,Watford FC,156.2,,,,,
epl,Burnley FC,137.85,,,,,
championship,Fulham FC,188.9,,,,,
championship,AFC Bournemouth,180.4,,,,,
championship,Sheffield United,136.4,,,,,
championship,West Bromwich Albion,87.4,,,,,
championship,Nottingham Forest,82.95,,,,,
championship,Stoke City,75.4,,,,,
championship,Middlesbrough FC,74.15,,,,,
championship,Swansea City,63.75,,,,,
championship,Blackburn Rovers,63.1,,,,,
championship,Birmingham City,47.13,,,,,
championship,Preston North End,47.1,,,,,
championship,Cardiff City,45.8,,,,,
championship,Reading FC,45.7,,,,,
championship,Millwall FC,42.75,,,,,
championship,Queens Park Rangers,42.25,,,,,
championship,Huddersfield Town,41.78,,,,,
championship,Derby County,40.55,,,,,
championship,Hull City,40.35,,,,,
championship,Bristol City,36.2,,,,,
championship,Coventry City,30.78,,,,,
championship,Luton Town,30.25,,,,,
championship,Barnsley FC,29.98,,,,,
championship,Blackpool FC,17.78,,,,,
championship,Peterborough United,16.85,,,,,
ligue_1,Paris Saint-Germain,875.15,,,,,
ligue_1,Olympique Lyon,397.7,,,,,
ligue_1,AS Monaco,396.0,,,,,
ligue_1,LOSC Lille,306.88,,,,,
ligue_1,Stade Rennais FC,305.35,,,,,
ligue_1,Olympique Marseille,284.7,,,,,
ligue_1,OGC Nice,266.05,,,,,
ligue_1,RC Lens,154.05,,,,,
ligue_1,Stade Reims,149.4,,,,,
ligue_1,Montpellier HSC,144.6,,,,,
ligue_1,RC Strasbourg Alsace,120.05,,,,,
ligue_1,FC Girondins Bordeaux,116.85,,,,,
ligue_1,FC Nantes,112.65,,,,,
ligue_1,AS Saint-Étienne,105.65,,,,,
ligue_1,Stade Brestois 29,103.15,,,,,
ligue_1,FC Metz,91.05,,,,,
ligue_1,Angers SCO,89.5,,,,,
ligue_1,ESTAC Troyes,73.2,,,,,
ligue_1,FC Lorient,61.3,,,,,
ligue_1,Clermont Foot 63,55.1,,,,,
bundesliga,Bayern Munich,790.33,,,,,
bundesliga,Borussia Dortmund,558.98,,,,,
bundesliga,RB Leipzig,498.95,,,,,
bundesliga,Bayer 04 Leverkusen,455.05,,,,,
bundesliga,VfL Wolfsburg,269.3,,,,,
bundesliga,Borussia Mönchengladbach,236.8,,,,,
