game_id,season,week,game_type,gameday,home_team,away_team,num_snapshots,first_seen,last_seen,open_novig_home,close_novig_home,novig_move_home,open_spread_home,close_spread_home,spread_move,open_total,close_total,total_move,captured,has_spread_points
2025_01_DAL_PHI,2025,1,REG,2025-09-04,PHI,DAL,,,,,,,,,,,,,False,False
2025_01_KC_LAC,2025,1,REG,2025-09-05,LAC,KC,,,,,,,,,,,,,False,False
2025_01_TB_ATL,2025,1,REG,2025-09-07,ATL,TB,,,,,,,,,,,,,False,False
2025_01_CIN_CLE,2025,1,REG,2025-09-07,CLE,CIN,,,,,,,,,,,,,False,False
2025_01_MIA_IND,2025,1,REG,2025-09-07,IND,MIA,,,,,,,,,,,,,False,False
2025_01_CAR_JAX,2025,1,REG,2025-09-07,JAX,CAR,,,,,,,,,,,,,False,False
2025_01_LV_NE,2025,1,REG,2025-09-07,NE,LV,,,,,,,,,,,,,False,False
2025_01_ARI_NO,2025,1,REG,2025-09-07,NO,ARI,,,,,,,,,,,,,False,False
2025_01_PIT_NYJ,2025,1,REG,2025-09-07,NYJ,PIT,,,,,,,,,,,,,False,False
2025_01_NYG_WAS,2025,1,REG,2025-09-07,WAS,NYG,,,,,,,,,,,,,False,False
2025_01_TEN_DEN,2025,1,REG,2025-09-07,DEN,TEN,,,,,,,,,,,,,False,False
2025_01_SF_SEA,2025,1,REG,2025-09-07,SEA,SF,,,,,,,,,,,,,False,False
2025_01_DET_GB,2025,1,REG,2025-09-07,GB,DET,,,,,,,,,,,,,False,False
2025_01_HOU_LA,2025,1,REG,2025-09-07,LA,HOU,,,,,,,,,,,,,False,False
2025_01_BAL_BUF,2025,1,REG,2025-09-07,BUF,BAL,,,,,,,,,,,,,False,False
2025_01_MIN_CHI,2025,1,REG,2025-09-08,CHI,MIN,,,,,,,,,,,,,False,False
2025_02_WAS_GB,2025,2,REG,2025-09-11,GB,WAS,,,,,,,,,,,,,False,False
2025_02_CLE_BAL,2025,2,REG,2025-09-14,BAL,CLE,,,,,,,,,,,,,False,False
2025_02_JAX_CIN,2025,2,REG,2025-09-14,CIN,JAX,,,,,,,,,,,,,False,False
2025_02_NYG_DAL,2025,2,REG,2025-09-14,DAL,NYG,,,,,,,,,,,,,False,False
2025_02_CHI_DET,2025,2,REG,2025-09-14,DET,CHI,,,,,,,,,,,,,False,False
2025_02_NE_MIA,2025,2,REG,2025-09-14,MIA,NE,,,,,,,,,,,,,False,False
2025_02_SF_NO,2025,2,REG,2025-09-14,NO,SF,,,,,,,,,,,,,False,False
2025_02_BUF_NYJ,2025,2,REG,2025-09-14,NYJ,BUF,,,,,,,,,,,,,False,False
2025_02_SEA_PIT,2025,2,REG,2025-09-14,PIT,SEA,,,,,,,,,,,,,False,False
2025_02_LA_TEN,2025,2,REG,2025-09-14,TEN,LA,,,,,,,,,,,,,False,False
2025_02_CAR_ARI,2025,2,REG,2025-09-14,ARI,CAR,,,,,,,,,,,,,False,False
2025_02_DEN_IND,2025,2,REG,2025-09-14,IND,DEN,,,,,,,,,,,,,False,False
2025_02_PHI_KC,2025,2,REG,2025-09-14,KC,PHI,,,,,,,,,,,,,False,False
2025_02_ATL_MIN,2025,2,REG,2025-09-14,MIN,ATL,,,,,,,,,,,,,False,False
2025_02_TB_HOU,2025,2,REG,2025-09-15,HOU,TB,,,,,,,,,,,,,False,False
2025_02_LAC_LV,2025,2,REG,2025-09-15,LV,LAC,,,,,,,,,,,,,False,False
2025_03_MIA_BUF,2025,3,REG,2025-09-18,BUF,MIA,,,,,,,,,,,,,False,False
2025_03_ATL_CAR,2025,3,REG,2025-09-21,CAR,ATL,,,,,,,,,,,,,False,False
2025_03_GB_CLE,2025,3,REG,2025-09-21,CLE,GB,,,,,,,,,,,,,False,False
2025_03_HOU_JAX,2025,3,REG,2025-09-21,JAX,HOU,,,,,,,,,,,,,False,False
2025_03_CIN_MIN,2025,3,REG,2025-09-21,MIN,CIN,,,,,,,,,,,,,False,False
2025_03_PIT_NE,2025,3,REG,2025-09-21,NE,PIT,,,,,,,,,,,,,False,False
2025_03_LA_PHI,2025,3,REG,2025-09-21,PHI,LA,,,,,,,,,,,,,False,False
2025_03_NYJ_TB,2025,3,REG,2025-09-21,TB,NYJ,,,,,,,,,,,,,False,False
2025_03_IND_TEN,2025,3,REG,2025-09-21,TEN,IND,,,,,,,,,,,,,False,False
2025_03_LV_WAS,2025,3,REG,2025-09-21,WAS,LV,,,,,,,,,,,,,False,False
2025_03_DEN_LAC,2025,3,REG,2025-09-21,LAC,DEN,,,,,,,,,,,,,False,False
2025_03_NO_SEA,2025,3,REG,2025-09-21,SEA,NO,,,,,,,,,,,,,False,False
2025_03_DAL_CHI,2025,3,REG,2025-09-21,CHI,DAL,,,,,,,,,,,,,False,False
2025_03_ARI_SF,2025,3,REG,2025-09-21,SF,ARI,,,,,,,,,,,,,False,False
2025_03_KC_NYG,2025,3,REG,2025-09-21,NYG,KC,,,,,,,,,,,,,False,False
2025_03_DET_BAL,2025,3,REG,2025-09-22,BAL,DET,,,,,,,,,,,,,False,False
2025_04_SEA_ARI,2025,4,REG,2025-09-25,ARI,SEA,,,,,,,,,,,,,False,False
2025_04_MIN_PIT,2025,4,REG,2025-09-28,PIT,MIN,,,,,,,,,,,,,False,False
2025_04_WAS_ATL,2025,4,REG,2025-09-28,ATL,WAS,,,,,,,,,,,,,False,False
2025_04_NO_BUF,2025,4,REG,2025-09-28,BUF,NO,,,,,,,,,,,,,False,False
2025_04_CLE_DET,2025,4,REG,2025-09-28,DET,CLE,,,,,,,,,,,,,False,False
2025_04_TEN_HOU,2025,4,REG,2025-09-28,HOU,TEN,,,,,,,,,,,,,False,False
2025_04_CAR_NE,2025,4,REG,2025-09-28,NE,CAR,,,,,,,,,,,,,False,False
2025_04_LAC_NYG,2025,4,REG,2025-09-28,NYG,LAC,,,,,,,,,,,,,False,False
2025_04_PHI_TB,2025,4,REG,2025-09-28,TB,PHI,,,,,,,,,,,,,False,False
2025_04_IND_LA,2025,4,REG,2025-09-28,LA,IND,,,,,,,,,,,,,False,False
2025_04_JAX_SF,2025,4,REG,2025-09-28,SF,JAX,,,,,,,,,,,,,False,False
2025_04_BAL_KC,2025,4,REG,2025-09-28,KC,BAL,,,,,,,,,,,,,False,False
2025_04_CHI_LV,2025,4,REG,2025-09-28,LV,CHI,,,,,,,,,,,,,False,False
2025_04_GB_DAL,2025,4,REG,2025-09-28,DAL,GB,,,,,,,,,,,,,False,False
2025_04_NYJ_MIA,2025,4,REG,2025-09-29,MIA,NYJ,,,,,,,,,,,,,False,False
2025_04_CIN_DEN,2025,4,REG,2025-09-29,DEN,CIN,,,,,,,,,,,,,False,False
2025_05_SF_LA,2025,5,REG,2025-10-02,LA,SF,,,,,,,,,,,,,False,False
2025_05_MIN_CLE,2025,5,REG,2025-10-05,CLE,MIN,5.0,2025-10-04 08:30:05,2025-10-05 08:30:29,0.36267700758556654,0.3681595800506706,0.005482572465104085,,,,,,,True,False
2025_05_HOU_BAL,2025,5,REG,2025-10-05,BAL,HOU,5.0,2025-10-04 08:30:05,2025-10-05 08:30:29,0.4658315242338431,0.6239662148955859,0.1581346906617428,,,,,,,True,False
2025_05_MIA_CAR,2025,5,REG,2025-10-05,CAR,MIA,5.0,2025-10-04 08:30:05,2025-10-05 08:30:29,0.3259519280399547,0.6274213058568453,0.3014693778168906,,,,,,,True,False
2025_05_LV_IND,2025,5,REG,2025-10-05,IND,LV,5.0,2025-10-04 08:30:05,2025-10-05 08:30:29,0.7326169113644607,0.7513409557109936,0.018724044346532853,,,,,,,True,False
2025_05_NYG_NO,2025,5,REG,2025-10-05,NO,NYG,5.0,2025-10-04 08:30:05,2025-10-05 08:30:29,0.5363355392432357,0.5054548582601132,-0.030880680983122577,,,,,,,True,False
2025_05_DAL_NYJ,2025,5,REG,2025-10-05,NYJ,DAL,5.0,2025-10-04 08:30:05,2025-10-05 08:30:29,0.4651248439855705,0.4719100485717599,0.006785204586189364,,,,,,,True,False
2025_05_DEN_PHI,2025,5,REG,2025-10-05,PHI,DEN,5.0,2025-10-04 08:30:05,2025-10-05 08:30:29,0.661267708691821,0.664428343106966,0.003160634415144914,,,,,,,True,False
2025_05_TEN_ARI,2025,5,REG,2025-10-05,ARI,TEN,6.0,2025-10-04 08:30:05,2025-10-05 14:20:50,0.7774962316442336,0.7817452093574039,0.004248977713170232,,,,,,,True,False
2025_05_TB_SEA,2025,5,REG,2025-10-05,SEA,TB,6.0,2025-10-04 08:30:05,2025-10-05 14:20:50,0.6324953173831683,0.6282070954991222,-0.004288221884046095,,,,,,,True,False
2025_05_DET_CIN,2025,5,REG,2025-10-05,CIN,DET,6.0,2025-10-04 08:30:05,2025-10-05 14:20:50,0.18440372313668182,0.1801117377667276,-0.004291985369954232,,,,,,,True,False
2025_05_WAS_LAC,2025,5,REG,2025-10-05,LAC,WAS,6.0,2025-10-04 08:30:05,2025-10-05 14:20:50,0.5874935725742704,0.5858335165641254,-0.0016600560101449613,,,,,,,True,False
2025_05_NE_BUF,2025,5,REG,2025-10-05,BUF,NE,6.0,2025-10-04 08:30:05,2025-10-05 14:20:50,0.7790574195270038,0.788458864432522,0.009401444905518197,,,,,,,True,False
2025_05_KC_JAX,2025,5,REG,2025-10-06,JAX,KC,10.0,2025-10-04 08:30:05,2025-10-06 14:24:58,0.3750033906223689,0.35970188961368865,-0.015301501008680274,,,,,,,True,False
2025_06_PHI_NYG,2025,6,REG,2025-10-09,NYG,PHI,21.0,2025-10-04 08:30:05,2025-10-09 14:23:55,0.2346282010316337,0.22796423615930797,-0.006663964872325734,,,,,,,True,False
2025_06_DEN_NYJ,2025,6,REG,2025-10-12,NYJ,DEN,32.0,2025-10-04 08:30:05,2025-10-12 08:30:41,0.3040678143815204,0.23889707103142344,-0.06517074335009698,,,,,,,True,False
2025_06_LA_BAL,2025,6,REG,2025-10-12,BAL,LA,32.0,2025-10-04 08:30:05,2025-10-12 08:30:41,0.3487430375353288,0.2466226908302647,-0.10212034670506412,,,,,,,True,False
2025_06_DAL_CAR,2025,6,REG,2025-10-12,CAR,DAL,32.0,2025-10-04 08:30:05,2025-10-12 08:30:41,0.3738111579566624,0.4023036738517601,0.02849251589509766,,,,,,,True,False
2025_06_ARI_IND,2025,6,REG,2025-10-12,IND,ARI,32.0,2025-10-04 08:30:05,2025-10-12 08:30:41,0.6379864927419259,0.7965915037803578,0.15860501103843194,,,,,,,True,False
2025_06_SEA_JAX,2025,6,REG,2025-10-12,JAX,SEA,32.0,2025-10-04 08:30:05,2025-10-12 08:30:41,0.581548589864165,0.4902956417222348,-0.09125294814193025,,,,,,,True,False
