date,season,home,away,elo_home_pre,elo_away_pre,p_home,home_win,run_diff
2009-04-05,2009,PHI,ATL,1500.0,1500.0,0.5344839447268315,0.0,-3
2009-04-06,2009,ARI,COL,1500.0,1500.0,0.5344839447268315,1.0,1
2009-04-06,2009,BAL,NYY,1500.0,1500.0,0.5344839447268315,1.0,5
2009-04-06,2009,CIN,NYM,1500.0,1500.0,0.5344839447268315,0.0,-1
2009-04-06,2009,MIA,WSN,1500.0,1500.0,0.5344839447268315,1.0,6
2009-04-06,2009,HOU,CHC,1500.0,1500.0,0.5344839447268315,0.0,-2
2009-04-06,2009,LAA,ATH,1500.0,1500.0,0.5344839447268315,1.0,3
2009-04-06,2009,MIN,SEA,1500.0,1500.0,0.5344839447268315,0.0,-5
2009-04-06,2009,SDP,LAD,1500.0,1500.0,0.5344839447268315,0.0,-3
2009-04-06,2009,STL,PIT,1500.0,1500.0,0.5344839447268315,0.0,-2
2009-04-06,2009,TEX,CLE,1500.0,1500.0,0.5344839447268315,1.0,8
2009-04-06,2009,TOR,DET,1500.0,1500.0,0.5344839447268315,1.0,7
2009-04-07,2009,ARI,COL,1500.9575672356289,1499.0424327643711,0.5372258650454514,0.0,-3
2009-04-07,2009,BOS,TBR,1500.0,1500.0,0.5344839447268315,1.0,2
2009-04-07,2009,CHW,KCR,1500.0,1500.0,0.5344839447268315,1.0,2
2009-04-07,2009,MIA,WSN,1502.688231092144,1497.311768907856,0.5421756695144083,1.0,5
2009-04-07,2009,HOU,CHC,1498.238428110682,1501.761571889318,0.5294344917464301,1.0,1
2009-04-07,2009,LAA,ATH,1501.9151344712577,1498.0848655287423,0.5399655357811652,0.0,-2
2009-04-07,2009,MIN,SEA,1497.126999992656,1502.873000007344,0.526245473018385,1.0,1
2009-04-07,2009,PHI,ATL,1497.7771437639483,1502.2228562360517,0.5281112060884149,0.0,-4
2009-04-07,2009,SDP,LAD,1497.7771437639483,1502.2228562360517,0.5281112060884149,1.0,2
2009-04-07,2009,SFG,MIL,1500.0,1500.0,0.5344839447268315,1.0,4
2009-04-07,2009,STL,PIT,1498.238428110682,1501.761571889318,0.5294344917464301,1.0,6
2009-04-07,2009,TOR,DET,1502.8727017068868,1497.1272982931132,0.5427027934282472,1.0,1
2009-04-08,2009,ARI,COL,1498.723307673548,1501.276692326452,0.5308250187018935,0.0,-7
2009-04-08,2009,BAL,NYY,1502.47527539602,1497.52472460398,0.5415670322485324,1.0,2
2009-04-08,2009,BOS,TBR,1501.517708160391,1498.482291839609,0.5388287532674885,0.0,-5
2009-04-08,2009,CHW,KCR,1501.517708160391,1498.482291839609,0.5388287532674885,0.0,-2
