bbref_id,retro_id,mlbam_id,name_first,name_last
floydga01,floyg001,425856,Gavin,Floyd
foltymi01,foltm001,592314,Mike,Foltynewicz
francje01,franj003,433585,Jeff,Francis
francjp01,franj006,641585,J. P.,France
freelky01,freek001,607536,Kyle,Freeland
friedch01,friec001,543184,Christian,Friedrich
friedma01,friem001,608331,Max,Fried
fulmemi01,fulmm001,605242,Michael,Fulmer
galarar01,galaa002,451482,Armando,Galarraga
gallayo01,gally001,451596,Yovani,Gallardo
galleza01,gallz001,668678,Zac,Gallen
garcifr03,garcf002,150119,Freddy,García
garcija02,garcj004,448802,Jaime,García
garcilu05,garcl007,677651,Luis,García
garlajo01,garlj001,279782,Jon,Garland
garrebr01,garrb001,666129,Braxton,Garrett
garzama01,garzm001,490063,Matt,Garza
gaudich01,gaudc001,429985,Chad,Gaudin
gausmke01,gausk001,592332,Kevin,Gausman
geedi01,gee-d001,518716,Dillon,Gee
germado01,germd001,593334,Domingo,Germán
gibsoky01,gibsk002,502043,Kyle,Gibson
gilbelo01,gilbl002,669302,Logan,Gilbert
gillu01,gil-l001,661563,Luis,Gil
giolilu01,gioll001,608337,Lucas,Giolito
glasnty01,glast001,607192,Tyler,Glasnow
godleza01,godlz001,643327,Zack,Godley
gombeau01,gomba001,596295,Austin,Gomber
gonsoto01,gonst001,664062,Tony,Gonsolin
gonzagi01,gonzg003,461829,Gio,Gonzalez
gonzama02,gonzm005,594835,Marco,Gonzales
gonzami03,gonzm003,456068,Miguel,González
gorema01,gorem001,669022,MacKenzie,Gore
gorzeto01,gorzt001,452733,Tom,Gorzelanny
graveke01,gravk001,608665,Kendall,Graveman
grayjo02,grayj003,592351,Jon,Gray
grayjo03,grayj004,680686,Josiah,Gray
grayso01,grays001,543243,Sonny,Gray
greenhu01,greeh001,668881,Hunter,Greene
greinza01,greiz001,425844,Zack,Greinke
griffaj01,grifa002,456167,A. J.,Griffin
grifffo01,griff001,656492,Foster,Griffin
guerrju02,guerj003,448855,Junior,Guerra
guthrje01,guthj001,425386,Jeremy,Guthrie
hallaro01,hallr001,136880,Roy,Halladay
hamelco01,hamec001,430935,Cole,Hamels
hammeja01,hammj002,434628,Jason,Hammel
hansoto01,hanst001,462102,Tommy,Hanson
happja01,happj001,457918,J. A.,Happ
haranaa01,haraa001,421685,Aaron,Harang
harderi01,hardr001,425848,Rich,Harden
harenda01,hared001,429717,Dan,Haren
harrelu01,harrl002,449173,Lucas,Harrell
harrima01,harrm001,457448,Matt,Harrison
harvema01,harvm001,518774,Matt,Harvey
heanean01,heana001,571760,Andrew,Heaney
hefneje01,hefnj001,458550,Jeremy,Hefner
hellije01,hellj001,476451,Jeremy,Hellickson
hendrky01,hendk001,543294,Kyle,Hendricks
hernafe02,hernf002,433587,Félix,Hernández
hernali01,hernl003,115817,Liván,Hernández
hestoch01,hestc001,518790,Chris,Heston
hillri01,hillr001,448179,Rich,Hill
hochelu01,hochl001,460024,Luke,Hochevar
hollade01,holld003,502706,Derek,Holland
holmecl01,holmc001,605280,Clay,Holmes
houckta01,houct001,656557,Tanner,Houck
housead01,housa001,605288,Adrian,Houser
hudsoda01,hudsd001,543339,Daniel,Hudson
hudsoda02,hudsd002,641712,Dakota,Hudson
hudsoti01,hudst001,218596,Tim,Hudson
huffda01,huffd001,453307,David,Huff
hugheph01,hughp001,461833,Phil,Hughes
humbeph01,humbp001,458950,Philip,Humber
hunteto02,huntt002,488984,Tommy,Hunter
hutchdr01,hutcd001,571800,Drew,Hutchison
imanash01,imans001,684007,Shota,Imanaga
irvinco01,irvic001,608344,Cole,Irvin
irvinja01,irvij001,663623,Jake,Irvin
iwakuhi01,iwakh001,547874,Hisashi,Iwakuma
jacksed01,jacke001,429719,Edwin,Jackson
javiecr01,javic001,664299,Cristian,Javier
jimenub01,jimeu001,434622,Ubaldo,Jiménez
johnsjo09,johnj009,435178,Josh,Johnson
junisja01,junij001,596001,Jakob,Junis
jurrjja01,jurrj001,457453,Jair,Jurrjens
kaprija01,kaprj001,621076,James,Kaprielian
karnsna01,karnn001,501992,Nate,Karns
karstje01,karsj001,444371,Jeff,Karstens
kawakke01,kawak001,499877,Kenshin,Kawakami
kazmisc01,kazms001,431148,Scott,Kazmir
kellebr01,kellb003,641745,Brad,Keller
kellemi03,kellm003,656605,Mitch,Keller
kellyjo05,kellj001,523260,Joe,Kelly
kellyme01,kellm002,518876,Merrill,Kelly
kendrky01,kendk001,452718,Kyle,Kendrick
kenneia01,kenni001,453178,Ian,Kennedy
kershcl01,kersc001,477132,Clayton,Kershaw
keuchda01,keucd001,572971,Dallas,Keuchel
kikucyu01,kikuy001,579328,Yusei,Kikuchi
kingmi01,kingm002,650633,Mike,King
kirbyge01,kirbg001,669923,George,Kirby
klubeco01,klubc001,446372,Corey,Kluber
koehlto01,koeht001,543408,Tom,Koehler
kopecmi01,kopem001,656629,Michael,Kopech
kremede01,kremd001,665152,Dean,Kremer
kuhlch01,kuhlc001,641771,Chad,Kuhl
kurodhi01,kuroh001,493133,Hiroki,Kuroda
lackejo01,lackj001,407793,John,Lackey
lannajo01,lannj001,458709,John,Lannan
latosma01,latom001,502009,Mat,Latos
lauerer01,lauee001,641778,Eric,Lauer
leakemi01,leakm001,502190,Mike,Leake
leblawa01,leblw001,453281,Wade,LeBlanc
leecl02,lee-c003,424324,Cliff,Lee
leiteja01,leitj001,683004,Jack,Leiter
lestejo01,lestj001,452657,Jon,Lester
lewisco01,lewic001,407890,Colby,Lewis
liberma01,libem001,669461,Matthew,Liberatore
lillyte01,lillt001,150404,Ted,Lilly
linceti01,linct001,453311,Tim,Lincecum
liriafr01,lirif001,434538,Francisco,Liriano
litteza01,littz001,641793,Zack,Littell
livelbe01,liveb001,594902,Ben,Lively
lockeje01,lockj001,502046,Jeff,Locke
lodolni01,lodon001,666157,Nick,Lodolo
lohseky01,lohsk001,346798,Kyle,Lohse
loopebr01,loopb001,131702,Braden,Looper
lopezpa01,lopep002,641154,Pablo,López
lopezre01,loper003,625643,Reynaldo,López
lopezro02,loper001,150438,Rodrigo,López
lordbr02,lordb001,695418,Brad,Lord
lorenmi01,lorem002,547179,Michael,Lorenzen
lowede01,lowed001,117955,Derek,Lowe
lucchjo01,luccj001,664192,Joey,Lucchesi
luebkco01,luebc001,458537,Cory,Luebke
lugose01,lugos001,607625,Seth,Lugo
luzarje01,luzaj001,666200,Jesús,Luzardo
lylesjo01,lylej001,543475,Jordan,Lyles
lynchda02,lyncd001,663738,Daniel,Lynch
lynnla01,lynnl001,458681,Lance,Lynn
maedake01,maedk001,628317,Kenta,Maeda
mahlety01,mahlt001,641816,Tyler,Mahle
maholpa01,mahop002,430904,Paul,Maholm
manaese01,manas001,640455,Sean,Manaea
manoaal01,manoa001,666201,Alek,Manoah
marcush01,marcs001,451788,Shaun,Marcum
marquge01,marqg001,608566,Germán,Márquez
marquja01,marqj001,150302,Jason,Marquis
marshal01,marsa001,679525,Alec,Marsh
martica04,martc006,593372,Carlos,Martínez
martida03,martd006,663436,Davis,Martin
martini01,martn002,607259,Nick,Martínez
masteju01,mastj001,475416,Justin,Masterson
matsuda01,matsd001,493137,Daisuke,Matsuzaka
matusbr01,matub001,451085,Brian,Matusz
matzst01,matzs001,571927,Steven,Matz
maydu01,may-d003,669160,Dustin,May
mcallza01,mcalz001,502083,Zach,McAllister
mccarbr01,mccab001,435221,Brandon,McCarthy
mcclash01,mccls003,663556,Shane,McClanahan
mccleky01,mcclk001,449072,Kyle,McClellan
mcculla02,mccul002,621121,Lance,McCullers
mcdonja03,mcdoj004,457428,James,McDonald
mchugco01,mchuc001,543521,Collin,McHugh
mckentr01,mcket001,663474,Triston,McKenzie
mcleano01,mclen001,690997,Nolan,McLean
meansjo01,meanj001,607644,John,Means
mechegi01,mechg001,219194,Gil,Meche
medlekr01,medlk001,450665,Kris,Medlen
megilty01,megit002,656731,Tylor,Megill
mendolu01,mendl001,434669,Luis,Mendoza
messipa01,messp001,800048,Parker,Messick
mikolmi01,mikom001,571945,Miles,Mikolas
mileywa01,milew001,489119,Wade,Miley
millebr04,millb004,682243,Bryce,Miller
millesh01,mills001,571946,Shelby,Miller
millwke01,millk004,119154,Kevin,Millwood
milonto01,milot001,543548,Tommy,Milone
minormi01,minom001,501985,Mike,Minor
miranar01,miraa002,664641,Aríel,Miranda
misioja01,misij001,694819,Jacob,Misiorowski
mizeca01,mizec001,663554,Casey,Mize
moehlbr01,moehb001,119215,Brian,Moehler
montafr02,montf001,593423,Frankie,Montas
montgjo01,montj004,656756,Jordan,Montgomery
montgmi01,montm002,543557,Mike,Montgomery
moorema02,moorm003,519043,Matt,Moore
moralfr01,moraf001,462985,Franklin,Morales
morrobr01,morrb001,453344,Brandon,Morrow
mortoch02,mortc002,450203,Charlie,Morton
moscogu01,moscg001,446861,Guillermo,Moscoso
moyerja01,moyej001,119469,Jamie,Moyer
musgrjo01,musgj001,605397,Joe,Musgrove
myersbr01,myerb001,408206,Brett,Myers
myersto01,myert001,668964,Tobias,Myers
narvech01,narvc001,429780,Chris,Narveson
nelsoji02,nelsj004,519076,Jimmy,Nelson
nelsory01,nelsr003,669194,Ryne,Nelson
newcose01,newcs001,656794,Sean,Newcomb
nicasju01,nicaj001,504379,Juan,Nicasio
niemaje01,niemj001,435298,Jeff,Niemann
niesejo01,niesj001,477003,Jonathon,Niese
noesihe01,noesh001,456051,Héctor,Noesí
nolaaa01,nolaa001,605400,Aaron,Nola
nolasri01,nolar001,445060,Ricky,Nolasco
norribu01,norrb001,502032,Bud,Norris
norrida01,norrd002,596057,Daniel,Norris
novaiv01,novai001,467100,Iván,Nova
nunovi01,nunov001,573064,Vidal,Nuño
oberba01,oberb002,641927,Bailey,Ober
oberhbr01,oberb001,519085,Brett,Oberholtzer
odorija01,odorj001,543606,Jake,Odorizzi
ogandal01,ogana001,468396,Alexi,Ogando
ohlenro01,ohler001,456027,Ross,Ohlendorf
ohtansh01,ohtas001,660271,Shohei,Ohtani
ortizlu03,ortil003,682847,Luis,Ortiz
oswalro01,oswar001,400061,Roy,Oswalt
ottogl01,ottog001,657248,Glenn,Otto
oviedjo01,oviej001,670912,Johan,Oviedo
paddach01,paddc001,663978,Chris,Paddack
padilvi01,padiv001,218894,Vicente,Padilla
pallaan01,palla001,669467,Andre,Pallante
parkeja02,parkj001,519105,Jarrod,Parker
parkemi01,parkm001,680730,Mitchell,Parker
parrama01,parrm001,448159,Manny,Parra
paulife01,paulf001,462956,Felipe,Paulino
pavanca01,pavac001,134321,Carl,Pavano
paxtoja01,paxtj001,572020,James,Paxton
peacobr01,peacb001,502748,Brad,Peacock
peavyja01,peavj001,408241,Jake,Peavy
pelfrmi01,pelfm001,460059,Mike,Pelfrey
pennybr01,pennb002,207267,Brad,Penny
pepiory01,pepir001,686752,Ryan,Pepiot
peralfr01,peraf001,642547,Freddy,Peralta
peralwi01,peraw001,503449,Wily,Peralta
perdolu02,perdl002,606131,Luis,Perdomo
perezma02,perem004,527048,Martín,Pérez
peterda01,peted003,656849,David,Peterson
pettian01,petta001,120485,Andy,Pettitte
pfaadbr01,pfaab001,694297,Brandon,Pfaadt
pinedmi01,pinem001,501381,Michael,Pineda
pineijo01,pinej001,334492,Joel,Piñeiro
pivetni01,piven001,601713,Nick,Pivetta
plesaza01,plesz001,668676,Zach,Plesac
pomerdr01,pomed001,519141,Drew,Pomeranz
porceri01,porcr001,519144,Rick,Porcello
priceda01,pricd001,456034,David,Price
priesqu01,prieq001,682990,Quinn,Priester
quantca01,quanc001,615698,Cal,Quantrill
quintjo01,quinj001,500779,Jose,Quintana
raganco01,ragac001,666142,Cole,Ragans
ramirer02,ramie004,541640,Erasmo,Ramírez
ramirjc01,ramij002,500724,J. C.,Ramírez
rasmudr01,rasmd002,656876,Drew,Rasmussen
rayro02,ray-r002,592662,Robbie,Ray
reaco01,rea-c001,607067,Colin,Rea
reyesjo03,reyej003,457456,Jo-Jo,Reyes
richacl01,richc002,453385,Clayton,Richard
richaga01,richg002,572070,Garrett,Richards
richatr01,richt001,670950,Trevor,Richards
richmsc01,richs001,446341,Scott,Richmond
roarkta01,roart001,543699,Tanner,Roark
rodonca01,rodoc001,607074,Carlos,Rodón
rodried05,rodre004,593958,Eduardo,Rodríguez
rodriwa01,rodrw002,434643,Wandy,Rodríguez
rogeres01,rogee002,469134,Esmil,Rogers
rogertr01,roget003,669432,Trevor,Rogers
romansa01,romas001,607219,Sal,Romano
romerri01,romer002,460069,Ricky,Romero
rosajo01,delaj001,407822,Jorge,De La Rosa
rossty01,rosst001,475115,Tyson,Ross
rusinch01,rusic001,543734,Chris,Rusin
ryanjo04,ryanj002,657746,Joe,Ryan
ryuhy01,ryu-h001,547943,Hyun Jin,Ryu
sabatc.01,sabac001,282332,CC,Sabathia
salazda01,salad001,517593,Danny,Salazar
salech01,salec001,519242,Chris,Sale
samarje01,samaj001,502188,Jeff,Samardzija
