Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,FGA,FGM,Sfty
2001,2017,Navy,25,13,7,6,0,.538,396,342,54,25,39,37,18,13,0
2002,2017,Nebraska,25,12,4,8,0,.333,309,437,-128,25,58,57,13,10,1
2003,2017,New Mexico State,25,13,7,6,0,.538,381,386,-5,25,46,43,23,13,0
2004,2017,North Carolina State,25,13,9,4,0,.692,419,328,91,25,38,36,21,16,1
2005,2017,Oklahoma State,25,13,10,3,0,.769,585,382,203,25,47,47,16,15,0
2006,2017,Rice,25,12,1,11,0,.083,195,429,-234,25,54,54,18,15,0
2007,2016,Air Force,25,13,10,3,0,.769,457,341,116,25,42,40,13,9,0
2008,2016,Iowa State,25,12,3,9,0,.250,332,376,-44,25,47,47,17,13,1
2009,2016,Kentucky,25,13,7,6,0,.538,390,407,-17,25,49,48,25,19,0
2010,2016,Marshall,25,12,3,9,0,.250,317,423,-106,25,54,52,18,13,0
2011,2016,Middle Tennessee State,25,13,8,5,0,.615,516,465,51,25,60,59,12,10,1
2012,2016,New Mexico,25,13,9,4,0,.692,477,409,68,25,52,49,14,12,0
2013,2016,Northern Illinois,25,12,5,7,0,.417,366,364,2,25,47,46,19,8,0
2014,2016,UTSA,25,13,6,7,0,.462,379,363,16,25,38,34,19,15,0
2015,2015,Air Force,25,14,8,6,0,.571,473,357,116,25,43,41,20,15,0
2016,2015,Ball State,25,12,3,9,0,.250,277,430,-153,25,51,49,17,14,0
2017,2015,Colorado,25,13,4,9,0,.308,320,357,-37,25,43,43,22,16,0
2018,2015,Duke,25,13,8,5,0,.615,410,330,80,25,38,37,18,13,0
2019,2015,Georgia State,25,13,6,7,0,.462,350,368,-18,25,36,33,26,20,0
2020,2015,Ole Miss,25,13,10,3,0,.769,531,294,237,25,29,28,28,22,0
2021,2015,North Texas,25,12,1,11,0,.083,182,495,-313,25,57,54,15,12,0
2022,2015,Texas,25,12,5,7,0,.417,317,364,-47,25,44,44,19,14,1
2023,2015,Tulane,25,12,3,9,0,.250,236,435,-199,25,56,56,12,10,3
2024,2012,Bowling Green,25,13,8,5,0,.615,298,218,80,25,23,22,16,14,1
2025,2011,UCF,25,12,5,7,0,.417,325,220,105,25,22,21,21,15,0
2026,2011,Florida State,25,13,9,4,0,.692,398,196,202,25,22,20,11,8,1
2027,2011,Penn State,25,13,9,4,0,.692,251,218,33,25,24,23,20,15,0
2028,2009,Ole Miss,25,13,9,4,0,.692,384,230,154,25,24,24,25,18,0
2029,2008,Alabama,25,14,12,2,0,.857,422,200,222,25,23,23,16,9,0
2030,2008,Clemson,25,13,7,6,0,.538,327,225,102,25,23,22,27,17,0
2031,2007,Auburn,25,13,9,4,0,.692,315,220,95,25,23,22,26,16,0
2032,2007,USC,25,13,11,2,0,.846,424,208,216,25,23,23,16,11,0
