Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,XP%,FGA,FGM,FG%,2PM,Sfty
1201,2010,Arkansas State,47,12,4,8,0,.333,360,369,-9,47,46,42,91.3,21,12,57.1,0,0
1202,2010,Ohio,47,13,8,5,0,.615,357,309,48,47,44,40,90.9,14,11,78.6,1,0
1203,2009,Michigan State,47,13,6,7,0,.462,386,342,44,47,45,44,97.8,23,20,87.0,0,0
1204,2009,Oklahoma State,47,13,9,4,0,.692,369,282,87,47,46,46,100.0,18,13,72.2,1,0
1205,2009,Penn State,47,13,11,2,0,.846,375,159,216,47,46,46,100.0,22,15,68.2,0,1
1206,2007,Memphis,47,13,7,6,0,.538,380,419,-39,47,40,37,92.5,25,17,68.0,5,0
1207,2006,Michigan,47,13,11,2,0,.846,380,207,173,47,45,43,95.6,20,17,85.0,2,0
1208,2006,Tulsa,47,13,8,5,0,.615,360,262,98,47,47,45,95.7,12,11,91.7,0,0
1209,2005,Missouri,47,12,7,5,0,.583,369,350,19,47,42,39,92.9,20,14,70.0,3,0
1210,2005,Ohio State,47,12,10,2,0,.833,392,183,209,47,45,44,97.8,28,22,78.6,0,0
1211,2005,UTEP,47,12,8,4,0,.667,382,311,71,47,42,42,100.0,23,18,78.3,1,1
1212,2005,Washington State,47,11,4,7,0,.364,368,346,22,47,45,42,93.3,22,14,63.6,1,0
1213,2004,Minnesota,47,12,7,5,0,.583,361,273,88,47,47,43,91.5,18,12,66.7,0,0
1214,2004,West Virginia,47,12,8,4,0,.667,361,246,115,47,45,43,95.6,20,12,60.0,0,0
1215,2003,Florida,47,13,8,5,0,.615,390,271,119,47,41,41,100.0,27,21,77.8,2,0
1216,2003,Marshall,47,12,8,4,0,.667,350,278,72,47,44,42,95.5,15,8,53.3,1,0
1217,2003,Tulane,47,12,5,7,0,.417,337,424,-87,47,43,40,93.0,7,3,42.9,3,0
1218,2002,Michigan,47,13,10,3,0,.769,361,265,96,47,45,43,95.6,24,12,50.0,0,0
1219,2002,Wisconsin,47,14,8,6,0,.571,372,322,50,47,44,43,97.7,23,15,65.2,1,0
1220,2025,Illinois,46,13,9,4,0,.692,382,307,75,46,44,44,100.0,23,20,87.0,1,0
1221,2025,Louisiana Tech,46,13,8,5,0,.615,355,270,85,46,41,39,95.1,20,12,60.0,2,0
