Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,FGA,FGM,Sfty
1601,2003,Penn State,31,12,3,9,0,.250,233,255,-22,31,28,25,21,14,0
1602,2002,Boise State,31,13,12,1,0,.923,593,240,353,31,30,28,12,8,0
1603,2002,Boston College,31,13,9,4,0,.692,392,253,139,31,30,29,18,12,0
1604,2002,Miami (FL),31,13,12,1,0,.923,527,248,279,31,30,27,17,11,0
1605,2002,South Carolina,31,12,5,7,0,.417,225,262,-37,31,28,25,21,15,1
1606,2002,Troy,31,12,4,8,0,.333,218,252,-34,31,29,26,17,12,0
1607,2025,BYU,30,14,12,2,0,.857,440,268,172,30,29,29,26,19,0
1608,2025,Clemson,30,13,7,6,0,.538,354,267,87,30,26,23,28,20,0
1609,2025,East Carolina,30,13,9,4,0,.692,425,261,164,30,28,28,20,17,0
1610,2025,James Madison,30,14,12,2,0,.857,519,257,262,30,25,23,20,16,0
1611,2025,Utah,30,13,11,2,0,.846,537,246,291,30,26,26,16,12,0
1612,2025,Western Kentucky,30,13,9,4,0,.692,384,297,87,30,27,27,37,30,0
1613,2025,Western Michigan,30,14,10,4,0,.714,348,243,105,30,24,21,16,12,1
1614,2025,Wyoming,30,12,4,8,0,.333,192,246,-54,30,29,29,23,11,1
1615,2024,Notre Dame,30,16,14,2,0,.875,578,248,330,30,27,27,17,13,0
1616,2024,Utah,30,12,5,7,0,.417,283,248,35,30,26,25,21,13,0
1617,2023,Air Force,30,13,9,4,0,.692,362,236,126,30,29,26,13,10,0
1618,2023,Tennessee,30,13,9,4,0,.692,413,264,149,30,28,27,23,19,0
1619,2023,Texas,30,14,12,2,0,.857,501,265,236,30,27,26,22,19,0
1620,2022,Iowa State,30,12,4,8,0,.333,242,243,-1,30,30,30,16,11,0
1621,2022,Louisville,30,13,8,5,0,.615,350,249,101,30,30,30,17,13,0
1622,2022,Texas A&M,30,12,5,7,0,.417,273,254,19,30,30,29,22,13,0
1623,2021,Akron,30,12,2,10,0,.167,238,474,-236,30,61,59,16,13,1
1624,2021,Arkansas State,30,12,2,10,0,.167,303,463,-160,30,62,61,12,10,0
1625,2021,Nevada-Las Vegas,30,12,2,10,0,.167,249,394,-145,30,45,44,27,18,0
1626,2021,Texas State,30,12,4,8,0,.333,277,396,-119,30,47,47,26,15,1
1627,2019,Boston College,30,13,6,7,0,.462,377,418,-41,30,49,49,28,25,0
1628,2019,Houston,30,12,4,8,0,.333,368,408,-40,30,52,52,14,10,1
1629,2019,Louisiana-Monroe,30,12,5,7,0,.417,379,464,-85,30,58,57,15,13,0
1630,2019,Rutgers,30,12,2,10,0,.167,159,440,-281,30,58,56,13,10,0
1631,2019,Southern Mississippi,30,13,7,6,0,.538,346,341,5,30,44,42,18,11,1
1632,2018,Florida State,30,12,5,7,0,.417,263,378,-115,30,44,43,21,17,0
1633,2018,Liberty,30,12,6,6,0,.500,399,442,-43,30,55,53,19,15,1
1634,2018,Louisville,30,12,2,10,0,.167,237,529,-292,30,71,70,15,11,0
1635,2018,Massachusetts,30,12,4,8,0,.333,394,515,-121,30,66,65,16,14,0
1636,2018,Middle Tennessee State,30,14,8,6,0,.571,392,374,18,30,42,41,21,15,0
1637,2018,Ole Miss,30,12,5,7,0,.417,407,434,-27,30,54,54,23,18,1
1638,2018,Nevada-Las Vegas,30,12,4,8,0,.333,345,447,-102,30,52,47,27,22,0
1639,2018,Rice,30,13,2,11,0,.154,246,468,-222,30,59,56,15,12,0
1640,2017,Baylor,30,12,1,11,0,.083,292,431,-139,30,51,51,27,22,0
1641,2017,New Mexico,30,12,3,9,0,.250,248,382,-134,30,48,47,12,11,0
