Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,XP%,FGA,FGM,FG%,2PM,Sfty
2201,2025,Eastern Michigan,34,12,4,8,0,.333,289,357,-68,34,28,28,100.0,23,17,73.9,3,0
2202,2025,Kentucky,34,12,5,7,0,.417,276,317,-41,34,33,33,100.0,17,13,76.5,0,0
2203,2025,Middle Tennessee State,34,12,3,9,0,.250,269,371,-102,34,28,28,100.0,14,11,78.6,2,0
2204,2025,Northwestern,34,13,7,6,0,.538,304,258,46,34,27,26,96.3,24,22,91.7,4,0
2205,2025,South Carolina,34,12,4,8,0,.333,272,265,7,34,32,32,100.0,16,12,75.0,0,0
2206,2024,Charlotte,34,12,5,7,0,.417,284,421,-137,34,30,30,100.0,16,16,100.0,1,0
2207,2024,Georgia State,34,12,3,9,0,.250,286,406,-120,34,30,30,100.0,21,16,76.2,1,1
2208,2023,Hawaii,34,13,5,8,0,.385,278,419,-141,34,31,30,96.8,18,14,77.8,1,0
2209,2022,Indiana,34,12,4,8,0,.333,279,407,-128,34,27,27,100.0,20,14,70.0,2,1
2210,2022,Louisiana-Monroe,34,12,4,8,0,.333,268,413,-145,34,32,32,100.0,11,10,90.9,1,0
2211,2020,Arkansas,34,10,3,7,0,.300,257,349,-92,34,30,27,90.0,12,8,66.7,1,0
2212,2020,Georgia Tech,34,10,3,7,0,.300,239,368,-129,34,29,26,89.7,8,3,37.5,0,0
2213,2020,Nevada,34,9,7,2,0,.778,277,210,67,34,31,28,90.3,18,15,83.3,0,0
2214,2020,Penn State,34,9,4,5,0,.444,268,249,19,34,28,27,96.4,18,11,61.1,2,0
2215,2020,Western Michigan,34,6,4,2,0,.667,250,205,45,34,34,31,91.2,9,5,55.6,0,0
2216,2019,New Mexico,34,12,2,10,0,.167,267,446,-179,34,32,25,78.1,16,12,75.0,1,0
2217,2019,Tennessee,34,13,8,5,0,.615,314,282,32,34,35,35,100.0,27,23,85.2,0,0
2218,2018,Northern Illinois,34,14,8,6,0,.571,282,317,-35,34,29,29,100.0,18,13,72.2,0,0
2219,2018,Southern Mississippi,34,11,6,5,0,.545,288,218,70,34,33,30,90.9,22,18,81.8,0,0
2220,2018,Tennessee,34,12,5,7,0,.417,273,335,-62,34,31,31,100.0,13,10,76.9,1,0
2221,2015,Army,34,12,2,10,0,.167,265,334,-69,34,31,31,100.0,9,6,66.7,2,0
