Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,XP%,FGA,FGM,FG%,2PM,Sfty
1401,2024,Virginia Tech,44,13,6,7,0,.462,366,297,69,44,42,42,100.0,19,16,84.2,3,0
1402,2023,Coastal Carolina,44,13,8,5,0,.615,360,310,50,44,43,43,100.0,25,17,68.0,1,0
1403,2023,Texas Tech,44,13,7,6,0,.538,356,338,18,44,40,40,100.0,22,16,72.7,2,0
1404,2023,Tulane,44,14,11,3,0,.786,369,287,82,44,42,42,100.0,26,21,80.8,0,0
1405,2022,Maryland,44,13,8,5,0,.615,366,301,65,44,40,39,97.5,23,19,82.6,2,0
1406,2022,New Mexico State,44,13,7,6,0,.538,331,311,20,44,42,41,97.6,13,8,61.5,0,1
1407,2022,South Florida,44,12,1,11,0,.083,336,494,-158,44,37,37,100.0,13,9,69.2,4,0
1408,2022,Troy,44,14,12,2,0,.857,358,240,118,44,42,41,97.6,19,17,89.5,1,0
1409,2022,Washington State,44,13,7,6,0,.538,339,298,41,44,41,40,97.6,14,11,78.6,1,0
1410,2022,Wisconsin,44,13,7,6,0,.538,342,263,79,44,42,42,100.0,17,12,70.6,0,0
1411,2021,Kansas State,44,13,8,5,0,.615,358,273,85,44,44,43,97.7,18,12,66.7,0,1
1412,2021,Purdue,44,13,9,4,0,.692,378,291,87,44,42,40,95.2,29,24,82.8,1,0
1413,2021,Tulane,44,12,2,10,0,.167,331,408,-77,44,36,36,100.0,14,7,50.0,2,1
1414,2020,Miami (FL),44,11,8,3,0,.727,374,297,77,44,38,38,100.0,22,20,90.9,2,0
1415,2020,Ohio State,44,8,7,1,0,.875,328,206,122,44,43,43,100.0,11,7,63.6,0,0
1416,2020,Texas State,44,12,2,10,0,.167,332,458,-126,44,43,41,95.3,12,9,75.0,0,0
1417,2019,Illinois,44,13,6,7,0,.462,347,340,7,44,43,42,97.7,19,13,68.4,1,0
1418,2019,Texas Tech,44,12,4,8,0,.333,366,364,2,44,41,40,97.6,22,20,90.9,1,0
1419,2018,Miami (OH),44,12,6,6,0,.500,337,306,31,44,42,41,97.6,13,10,76.9,0,1
1420,2018,Northwestern,44,14,9,5,0,.643,339,325,14,44,40,39,97.5,16,10,62.5,3,0
1421,2017,LSU,44,13,9,4,0,.692,354,246,108,44,43,40,93.0,27,16,59.3,1,0
1422,2017,Nevada,44,12,3,9,0,.250,338,407,-69,44,41,40,97.6,11,8,72.7,2,0
1423,2017,Tulane,44,12,5,7,0,.417,330,350,-20,44,42,37,88.1,10,9,90.0,1,0
1424,2016,Arkansas State,44,13,8,5,0,.615,355,279,76,44,45,40,88.9,19,13,68.4,0,0
1425,2016,Idaho,44,13,9,4,0,.692,400,407,-7,44,44,42,95.5,29,26,89.7,1,1
1426,2016,LSU,44,12,8,4,0,.667,340,189,151,44,42,41,97.6,15,11,73.3,0,1
1427,2016,Marshall,44,12,3,9,0,.250,317,423,-106,44,42,39,92.9,10,4,40.0,1,0
1428,2016,Nebraska,44,13,9,4,0,.692,345,311,34,44,43,43,100.0,15,12,80.0,0,0
1429,2015,Florida,44,14,10,4,0,.714,325,256,69,44,41,36,87.8,17,7,41.2,1,1
1430,2015,Nevada-Las Vegas,44,12,3,9,0,.250,343,404,-61,44,0,43,,17,12,70.6,0,0
1431,2014,Illinois,44,13,6,7,0,.462,337,442,-105,44,42,38,90.5,17,9,52.9,0,0
1432,2014,Maryland,44,13,7,6,0,.538,370,392,-22,44,44,44,100.0,19,18,94.7,1,1
1433,2014,New Mexico,44,12,4,8,0,.333,332,431,-99,44,44,43,97.7,8,5,62.5,1,0
1434,2014,Stanford,44,13,8,5,0,.615,353,213,140,44,44,44,100.0,22,15,68.2,0,0
1435,2013,Hawaii,44,12,1,11,0,.083,329,465,-136,44,37,36,97.3,12,7,58.3,3,1
1436,2012,New Mexico,44,13,4,9,0,.308,335,393,-58,44,40,40,100.0,13,9,69.2,2,0
1437,2012,Penn State,44,12,8,4,0,.667,349,229,120,44,41,39,95.1,21,14,66.7,2,0
1438,2012,Texas State,44,12,4,8,0,.333,343,402,-59,44,44,43,97.7,17,12,70.6,0,0
1439,2011,Texas,44,13,8,5,0,.615,365,289,76,44,44,44,100.0,21,17,81.0,0,3
1440,2010,Miami (FL),44,13,7,6,0,.538,342,269,73,44,42,37,88.1,17,13,76.5,1,0
1441,2010,Tennessee,44,13,6,7,0,.462,351,326,25,44,43,40,93.0,18,15,83.3,0,1
1442,2009,Arizona,44,13,8,5,0,.615,356,311,45,44,42,39,92.9,22,17,77.3,0,1
