Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,FGA,FGM,Sfty
2201,2019,Fresno State,22,12,4,8,0,.333,360,361,-1,22,43,42,17,13,0
2202,2019,Illinois,22,13,6,7,0,.462,347,340,7,22,36,33,26,19,0
2203,2019,Ole Miss,22,12,4,8,0,.333,319,318,1,22,38,34,25,16,1
2204,2019,Old Dominion,22,12,1,11,0,.083,195,358,-163,22,43,42,23,14,0
2205,2019,Texas Tech,22,12,4,8,0,.333,366,364,2,22,41,37,23,15,0
2206,2019,West Virginia,22,12,5,7,0,.417,247,346,-99,22,43,43,19,15,0
2207,2019,Western Michigan,22,13,7,6,0,.538,430,337,93,22,36,35,25,20,0
2208,2018,Kent State,22,12,2,10,0,.167,287,440,-153,22,58,57,12,7,0
2209,2018,Miami (OH),22,12,6,6,0,.500,337,306,31,22,40,37,9,5,1
2210,2018,Minnesota,22,13,7,6,0,.538,376,345,31,22,36,35,17,16,0
2211,2018,Syracuse,22,13,10,3,0,.769,523,351,172,22,42,39,26,20,0
2212,2018,Tennessee,22,12,5,7,0,.417,273,335,-62,22,40,38,17,13,2
2213,2018,Toledo,22,13,7,6,0,.538,525,397,128,22,50,50,13,7,0
2214,2018,Troy,22,13,10,3,0,.769,399,286,113,22,32,31,15,7,0
2215,2017,Boise State,22,14,11,3,0,.786,455,320,135,22,39,39,11,9,1
2216,2017,BYU,22,13,4,9,0,.308,222,321,-99,22,36,34,25,21,1
2217,2017,Colorado State,22,13,7,6,0,.538,434,361,73,22,46,46,19,13,0
2218,2017,Ole Miss,22,12,6,6,0,.500,394,415,-21,22,50,47,28,20,0
2219,2017,Ohio State,22,14,12,2,0,.857,576,266,310,22,33,32,13,7,0
2220,2017,Purdue,22,13,7,6,0,.538,328,267,61,22,28,28,15,15,1
2221,2017,Temple,22,13,7,6,0,.538,326,335,-9,22,40,39,29,18,0
2222,2017,Tulane,22,12,5,7,0,.417,330,350,-20,22,47,45,11,7,1
2223,2017,UCLA,22,13,6,7,0,.462,422,476,-54,22,57,55,29,23,1
2224,2016,Boise State,22,13,10,3,0,.769,439,303,136,22,31,31,23,18,1
2225,2016,East Carolina,22,12,3,9,0,.250,324,433,-109,22,55,54,17,13,2
2226,2016,Fresno State,22,12,1,11,0,.083,212,371,-159,22,47,45,16,12,0
2227,2016,Old Dominion,22,13,10,3,0,.769,456,354,102,22,46,45,9,7,0
2228,2016,Tulane,22,12,4,8,0,.333,289,332,-43,22,38,36,15,12,1
2229,2015,Clemson,22,15,14,1,0,.933,577,325,252,22,36,34,19,14,0
2230,2015,Florida International,22,12,5,7,0,.417,306,358,-52,22,44,42,17,10,1
2231,2015,Massachusetts,22,12,3,9,0,.250,266,377,-111,22,44,43,23,20,1
2232,2015,Michigan State,22,14,12,2,0,.857,417,304,113,22,36,34,16,12,0
2233,2015,Nevada,22,13,7,6,0,.538,341,349,-8,22,39,36,27,19,0
2234,2015,Syracuse,22,12,4,8,0,.333,327,372,-45,22,45,45,23,17,0
2235,2015,UCLA,22,13,8,5,0,.615,419,338,81,22,35,33,24,21,2
2236,2012,BYU,22,13,8,5,0,.615,373,182,191,22,22,20,17,10,0
