Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,XP%,FGA,FGM,FG%,2PM,Sfty
1801,2021,Penn State,39,13,7,6,0,.538,325,225,100,39,38,36,94.7,25,17,68.0,1,0
1802,2021,USC,39,12,4,8,0,.333,344,381,-37,39,34,33,97.1,28,23,82.1,2,0
1803,2021,Syracuse,39,12,5,7,0,.417,299,316,-17,39,38,36,94.7,14,9,64.3,0,1
1804,2021,West Virginia,39,13,6,7,0,.462,328,310,18,39,37,37,100.0,23,19,82.6,0,0
1805,2020,Texas Christian,39,10,6,4,0,.600,308,242,66,39,37,36,97.3,17,12,70.6,1,0
1806,2019,Marshall,39,13,8,5,0,.615,335,325,10,39,36,35,97.2,21,18,85.7,2,1
1807,2019,Purdue,39,12,4,8,0,.333,310,367,-57,39,35,35,100.0,16,13,81.3,1,0
1808,2019,Tulsa,39,12,4,8,0,.333,317,376,-59,39,38,38,100.0,24,15,62.5,0,0
1809,2018,Indiana,39,12,5,7,0,.417,317,359,-42,39,33,32,97.0,18,15,83.3,3,0
1810,2018,Louisiana Tech,39,13,8,5,0,.615,321,299,22,39,39,38,97.4,22,15,68.2,0,2
1811,2017,California,39,12,5,7,0,.417,333,341,-8,39,36,35,97.2,27,20,74.1,2,0
1812,2017,Indiana,39,12,5,7,0,.417,322,304,18,39,39,38,97.4,17,16,94.1,0,1
1813,2017,Michigan,39,13,8,5,0,.615,328,245,83,39,38,35,92.1,24,19,79.2,0,1
1814,2017,Michigan State,39,13,10,3,0,.769,319,260,59,39,38,38,100.0,19,15,78.9,1,0
1815,2017,South Carolina,39,13,9,4,0,.692,315,269,46,39,37,36,97.3,28,15,53.6,0,0
1816,2017,Temple,39,13,7,6,0,.538,326,335,-9,39,36,33,91.7,28,19,67.9,1,0
1817,2016,Arizona,39,12,3,9,0,.250,297,460,-163,39,36,36,100.0,14,9,64.3,0,0
1818,2016,Ball State,39,12,4,8,0,.333,324,361,-37,39,37,37,100.0,19,15,78.9,1,0
1819,2016,Bowling Green,39,12,4,8,0,.333,298,460,-162,39,38,35,92.1,12,9,75.0,1,0
1820,2016,Charlotte,39,12,4,8,0,.333,302,415,-113,39,38,33,86.8,13,9,69.2,1,0
1821,2016,Duke,39,12,4,8,0,.333,280,338,-58,39,38,37,97.4,10,3,30.0,0,0
1822,2016,East Carolina,39,12,3,9,0,.250,324,433,-109,39,35,34,97.1,25,18,72.0,1,0
1823,2016,Nevada,39,12,5,7,0,.417,305,348,-43,39,36,34,94.4,17,11,64.7,1,0
1824,2016,Stanford,39,13,10,3,0,.769,342,265,77,39,34,34,100.0,27,22,81.5,1,3
1825,2015,Eastern Michigan,39,12,1,11,0,.083,305,505,-200,39,36,36,100.0,17,11,64.7,0,0
1826,2014,Kentucky,39,12,5,7,0,.417,350,375,-25,39,41,41,100.0,27,21,77.8,0,0
1827,2014,New Mexico State,39,12,2,10,0,.167,294,469,-175,39,38,37,97.4,12,7,58.3,0,0
1828,2013,Maryland,39,13,7,6,0,.538,340,329,11,39,38,37,97.4,25,21,84.0,0,0
1829,2012,Bowling Green,39,13,8,5,0,.615,298,218,80,39,37,35,94.6,17,9,52.9,0,1
1830,2012,Florida,39,13,11,2,0,.846,344,188,156,39,37,36,97.3,29,24,82.8,1,0
1831,2012,Memphis,39,12,4,8,0,.333,293,363,-70,39,38,36,94.7,11,7,63.6,1,0
1832,2012,Missouri,39,12,5,7,0,.417,309,341,-32,39,37,33,89.2,20,14,70.0,0,0
1833,2011,North Texas,39,12,5,7,0,.417,298,368,-70,39,39,38,97.4,16,8,50.0,0,1
1834,2011,Ohio State,39,13,6,7,0,.462,318,273,45,39,37,36,97.3,19,16,84.2,0,0
1835,2011,Utah,39,13,8,5,0,.615,325,263,62,39,38,37,97.4,25,18,72.0,0,0
1836,2010,Clemson,39,13,6,7,0,.462,312,244,68,39,37,36,97.3,24,14,58.3,0,0
1837,2010,Indiana,39,12,5,7,0,.417,326,408,-82,39,38,38,100.0,21,18,85.7,0,0
1838,2010,North Carolina,39,13,8,5,0,.615,329,302,27,39,38,38,100.0,22,19,86.4,0,0
1839,2010,Oregon State,39,12,5,7,0,.417,293,322,-29,39,37,35,94.6,12,8,66.7,0,0
1840,2010,Virginia,39,12,4,8,0,.333,304,339,-35,39,37,37,100.0,18,11,61.1,0,0
1841,2009,Louisiana-Monroe,39,12,6,6,0,.500,307,328,-21,39,38,35,92.1,20,12,60.0,0,1
1842,2009,LSU,39,13,9,4,0,.692,323,211,112,39,35,34,97.1,20,17,85.0,1,1
1843,2009,Nevada-Las Vegas,39,12,5,7,0,.417,298,389,-91,39,37,37,100.0,14,9,64.3,0,0
1844,2008,Air Force,39,13,8,5,0,.615,348,289,59,39,36,36,100.0,29,24,82.8,1,2
1845,2008,Arkansas State,39,12,6,6,0,.500,324,285,39,39,38,37,97.4,21,17,81.0,0,1
1846,2008,Nevada-Las Vegas,39,12,5,7,0,.417,307,391,-84,39,37,37,100.0,19,12,63.2,0,0
1847,2008,Stanford,39,12,5,7,0,.417,315,329,-14,39,37,35,94.6,17,14,82.4,0,2
1848,2007,Alabama,39,13,7,6,0,.538,352,286,66,39,37,37,100.0,34,25,73.5,2,1
1849,2007,Arizona,39,12,5,7,0,.417,336,322,14,39,38,37,97.4,26,21,80.8,1,0
1850,2007,Eastern Michigan,39,12,4,8,0,.333,290,374,-84,39,36,31,86.1,12,7,58.3,2,0
1851,2007,Georgia Tech,39,13,7,6,0,.538,341,271,70,39,38,38,100.0,28,23,82.1,0,0
1852,2007,Northwestern,39,12,6,6,0,.500,310,372,-62,39,37,36,97.3,18,12,66.7,1,1
1853,2007,South Carolina,39,12,6,6,0,.500,313,282,31,39,38,38,100.0,17,13,76.5,0,1
1854,2007,Texas Christian,39,13,8,5,0,.615,339,243,96,39,37,37,100.0,27,22,81.5,1,0
1855,2006,Ball State,39,12,5,7,0,.417,326,309,17,39,38,37,97.4,19,17,89.5,1,1
1856,2006,Middle Tennessee State,39,13,7,6,0,.538,296,302,-6,39,39,38,97.4,13,8,61.5,0,0
1857,2006,Northern Illinois,39,13,7,6,0,.538,331,275,56,39,36,35,97.2,27,20,74.1,1,0
1858,2004,Oregon State,39,12,7,5,0,.583,320,294,26,39,38,35,92.1,22,17,77.3,0,0
1859,2004,Pitt,39,12,8,4,0,.667,325,288,37,39,38,35,92.1,27,18,66.7,1,0
1860,2003,Arizona State,39,12,5,7,0,.417,298,328,-30,39,36,30,83.3,15,10,66.7,1,1
1861,2003,Ohio State,39,13,11,2,0,.846,322,229,93,39,38,38,100.0,19,16,84.2,0,1
1862,2003,Purdue,39,13,9,4,0,.692,349,226,123,39,38,36,94.7,30,25,83.3,1,1
1863,2002,LSU,39,13,8,5,0,.615,323,238,85,39,35,34,97.1,24,17,70.8,2,0
1864,2002,Louisiana Tech,39,12,4,8,0,.333,320,426,-106,39,35,30,85.7,21,16,76.2,3,1
1865,2002,Navy,39,12,2,10,0,.167,290,436,-146,39,36,34,94.4,9,6,66.7,0,2
1866,2002,Nevada-Las Vegas,39,12,5,7,0,.417,292,366,-74,39,34,33,97.1,13,7,53.8,2,0
1867,2002,New Mexico State,39,12,7,5,0,.583,327,328,-1,39,33,32,97.0,23,17,73.9,4,1
1868,2002,Ohio,39,12,4,8,0,.333,299,374,-75,39,36,31,86.1,16,10,62.5,1,1
1869,2025,Arizona State,38,13,8,5,0,.615,335,318,17,38,33,33,100.0,30,22,73.3,4,0
1870,2025,Arkansas State,38,13,7,6,0,.538,327,356,-29,38,37,36,97.3,27,21,77.8,0,0
1871,2025,Army,38,13,7,6,0,.538,310,281,29,38,36,35,97.2,20,15,75.0,1,0
1872,2025,Miami (OH),38,14,7,7,0,.500,329,304,25,38,36,35,97.2,23,20,87.0,1,2
1873,2025,Oklahoma,38,13,10,3,0,.769,341,201,140,38,35,35,100.0,28,24,85.7,1,2
1874,2024,Ball State,38,12,3,9,0,.250,304,481,-177,38,36,35,97.2,15,13,86.7,1,0
1875,2024,Nebraska,38,13,7,6,0,.538,306,253,53,38,37,35,94.6,19,13,68.4,1,1
1876,2024,Oklahoma,38,13,6,7,0,.462,312,280,32,38,33,32,97.0,20,16,80.0,1,1
1877,2024,Sam Houston,38,13,10,3,0,.769,309,266,43,38,35,35,100.0,24,14,58.3,1,1
1878,2024,Tulsa,38,12,3,9,0,.250,300,510,-210,38,35,34,97.1,15,10,66.7,3,1
1879,2023,Colorado State,38,12,5,7,0,.417,313,355,-42,38,35,34,97.1,19,15,78.9,2,1
1880,2023,Florida Atlantic,38,12,4,8,0,.333,285,306,-21,38,37,37,100.0,10,6,60.0,1,0
1881,2023,Old Dominion,38,13,6,7,0,.462,310,353,-43,38,36,36,100.0,21,14,66.7,1,1
1882,2023,Purdue,38,12,4,8,0,.333,287,365,-78,38,33,31,93.9,17,8,47.1,2,0
1883,2022,Bowling Green,38,13,6,7,0,.462,305,423,-118,38,34,34,100.0,16,11,68.8,4,1
1884,2021,South Alabama,38,12,5,7,0,.417,299,317,-18,38,35,33,94.3,17,12,70.6,1,0
1885,2021,UTEP,38,13,7,6,0,.538,326,328,-2,38,33,32,97.0,24,18,75.0,2,2
1886,2020,LSU,38,10,5,5,0,.500,320,349,-29,38,36,36,100.0,21,18,85.7,1,0
1887,2020,Marshall,38,10,7,3,0,.700,285,130,155,38,36,36,100.0,10,7,70.0,0,0
1888,2019,UAB,38,14,9,5,0,.643,324,302,22,38,37,37,100.0,23,19,82.6,0,1
1889,2018,Bowling Green,38,12,3,9,0,.250,292,480,-188,38,34,34,100.0,10,6,60.0,3,0
1890,2018,Georgia State,38,12,2,10,0,.167,287,449,-162,38,32,28,87.5,14,9,64.3,2,0
1891,2018,New Mexico State,38,12,3,9,0,.250,303,496,-193,38,37,37,100.0,18,12,66.7,1,0
1892,2018,South Alabama,38,12,3,9,0,.250,290,465,-175,38,35,31,88.6,13,9,69.2,2,0
1893,2018,USC,38,12,5,7,0,.417,313,324,-11,38,38,38,100.0,17,13,76.5,1,0
1894,2018,Texas Christian,38,13,7,6,0,.538,306,300,6,38,37,37,100.0,21,13,61.9,0,1
1895,2017,Colorado,38,12,5,7,0,.417,317,338,-21,38,36,36,100.0,22,17,77.3,1,0
1896,2017,Eastern Michigan,38,12,5,7,0,.417,313,280,33,38,35,34,97.1,21,15,71.4,0,0
1897,2017,Kentucky,38,13,7,6,0,.538,332,367,-35,38,36,36,100.0,28,22,78.6,1,0
1898,2017,Nebraska,38,12,4,8,0,.333,309,437,-128,38,37,37,100.0,14,12,85.7,0,1
1899,2017,Virginia,38,13,6,7,0,.462,293,369,-76,38,37,37,100.0,12,8,66.7,1,1
1900,2016,Georgia,38,13,8,5,0,.615,319,312,7,38,36,36,100.0,25,17,68.0,1,1
1901,2016,Georgia Southern,38,12,5,7,0,.417,319,318,1,38,36,34,94.4,20,19,95.0,0,0
1902,2016,Miami (OH),38,13,6,7,0,.462,297,309,-12,38,37,32,86.5,16,11,68.8,0,2
1903,2016,Purdue,38,12,3,9,0,.250,295,459,-164,38,36,35,97.2,14,10,71.4,0,1
1904,2015,Akron,38,13,8,5,0,.615,311,279,32,38,38,36,94.7,21,15,71.4,0,1
1905,2015,Colorado,38,13,4,9,0,.308,320,357,-37,38,0,36,,29,18,62.1,1,0
1906,2015,Florida International,38,12,5,7,0,.417,306,358,-52,38,36,32,88.9,14,10,71.4,2,0
1907,2015,Maryland,38,12,3,9,0,.250,296,413,-117,38,23,33,143.5,15,11,73.3,1,0
1908,2014,North Texas,38,12,4,8,0,.333,326,358,-32,38,39,39,100.0,17,15,88.2,1,0
1909,2014,San Diego State,38,13,7,6,0,.538,325,258,67,38,32,32,100.0,25,20,80.0,0,0
1910,2013,Air Force,38,12,2,10,0,.167,296,480,-184,38,38,37,97.4,13,11,84.6,0,0
1911,2013,UAB,38,12,2,10,0,.167,315,525,-210,38,35,35,100.0,23,16,69.6,2,0
1912,2013,Army,38,12,3,9,0,.250,293,379,-86,38,37,37,100.0,11,8,72.7,2,1
1913,2013,Florida Atlantic,38,12,6,6,0,.500,317,267,50,38,40,36,90.0,16,11,68.8,1,0
1914,2013,Pitt,38,13,7,6,0,.538,342,353,-11,38,36,35,97.2,18,14,77.8,1,0
1915,2013,SMU,38,12,5,7,0,.417,321,400,-79,38,35,33,94.3,21,18,85.7,2,0
1916,2013,Syracuse,38,13,7,6,0,.538,295,330,-35,38,35,32,91.4,16,11,68.8,1,0
1917,2012,Middle Tennessee State,38,12,8,4,0,.667,319,336,-17,38,36,36,100.0,22,17,77.3,2,0
1918,2012,Notre Dame,38,13,12,1,0,.923,335,166,169,38,35,33,94.3,32,24,75.0,1,0
1919,2012,Virginia Tech,38,13,7,6,0,.538,326,297,29,38,36,34,94.4,25,20,80.0,1,1
1920,2011,Illinois,38,13,7,6,0,.538,294,255,39,38,34,34,100.0,12,10,83.3,1,0
1921,2011,Iowa State,38,13,6,7,0,.462,295,382,-87,38,35,31,88.6,20,12,60.0,0,0
1922,2010,Central Michigan,38,12,3,9,0,.250,293,312,-19,38,34,31,91.2,20,10,50.0,1,1
1923,2010,Connecticut,38,13,8,5,0,.615,343,286,57,38,38,38,100.0,31,25,80.6,0,1
1924,2010,Temple,38,12,8,4,0,.667,300,229,71,38,32,31,96.9,20,13,65.0,1,0
1925,2009,Illinois,38,12,3,9,0,.250,290,362,-72,38,36,35,97.2,16,9,56.3,0,0
1926,2009,Western Michigan,38,12,5,7,0,.417,296,330,-34,38,38,36,94.7,15,10,66.7,0,1
1927,2008,East Carolina,38,14,9,5,0,.643,328,295,33,38,37,34,91.9,35,22,62.9,0,0
1928,2008,Minnesota,38,13,7,6,0,.538,302,322,-20,38,36,34,94.4,16,12,75.0,2,0
1929,2008,West Virginia,38,13,9,4,0,.692,319,221,98,38,36,36,100.0,20,17,85.0,1,1
1930,2007,Auburn,38,13,9,4,0,.692,315,220,95,38,37,36,97.3,24,17,70.8,0,0
1931,2007,San Diego State,38,12,4,8,0,.333,301,413,-112,38,36,34,94.4,15,13,86.7,0,0
1932,2007,Virginia,38,13,9,4,0,.692,317,256,61,38,37,35,94.6,20,16,80.0,0,3
1933,2007,Washington State,38,12,5,7,0,.417,308,389,-81,38,37,36,97.3,20,14,70.0,1,0
1934,2006,Iowa,38,13,6,7,0,.462,310,269,41,38,38,37,97.4,22,15,68.2,0,0
1935,2006,Troy,38,13,8,5,0,.615,296,289,7,38,38,35,92.1,19,11,57.9,0,0
1936,2006,Washington State,38,12,6,6,0,.500,295,277,18,38,35,33,94.3,16,10,62.5,1,1
1937,2005,Akron,38,13,7,6,0,.538,307,318,-11,38,36,35,97.2,20,14,70.0,1,0
1938,2005,UAB,38,11,5,6,0,.455,307,264,43,38,37,37,100.0,18,14,77.8,0,0
1939,2005,Louisiana,38,11,6,5,0,.545,286,304,-18,38,34,31,91.2,11,7,63.6,2,1
1940,2005,Louisiana Tech,38,11,7,4,0,.636,316,281,35,38,38,34,89.5,26,18,69.2,0,0
1941,2005,Vanderbilt,38,11,5,6,0,.455,299,321,-22,38,34,33,97.1,17,12,70.6,1,0
1942,2004,North Texas,38,12,7,5,0,.583,309,358,-49,38,38,37,97.4,18,14,77.8,0,1
1943,2004,Northwestern,38,12,6,6,0,.500,295,342,-47,38,34,32,94.1,22,11,50.0,1,0
1944,2004,Southern Mississippi,38,12,7,5,0,.583,309,298,11,38,31,27,87.1,19,16,84.2,2,1
1945,2003,Central Michigan,38,12,3,9,0,.250,277,428,-151,38,36,35,97.2,8,4,50.0,0,1
1946,2003,UTEP,38,13,2,11,0,.154,288,498,-210,38,37,36,97.3,18,8,44.4,0,0
1947,2002,Idaho,38,12,2,10,0,.167,285,428,-143,38,36,36,100.0,17,7,41.2,0,0
1948,2002,Middle Tennessee State,38,12,4,8,0,.333,297,332,-35,38,32,31,96.9,13,10,76.9,4,0
1949,2002,Utah State,38,11,4,7,0,.364,305,432,-127,38,35,33,94.3,17,14,82.4,1,0
1950,2025,Auburn,37,12,5,7,0,.417,321,248,73,37,35,35,100.0,25,20,80.0,2,0
1951,2025,Boston College,37,12,2,10,0,.167,305,393,-88,37,35,35,100.0,17,16,94.1,0,0
1952,2025,Liberty,37,12,4,8,0,.333,307,318,-11,37,35,35,100.0,22,16,72.7,1,0
1953,2025,Michigan State,37,12,4,8,0,.333,295,359,-64,37,34,33,97.1,17,12,70.6,1,1
1954,2025,Minnesota,37,13,8,5,0,.615,299,298,1,37,35,35,100.0,21,14,66.7,0,0
1955,2024,Appalachian State,37,11,5,6,0,.455,293,362,-69,37,32,32,100.0,14,11,78.6,2,1
1956,2024,Cincinnati,37,12,5,7,0,.417,302,295,7,37,34,32,94.1,22,16,72.7,0,0
1957,2024,Miami (OH),37,14,9,5,0,.643,337,263,74,37,35,34,97.1,31,27,87.1,0,0
1958,2024,Oregon State,37,12,5,7,0,.417,291,359,-68,37,33,33,100.0,15,10,66.7,3,0
1959,2024,Wake Forest,37,12,4,8,0,.333,308,390,-82,37,36,36,100.0,20,16,80.0,1,0
1960,2023,Arkansas,37,12,4,8,0,.333,319,335,-16,37,33,33,100.0,24,20,83.3,2,0
1961,2023,Central Michigan,37,12,5,7,0,.417,278,373,-95,37,33,31,93.9,14,7,50.0,1,0
1962,2023,Houston,37,12,4,8,0,.333,284,378,-94,37,34,34,100.0,14,8,57.1,1,1
1963,2023,Illinois,37,12,5,7,0,.417,294,353,-59,37,26,24,92.3,19,14,73.7,3,0
1964,2023,Marshall,37,13,6,7,0,.462,296,373,-77,37,36,36,100.0,20,12,60.0,0,1
1965,2023,Middle Tennessee State,37,12,4,8,0,.333,291,337,-46,37,37,35,94.6,14,10,71.4,0,2
1966,2023,Ohio,37,13,10,3,0,.769,316,206,110,37,36,35,97.2,28,19,67.9,1,0
