Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,FGA,FGM,Sfty
1201,2009,Arkansas State,36,12,4,8,0,.333,272,279,-7,36,35,33,17,10,0
1202,2009,Iowa State,36,13,7,6,0,.538,267,284,-17,36,36,35,15,11,0
1203,2009,Kansas State,36,12,6,6,0,.500,276,280,-4,36,36,34,13,10,0
1204,2009,Louisiana Tech,36,12,4,8,0,.333,350,309,41,36,33,32,24,19,0
1205,2009,Virginia,36,12,3,9,0,.250,232,316,-84,36,35,34,30,22,0
1206,2009,Washington,36,12,5,7,0,.417,313,320,-7,36,34,34,25,22,0
1207,2008,Air Force,36,13,8,5,0,.615,348,289,59,36,36,35,17,12,1
1208,2008,Arkansas State,36,12,6,6,0,.500,324,285,39,36,35,34,19,11,0
1209,2008,Ball State,36,14,12,2,0,.857,489,287,202,36,34,33,19,12,0
1210,2008,Kentucky,36,13,7,6,0,.538,294,279,15,36,36,34,23,9,1
1211,2008,Purdue,36,12,4,8,0,.333,296,301,-5,36,34,32,25,17,0
1212,2007,Oregon,36,13,9,4,0,.692,496,307,189,36,34,33,24,18,0
1213,2006,Northern Illinois,36,13,7,6,0,.538,331,275,56,36,32,30,17,9,0
1214,2006,Troy,36,13,8,5,0,.615,296,289,7,36,34,33,16,12,1
1215,2005,Arizona,36,11,3,8,0,.273,252,290,-38,36,35,35,14,11,2
1216,2005,Baylor,36,11,5,6,0,.455,236,291,-55,36,32,31,19,14,0
1217,2004,Arizona,36,11,3,8,0,.273,164,275,-111,36,35,33,14,8,1
1218,2004,Bowling Green,36,12,9,3,0,.750,532,282,250,36,35,31,12,11,0
1219,2004,Middle Tennessee State,36,11,5,6,0,.455,269,293,-24,36,36,35,22,14,0
1220,2004,Ole Miss,36,11,4,7,0,.364,215,278,-63,36,35,35,16,9,0
1221,2004,Pitt,36,12,8,4,0,.667,325,288,37,36,34,34,19,12,1
1222,2004,Vanderbilt,36,11,2,9,0,.182,212,286,-74,36,32,31,22,11,1
