Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,FGA,FGM,Sfty
401,2008,Nebraska,49,13,9,4,0,.692,460,371,89,49,49,45,17,10,1
402,2008,Oklahoma State,49,13,9,4,0,.692,530,365,165,49,47,45,14,8,0
403,2007,Houston,49,12,8,5,0,.615,449,379,70,49,45,45,16,12,1
404,2007,Washington,49,13,4,9,0,.308,380,411,-31,49,48,43,33,24,0
405,2007,Washington State,49,12,5,7,0,.417,308,389,-81,49,48,46,21,15,1
406,2006,Nevada-Las Vegas,49,12,2,10,0,.167,238,382,-144,49,46,44,16,14,0
407,2005,Kentucky,49,11,3,8,0,.273,239,375,-136,49,46,45,20,12,0
408,2005,Nevada-Las Vegas,49,11,2,9,0,.182,207,381,-174,49,48,46,19,13,0
409,2004,Central Michigan,49,11,4,7,0,.364,260,378,-118,49,45,40,20,12,1
410,2004,Louisiana Tech,49,12,6,6,0,.500,308,382,-74,49,45,43,19,13,0
411,2004,Texas Christian,49,11,5,6,0,.455,362,373,-11,49,47,46,21,11,0
412,2003,UCF,49,12,3,9,0,.250,224,373,-149,49,47,46,16,9,2
413,2003,Rice,49,12,5,7,0,.417,343,378,-35,49,48,46,18,12,0
414,2003,SMU,49,12,0,12,0,.000,134,386,-252,49,49,47,24,15,0
415,2003,Temple,49,12,1,11,0,.083,235,393,-158,49,47,47,23,16,1
416,2002,Nevada,49,12,5,7,0,.417,331,371,-40,49,48,45,21,10,0
417,2002,Ohio,49,12,4,8,0,.333,299,374,-75,49,47,44,15,12,0
418,2025,Appalachian State,48,13,5,8,0,.385,314,387,-73,48,41,39,26,18,1
419,2025,Colorado State,48,12,2,10,0,.167,222,370,-148,48,47,47,11,11,0
420,2025,Florida International,48,13,7,6,0,.538,371,390,-19,48,46,46,20,18,0
421,2025,Middle Tennessee State,48,12,3,9,0,.250,269,371,-102,48,45,44,18,13,0
422,2025,Missouri State,48,13,7,6,0,.538,333,374,-41,48,48,47,21,13,0
423,2025,UTSA,48,13,7,6,0,.538,462,375,87,48,41,41,15,14,1
424,2025,Texas State,48,13,7,6,0,.538,474,377,97,48,42,41,14,14,0
425,2024,Coastal Carolina,48,13,6,7,0,.462,373,411,-38,48,44,44,26,23,0
